claim_id,chapter,claim_text,claim_type,theoretical_or_empirical,support_source,experiment_or_theorem,sample_size,assumptions,information_contract,plant_model,status,allowed_wording,forbidden_wording,main_or_supplement,notes
CL-25,"6 Resultados","El demostrador Cargo completa casi todas las misiones","empirical","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo E2E","360 mundos, 2160 corridas","Planta planar reducida; registro global; lider designado globalmente","hibrido","planar reducido","PARTIAL","acredita compatibilidad funcional","acredita la composicion formal de las garantias","main","0.997 frente a 1.000 central. HP, apoyo delimitado"
CL-26,"6 Resultados","El piloto Industrial 2 no sostiene ranking ni fiabilidad industrial","empirical","empirical","shared/generated-macros/aws-industrial2-results.tex","AWS Industrial 2","4 escenarios x 4 metodos x 2 semillas = 32","Adaptaciones piloto, no implementaciones completas","mixto","planar reducido","LIMITED","resultado negativo conservado","validacion industrial","main","3 de 4 escenarios entregaron cero con los cuatro metodos; 2 violaciones de barrera"
CL-27,"7 Conclusiones","La mensajeria vecinal sostiene la ejecucion en el regimen degradado ensayado","empirical","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo, regimen degradado","360 mundos","Perdidas Bernoulli; grafo estatico","vecinal + registro global","planar reducido","PARTIAL","mantuvo la ejecucion en el regimen ensayado","coordinacion local completa","main","El registro global impide atribuir el resultado a localidad. 249.3 mensajes, 58.2 kB"
CL-28,"7 Conclusiones","La informacion perfecta iguala al regimen vecinal con cero mensajes","empirical","empirical","shared/generated-macros/cargo_e2e_numbers.tex","Cargo, contraste de informacion","360 mundos","Oraculo de informacion privilegiada","oraculo","planar reducido","SUPPORTED","techo de informacion, no arquitectura implementable","comunicacion centralizada de coste cero","main","§23: reclasificar. 328.1 mensajes vecinales es COTA INFERIOR declarada"
CL-29,"7 Conclusiones","No se ha establecido una funcion de Lyapunov comun para la arquitectura hibrida completa","limitation","theoretical","sections/source-snapshot/mainmatter/07-conclusions.tex","n/a","n/a","n/a","n/a","hibrido","SUPPORTED","no se establece estabilidad hibrida global","estabilidad global; convergencia de la mision","main","§17: NO resucitar small-gain (FAIL), dwell-time (FAIL), descomposicion exacta (FAIL), composicion disipativa (FAIL), entrega segura (FAIL)"
CL-30,"7 Conclusiones","La arquitectura no es completamente distribuida","limitation","empirical","sections/v2/sp1-compact.tex; Algoritmo 1","Tabla 3 de dependencias","n/a","Cierre entero global; QP central por carga; lider global; registro global","hibrido","mixto","SUPPORTED","local califica la revision y la mensajeria vecinal","coordinacion distribuida local de extremo a extremo","main","doc 14 B4 SIN CERRAR. Ver TITLE_DECISION.md"
CL-31,"Titulo/Resumen","Las cargas son heterogeneas","scope","empirical","src/viu_mrob_tfm/coppelia_cargo/config.py","preflight Cargo CoppeliaSim","3 corridas primarias, 1 celda factorial","Masa como factor (14 y 28 kg); inercia derivada; friccion; offset de centro de masas","n/a","coppeliasim_mujoco","PENDING","cargas con requisitos heterogeneos","cargas heterogeneas","main","Heterogeneidad fisica IMPLEMENTADA pero no medida: gate smoke_only_no_inferential_claim"
CL-32,"Titulo/Resumen","Entornos industriales","scope","empirical","shared/generated-macros/aws-industrial2-results.tex","AWS Industrial 2","32 ejecuciones","2 semillas por escenario","mixto","planar reducido","NOT_SUPPORTED","escenario de procedencia industrial","validez industrial; entornos industriales","main","Retirar del titulo y del resumen. Ver TITLE_DECISION.md §4"
CL-33,"6 Resultados","El certificado de wrench es un predicado verificable con dominio declarado","contribution","theoretical","sections/v2/sp2-compact.tex","tab:pre-cross-certificates","n/a","QP planar; contactos y demanda conocidos","local","planar rigido","SUPPORTED","predicado verificable con su dominio","garantia mecanica transferible","main","Es la columna que una politica aprendida no puede rellenar (§7.7)"
CL-34,"Anexo J","El presupuesto epistemico delta admite cinco ecuaciones de estado, mensaje, creencia, compromiso y delta","model","theoretical","sections/v2/appendix-megajuego-detail.tex","eq:megajuego-epistemic-*","n/a","Declaradas, no demostradas","local","hibrido","BACKGROUND_ONLY","formulacion del protocolo epistemico","resultado formal","supplement","5 ecuaciones NUMERADAS Y NUNCA CITADAS: violan la regla VIU. Citar o quitar numeracion"
