method,dynamic_id,fitness_id,rounding_id,matching_valid,world_hash,finite_metrics,matching_required,nonnegative_ok,passed,simplex_ok
SMI,SMI,ASYM,QR1,True,9b46dbf280aa3730,True,True,True,True,True
BNN,BNN,MC,QR1,True,9b46dbf280aa3730,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,9b46dbf280aa3730,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,9b46dbf280aa3730,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,9b46dbf280aa3730,True,True,True,True,True
HUN,,,EXACT,True,c25c3bf09ea7f099,True,True,True,True,True
GRD,,,POLICY,True,c25c3bf09ea7f099,True,True,True,True,True
DA,,,POLICY,True,c25c3bf09ea7f099,True,True,True,True,True
REP,REP,LIN,QR1,True,c25c3bf09ea7f099,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,c25c3bf09ea7f099,True,True,True,True,True
BNN,BNN,MC,QR1,True,c25c3bf09ea7f099,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,c25c3bf09ea7f099,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,c25c3bf09ea7f099,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,c25c3bf09ea7f099,True,True,True,True,True
HUN,,,EXACT,True,43af260c8627642e,True,True,True,True,True
GRD,,,POLICY,True,43af260c8627642e,True,True,True,True,True
DA,,,POLICY,True,43af260c8627642e,True,True,True,True,True
REP,REP,LIN,QR1,True,43af260c8627642e,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,43af260c8627642e,True,True,True,True,True
BNN,BNN,MC,QR1,True,43af260c8627642e,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,43af260c8627642e,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,43af260c8627642e,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,43af260c8627642e,True,True,True,True,True
HUN,,,EXACT,True,c0130f28f4bdd2cb,True,True,True,True,True
GRD,,,POLICY,True,c0130f28f4bdd2cb,True,True,True,True,True
DA,,,POLICY,True,c0130f28f4bdd2cb,True,True,True,True,True
REP,REP,LIN,QR1,True,c0130f28f4bdd2cb,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,c0130f28f4bdd2cb,True,True,True,True,True
BNN,BNN,MC,QR1,True,c0130f28f4bdd2cb,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,c0130f28f4bdd2cb,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,c0130f28f4bdd2cb,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,c0130f28f4bdd2cb,True,True,True,True,True
HUN,,,EXACT,True,90b62de5703a64e1,True,True,True,True,True
GRD,,,POLICY,True,90b62de5703a64e1,True,True,True,True,True
DA,,,POLICY,True,90b62de5703a64e1,True,True,True,True,True
REP,REP,LIN,QR1,True,90b62de5703a64e1,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,90b62de5703a64e1,True,True,True,True,True
BNN,BNN,MC,QR1,True,90b62de5703a64e1,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,90b62de5703a64e1,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,90b62de5703a64e1,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,90b62de5703a64e1,True,True,True,True,True
HUN,,,EXACT,True,f79ce0d3b3c41b91,True,True,True,True,True
GRD,,,POLICY,True,f79ce0d3b3c41b91,True,True,True,True,True
DA,,,POLICY,True,f79ce0d3b3c41b91,True,True,True,True,True
REP,REP,LIN,QR1,True,f79ce0d3b3c41b91,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,f79ce0d3b3c41b91,True,True,True,True,True
BNN,BNN,MC,QR1,True,f79ce0d3b3c41b91,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,f79ce0d3b3c41b91,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,f79ce0d3b3c41b91,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,f79ce0d3b3c41b91,True,True,True,True,True
HUN,,,EXACT,True,7bc568e07d7657ec,True,True,True,True,True
GRD,,,POLICY,True,7bc568e07d7657ec,True,True,True,True,True
DA,,,POLICY,True,7bc568e07d7657ec,True,True,True,True,True
REP,REP,LIN,QR1,True,7bc568e07d7657ec,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,7bc568e07d7657ec,True,True,True,True,True
BNN,BNN,MC,QR1,True,7bc568e07d7657ec,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7bc568e07d7657ec,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7bc568e07d7657ec,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7bc568e07d7657ec,True,True,True,True,True
HUN,,,EXACT,True,05150cbf37d8f87f,True,True,True,True,True
GRD,,,POLICY,True,05150cbf37d8f87f,True,True,True,True,True
DA,,,POLICY,True,05150cbf37d8f87f,True,True,True,True,True
REP,REP,LIN,QR1,True,05150cbf37d8f87f,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,05150cbf37d8f87f,True,True,True,True,True
BNN,BNN,MC,QR1,True,05150cbf37d8f87f,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,05150cbf37d8f87f,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,05150cbf37d8f87f,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,05150cbf37d8f87f,True,True,True,True,True
HUN,,,EXACT,True,7ad3d626cefc0761,True,True,True,True,True
GRD,,,POLICY,True,7ad3d626cefc0761,True,True,True,True,True
DA,,,POLICY,True,7ad3d626cefc0761,True,True,True,True,True
REP,REP,LIN,QR1,True,7ad3d626cefc0761,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,7ad3d626cefc0761,True,True,True,True,True
BNN,BNN,MC,QR1,True,7ad3d626cefc0761,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7ad3d626cefc0761,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7ad3d626cefc0761,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7ad3d626cefc0761,True,True,True,True,True
HUN,,,EXACT,True,5336ea554ef7b969,True,True,True,True,True
GRD,,,POLICY,True,5336ea554ef7b969,True,True,True,True,True
DA,,,POLICY,True,5336ea554ef7b969,True,True,True,True,True
REP,REP,LIN,QR1,True,5336ea554ef7b969,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,5336ea554ef7b969,True,True,True,True,True
BNN,BNN,MC,QR1,True,5336ea554ef7b969,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,5336ea554ef7b969,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,5336ea554ef7b969,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,5336ea554ef7b969,True,True,True,True,True
HUN,,,EXACT,True,4025dff8a86d2a93,True,True,True,True,True
GRD,,,POLICY,True,4025dff8a86d2a93,True,True,True,True,True
DA,,,POLICY,True,4025dff8a86d2a93,True,True,True,True,True
REP,REP,LIN,QR1,True,4025dff8a86d2a93,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,4025dff8a86d2a93,True,True,True,True,True
BNN,BNN,MC,QR1,True,4025dff8a86d2a93,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,4025dff8a86d2a93,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,4025dff8a86d2a93,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,4025dff8a86d2a93,True,True,True,True,True
HUN,,,EXACT,True,d56665e68de0f17f,True,True,True,True,True
GRD,,,POLICY,True,d56665e68de0f17f,True,True,True,True,True
DA,,,POLICY,True,d56665e68de0f17f,True,True,True,True,True
REP,REP,LIN,QR1,True,d56665e68de0f17f,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,d56665e68de0f17f,True,True,True,True,True
BNN,BNN,MC,QR1,True,d56665e68de0f17f,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,d56665e68de0f17f,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,d56665e68de0f17f,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,d56665e68de0f17f,True,True,True,True,True
HUN,,,EXACT,True,594c61757d8f8784,True,True,True,True,True
GRD,,,POLICY,True,594c61757d8f8784,True,True,True,True,True
DA,,,POLICY,True,594c61757d8f8784,True,True,True,True,True
REP,REP,LIN,QR1,True,594c61757d8f8784,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,594c61757d8f8784,True,True,True,True,True
BNN,BNN,MC,QR1,True,594c61757d8f8784,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,594c61757d8f8784,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,594c61757d8f8784,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,594c61757d8f8784,True,True,True,True,True
HUN,,,EXACT,True,e77513b54119b607,True,True,True,True,True
GRD,,,POLICY,True,e77513b54119b607,True,True,True,True,True
DA,,,POLICY,True,e77513b54119b607,True,True,True,True,True
REP,REP,LIN,QR1,True,e77513b54119b607,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,e77513b54119b607,True,True,True,True,True
BNN,BNN,MC,QR1,True,e77513b54119b607,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,e77513b54119b607,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,e77513b54119b607,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,e77513b54119b607,True,True,True,True,True
HUN,,,EXACT,True,b1cd4dc9c7a6d516,True,True,True,True,True
GRD,,,POLICY,True,b1cd4dc9c7a6d516,True,True,True,True,True
DA,,,POLICY,True,b1cd4dc9c7a6d516,True,True,True,True,True
REP,REP,LIN,QR1,True,b1cd4dc9c7a6d516,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,b1cd4dc9c7a6d516,True,True,True,True,True
BNN,BNN,MC,QR1,True,b1cd4dc9c7a6d516,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,b1cd4dc9c7a6d516,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,b1cd4dc9c7a6d516,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,b1cd4dc9c7a6d516,True,True,True,True,True
HUN,,,EXACT,True,1b9f8d001fcecc2a,True,True,True,True,True
GRD,,,POLICY,True,1b9f8d001fcecc2a,True,True,True,True,True
DA,,,POLICY,True,1b9f8d001fcecc2a,True,True,True,True,True
REP,REP,LIN,QR1,True,1b9f8d001fcecc2a,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,1b9f8d001fcecc2a,True,True,True,True,True
BNN,BNN,MC,QR1,True,1b9f8d001fcecc2a,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,1b9f8d001fcecc2a,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,1b9f8d001fcecc2a,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,1b9f8d001fcecc2a,True,True,True,True,True
HUN,,,EXACT,True,059e0348f0f2f719,True,True,True,True,True
GRD,,,POLICY,True,059e0348f0f2f719,True,True,True,True,True
DA,,,POLICY,True,059e0348f0f2f719,True,True,True,True,True
REP,REP,LIN,QR1,True,059e0348f0f2f719,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,059e0348f0f2f719,True,True,True,True,True
BNN,BNN,MC,QR1,True,059e0348f0f2f719,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,059e0348f0f2f719,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,059e0348f0f2f719,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,059e0348f0f2f719,True,True,True,True,True
HUN,,,EXACT,True,7ac072bf6239e4eb,True,True,True,True,True
GRD,,,POLICY,True,7ac072bf6239e4eb,True,True,True,True,True
DA,,,POLICY,True,7ac072bf6239e4eb,True,True,True,True,True
REP,REP,LIN,QR1,True,7ac072bf6239e4eb,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,7ac072bf6239e4eb,True,True,True,True,True
BNN,BNN,MC,QR1,True,7ac072bf6239e4eb,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7ac072bf6239e4eb,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7ac072bf6239e4eb,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7ac072bf6239e4eb,True,True,True,True,True
HUN,,,EXACT,True,500c85a5a84930fb,True,True,True,True,True
GRD,,,POLICY,True,500c85a5a84930fb,True,True,True,True,True
DA,,,POLICY,True,500c85a5a84930fb,True,True,True,True,True
REP,REP,LIN,QR1,True,500c85a5a84930fb,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,500c85a5a84930fb,True,True,True,True,True
BNN,BNN,MC,QR1,True,500c85a5a84930fb,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,500c85a5a84930fb,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,500c85a5a84930fb,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,500c85a5a84930fb,True,True,True,True,True
HUN,,,EXACT,True,7256e45337970bf1,True,True,True,True,True
GRD,,,POLICY,True,7256e45337970bf1,True,True,True,True,True
DA,,,POLICY,True,7256e45337970bf1,True,True,True,True,True
REP,REP,LIN,QR1,True,7256e45337970bf1,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,7256e45337970bf1,True,True,True,True,True
BNN,BNN,MC,QR1,True,7256e45337970bf1,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,7256e45337970bf1,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,7256e45337970bf1,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,7256e45337970bf1,True,True,True,True,True
HUN,,,EXACT,True,d61957e9f3370dd1,True,True,True,True,True
GRD,,,POLICY,True,d61957e9f3370dd1,True,True,True,True,True
DA,,,POLICY,True,d61957e9f3370dd1,True,True,True,True,True
REP,REP,LIN,QR1,True,d61957e9f3370dd1,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,d61957e9f3370dd1,True,True,True,True,True
BNN,BNN,MC,QR1,True,d61957e9f3370dd1,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,d61957e9f3370dd1,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,d61957e9f3370dd1,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,d61957e9f3370dd1,True,True,True,True,True
HUN,,,EXACT,True,1907e7dd09821806,True,True,True,True,True
GRD,,,POLICY,True,1907e7dd09821806,True,True,True,True,True
DA,,,POLICY,True,1907e7dd09821806,True,True,True,True,True
REP,REP,LIN,QR1,True,1907e7dd09821806,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,1907e7dd09821806,True,True,True,True,True
BNN,BNN,MC,QR1,True,1907e7dd09821806,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,1907e7dd09821806,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,1907e7dd09821806,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,1907e7dd09821806,True,True,True,True,True
HUN,,,EXACT,True,c60e2079e060e495,True,True,True,True,True
GRD,,,POLICY,True,c60e2079e060e495,True,True,True,True,True
DA,,,POLICY,True,c60e2079e060e495,True,True,True,True,True
REP,REP,LIN,QR1,True,c60e2079e060e495,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,c60e2079e060e495,True,True,True,True,True
BNN,BNN,MC,QR1,True,c60e2079e060e495,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,c60e2079e060e495,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,c60e2079e060e495,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,c60e2079e060e495,True,True,True,True,True
HUN,,,EXACT,True,001e16204e71ff2f,True,True,True,True,True
GRD,,,POLICY,True,001e16204e71ff2f,True,True,True,True,True
DA,,,POLICY,True,001e16204e71ff2f,True,True,True,True,True
REP,REP,LIN,QR1,True,001e16204e71ff2f,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,001e16204e71ff2f,True,True,True,True,True
BNN,BNN,MC,QR1,True,001e16204e71ff2f,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,001e16204e71ff2f,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,001e16204e71ff2f,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,001e16204e71ff2f,True,True,True,True,True
HUN,,,EXACT,True,022af0ddb8b947d0,True,True,True,True,True
GRD,,,POLICY,True,022af0ddb8b947d0,True,True,True,True,True
DA,,,POLICY,True,022af0ddb8b947d0,True,True,True,True,True
REP,REP,LIN,QR1,True,022af0ddb8b947d0,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,022af0ddb8b947d0,True,True,True,True,True
BNN,BNN,MC,QR1,True,022af0ddb8b947d0,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,022af0ddb8b947d0,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,022af0ddb8b947d0,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,022af0ddb8b947d0,True,True,True,True,True
HUN,,,EXACT,True,f2dcf93193398d14,True,True,True,True,True
GRD,,,POLICY,True,f2dcf93193398d14,True,True,True,True,True
DA,,,POLICY,True,f2dcf93193398d14,True,True,True,True,True
REP,REP,LIN,QR1,True,f2dcf93193398d14,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,f2dcf93193398d14,True,True,True,True,True
BNN,BNN,MC,QR1,True,f2dcf93193398d14,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,f2dcf93193398d14,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,f2dcf93193398d14,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,f2dcf93193398d14,True,True,True,True,True
HUN,,,EXACT,True,2b127ede47b71975,True,True,True,True,True
GRD,,,POLICY,True,2b127ede47b71975,True,True,True,True,True
DA,,,POLICY,True,2b127ede47b71975,True,True,True,True,True
REP,REP,LIN,QR1,True,2b127ede47b71975,True,True,True,True,True
SMI,SMI,ASYM,QR1,True,2b127ede47b71975,True,True,True,True,True
BNN,BNN,MC,QR1,True,2b127ede47b71975,True,True,True,True,True
LOG,LOG,SIG,REPAIR,True,2b127ede47b71975,True,True,True,True,True
PROJ,PROJ,QUAD,QR1,True,2b127ede47b71975,True,True,True,True,True
HYB,HYB,ASYM,QR2,True,2b127ede47b71975,True,True,True,True,True
