world_key,graph_regime,radius,radius_over_rc,graph_seed,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected
E2:uniform:p0.85:cv0.35:r6,medium,51.03151426145676,1.5,2909789880,55,6.875,1,4,1,0.39809981772833036,True
E2:uniform:p0.85:cv0.35:r7,medium,51.85279587313168,1.5,354433585,63,7.875,3,3,1,2.5179763257478025,True
E2:uniform:p0.85:cv0.35:r8,medium,44.45990272049473,1.5,310028375,65,8.125,4,4,1,1.6211279203985993,True
E2:uniform:p0.85:cv0.35:r9,medium,61.505540253517374,1.5,122714524,64,8.0,4,3,1,2.5184140624943097,True
E2:uniform:p0.85:cv0.35:r10,medium,51.88357970657398,1.5,1248199787,59,7.375,1,4,1,0.7190599730559522,True
E2:uniform:p0.85:cv0.35:r11,medium,51.95720443516932,1.5,2333080735,59,7.375,2,3,1,1.6917737934637578,True
E2:uniform:p0.85:cv0.35:r12,medium,62.86371848205068,1.5,1078889650,70,8.75,5,3,1,3.0765498969784355,True
E2:uniform:p0.85:cv0.35:r13,medium,63.21518318242265,1.5,847213278,67,8.375,4,3,1,2.672081958297772,True
E2:uniform:p0.85:cv0.35:r14,medium,61.75449528685395,1.5,2847597802,77,9.625,4,2,1,3.841140256370556,True
E2:uniform:p0.85:cv0.35:r15,medium,44.68920422189284,1.5,1161501580,62,7.75,5,3,1,2.076929443070198,True
E2:uniform:p0.85:cv0.35:r16,medium,61.47158814216072,1.5,3456596237,88,11.0,4,2,1,3.80866775938531,True
E2:uniform:p0.85:cv0.35:r17,medium,59.778446237340205,1.5,1787003181,80,10.0,4,2,1,3.8399312018388847,True
E2:uniform:p0.85:cv0.35:r18,medium,55.786589475983575,1.5,75399376,58,7.25,3,3,1,2.2000864801907847,True
E2:uniform:p0.85:cv0.35:r19,medium,41.24763922223648,1.5,314133757,37,4.625,3,4,1,0.5012529784135663,True
E2:uniform:p0.85:cv0.35:r20,medium,39.80031292360269,1.5,1387344931,52,6.5,1,4,1,0.833773939373545,True
E2:uniform:p0.85:cv0.35:r21,medium,42.72818430135642,1.5,3104999993,51,6.375,3,4,1,0.44844449150408305,True
E2:uniform:p0.85:cv0.35:r22,medium,85.46458318733029,1.5,2076654426,109,13.625,5,2,1,4.988790883706017,True
E2:uniform:p0.85:cv0.35:r23,medium,50.94290135820326,1.5,1368457705,68,8.5,4,3,1,2.879392312977194,True
E2:uniform:p0.85:cv0.35:r24,medium,56.984338772266014,1.5,2976113044,72,9.0,3,3,1,2.2468240806243225,True
E2:uniform:p0.85:cv0.35:r25,medium,55.15575383608714,1.5,2792926050,62,7.75,2,3,1,1.5912160871216776,True
E2:uniform:p0.85:cv0.35:r26,medium,56.26024106362277,1.5,2106931361,80,10.0,3,2,1,2.5839988214076097,True
E2:uniform:p0.85:cv0.35:r27,medium,43.35743212801433,1.5,2207608105,58,7.25,2,3,1,1.4677930830236252,True
E2:uniform:p0.85:cv0.35:r28,medium,49.3121342733178,1.5,1233471789,49,6.125,3,4,1,1.2350321785144893,True
E2:uniform:p0.85:cv0.35:r29,medium,84.57793155864525,1.5,2670902933,107,13.375,8,2,1,7.765654168413254,True
E2:uniform:p0.7:cv0.65:r0,medium,41.480092873993016,1.5,971949659,43,5.375,1,6,1,0.32347436520041156,True
E2:uniform:p0.7:cv0.65:r1,medium,49.41476746769516,1.5,1650646117,52,6.5,2,3,1,1.3477460292769896,True
E2:uniform:p0.7:cv0.65:r2,medium,53.52034746228047,1.5,1808233241,48,6.0,3,3,1,1.21866765769549,True
E2:uniform:p0.7:cv0.65:r3,medium,63.50013010369336,1.5,3714920918,90,11.25,7,2,1,5.903313689727254,True
E2:uniform:p0.7:cv0.65:r4,medium,68.11110422201854,1.5,1702622760,96,12.0,7,2,1,6.209455638856795,True
E2:uniform:p0.7:cv0.65:r5,medium,57.621216851604075,1.5,3047800900,72,9.0,1,3,1,0.8995870123896841,True
E2:uniform:p0.7:cv0.65:r6,medium,52.56680128031092,1.5,3663561766,66,8.25,5,3,1,2.4527864139652675,True
E2:uniform:p0.7:cv0.65:r7,medium,62.60145822095235,1.5,3369711852,59,7.375,5,3,1,2.0867693944135706,True
E2:uniform:p0.7:cv0.65:r8,medium,52.52657548855487,1.5,372643683,55,6.875,4,3,1,1.8651646907297221,True
E2:uniform:p0.7:cv0.65:r9,medium,46.05925770596542,1.5,354683467,58,7.25,2,3,1,1.6221315914379406,True
E2:uniform:p0.7:cv0.65:r10,medium,59.573149646930574,1.5,339958285,66,8.25,4,3,1,2.9762095157320396,True
E2:uniform:p0.7:cv0.65:r11,medium,38.04694158251739,1.5,4282585846,48,6.0,3,5,1,0.6948884965752268,True
E2:uniform:p0.7:cv0.65:r12,medium,49.04499849015576,1.5,200871354,56,7.0,3,3,1,1.2239144816266627,True
E2:uniform:p0.7:cv0.65:r13,medium,48.711055088085715,1.5,2074074201,61,7.625,3,3,1,1.6770138503657517,True
E2:uniform:p0.7:cv0.65:r14,medium,68.69297648918659,1.5,3652005525,88,11.0,4,2,1,3.7717262428451575,True
E2:uniform:p0.7:cv0.65:r15,medium,54.71983180246471,1.5,779025303,53,6.625,2,3,1,0.7805536345930942,True
E2:uniform:p0.7:cv0.65:r16,medium,62.50378483898015,1.5,2230547777,90,11.25,4,2,1,3.617179438325412,True
E2:uniform:p0.7:cv0.65:r17,medium,50.13870562331073,1.5,1573080845,64,8.0,3,3,1,2.518110692168888,True
E2:uniform:p0.7:cv0.65:r18,medium,50.13175577550068,1.5,4226782885,58,7.25,2,3,1,1.1011369240162157,True
E2:uniform:p0.7:cv0.65:r19,medium,53.9878479636929,1.5,464816480,65,8.125,3,3,1,1.7614520075416453,True
E2:uniform:p0.7:cv0.65:r20,medium,59.163450920346605,1.5,3482396282,64,8.0,4,3,1,2.5973855837399173,True
E2:uniform:p0.7:cv0.65:r21,medium,46.787101584506495,1.5,219269368,56,7.0,3,3,1,2.0044201255644056,True
E2:uniform:p0.7:cv0.65:r22,medium,68.4493613841111,1.5,1125814744,93,11.625,5,2,1,4.755203452569202,True
E2:uniform:p0.7:cv0.65:r23,medium,49.47805908429008,1.5,2144074091,53,6.625,5,3,1,0.9623267489693101,True
E2:uniform:p0.7:cv0.65:r24,medium,49.35989266437805,1.5,3848337856,56,7.0,2,4,1,1.254639786883877,True
E2:uniform:p0.7:cv0.65:r25,medium,49.735535930140344,1.5,226200973,66,8.25,3,3,1,1.7893949862848055,True
E2:uniform:p0.7:cv0.65:r26,medium,51.539421932429775,1.5,326625632,52,6.5,2,3,1,1.3633029018559817,True
E2:uniform:p0.7:cv0.65:r27,medium,40.99228767379051,1.5,2157630827,46,5.75,3,4,1,1.120995248004419,True
E2:uniform:p0.7:cv0.65:r28,medium,47.54306065399494,1.5,1090818584,49,6.125,4,3,1,0.9339617799106549,True
E2:uniform:p0.7:cv0.65:r29,medium,62.020493695275746,1.5,1590993984,73,9.125,3,3,1,2.108423238864211,True
E2:uniform:p0.85:cv0.65:r0,medium,82.35033080483063,1.5,1795442362,107,13.375,7,2,1,6.8579766624666405,True
E2:uniform:p0.85:cv0.65:r1,medium,63.99693944746706,1.5,119672481,73,9.125,6,2,1,3.3337975243816578,True
E2:uniform:p0.85:cv0.65:r2,medium,48.68204567212004,1.5,2373704553,55,6.875,3,3,1,1.046667012278721,True
E2:uniform:p0.85:cv0.65:r3,medium,48.603525424272505,1.5,4197235162,75,9.375,5,2,1,3.457999927506408,True
E2:uniform:p0.85:cv0.65:r4,medium,70.40927272613865,1.5,2355441009,76,9.5,4,2,1,3.3622484666289894,True
E2:uniform:p0.85:cv0.65:r5,medium,58.88542226997639,1.5,2157291504,69,8.625,4,3,1,1.5915987771229676,True
E2:uniform:p0.85:cv0.65:r6,medium,51.03151426145676,1.5,2909789880,55,6.875,1,4,1,0.39809981772833036,True
E2:uniform:p0.85:cv0.65:r7,medium,51.85279587313168,1.5,354433585,63,7.875,3,3,1,2.5179763257478025,True
E2:uniform:p0.85:cv0.65:r8,medium,44.45990272049473,1.5,310028375,65,8.125,4,4,1,1.6211279203985993,True
E2:uniform:p0.85:cv0.65:r9,medium,61.505540253517374,1.5,122714524,64,8.0,4,3,1,2.5184140624943097,True
E2:uniform:p0.85:cv0.65:r10,medium,51.88357970657398,1.5,1248199787,59,7.375,1,4,1,0.7190599730559522,True
E2:uniform:p0.85:cv0.65:r11,medium,51.95720443516932,1.5,2333080735,59,7.375,2,3,1,1.6917737934637578,True
E2:uniform:p0.85:cv0.65:r12,medium,62.86371848205068,1.5,1078889650,70,8.75,5,3,1,3.0765498969784355,True
E2:uniform:p0.85:cv0.65:r13,medium,63.21518318242265,1.5,847213278,67,8.375,4,3,1,2.672081958297772,True
E2:uniform:p0.85:cv0.65:r14,medium,61.75449528685395,1.5,2847597802,77,9.625,4,2,1,3.841140256370556,True
E2:uniform:p0.85:cv0.65:r15,medium,44.68920422189284,1.5,1161501580,62,7.75,5,3,1,2.076929443070198,True
E2:uniform:p0.85:cv0.65:r16,medium,61.47158814216072,1.5,3456596237,88,11.0,4,2,1,3.80866775938531,True
E2:uniform:p0.85:cv0.65:r17,medium,59.778446237340205,1.5,1787003181,80,10.0,4,2,1,3.8399312018388847,True
E2:uniform:p0.85:cv0.65:r18,medium,55.786589475983575,1.5,75399376,58,7.25,3,3,1,2.2000864801907847,True
E2:uniform:p0.85:cv0.65:r19,medium,41.24763922223648,1.5,314133757,37,4.625,3,4,1,0.5012529784135663,True
E2:uniform:p0.85:cv0.65:r20,medium,39.80031292360269,1.5,1387344931,52,6.5,1,4,1,0.833773939373545,True
E2:uniform:p0.85:cv0.65:r21,medium,42.72818430135642,1.5,3104999993,51,6.375,3,4,1,0.44844449150408305,True
E2:uniform:p0.85:cv0.65:r22,medium,85.46458318733029,1.5,2076654426,109,13.625,5,2,1,4.988790883706017,True
E2:uniform:p0.85:cv0.65:r23,medium,50.94290135820326,1.5,1368457705,68,8.5,4,3,1,2.879392312977194,True
E2:uniform:p0.85:cv0.65:r24,medium,56.984338772266014,1.5,2976113044,72,9.0,3,3,1,2.2468240806243225,True
E2:uniform:p0.85:cv0.65:r25,medium,55.15575383608714,1.5,2792926050,62,7.75,2,3,1,1.5912160871216776,True
E2:uniform:p0.85:cv0.65:r26,medium,56.26024106362277,1.5,2106931361,80,10.0,3,2,1,2.5839988214076097,True
E2:uniform:p0.85:cv0.65:r27,medium,43.35743212801433,1.5,2207608105,58,7.25,2,3,1,1.4677930830236252,True
E2:uniform:p0.85:cv0.65:r28,medium,49.3121342733178,1.5,1233471789,49,6.125,3,4,1,1.2350321785144893,True
E2:uniform:p0.85:cv0.65:r29,medium,84.57793155864525,1.5,2670902933,107,13.375,8,2,1,7.765654168413254,True
E2:uniform:p0.7:cv1.0:r0,medium,41.480092873993016,1.5,971949659,43,5.375,1,6,1,0.32347436520041156,True
E2:uniform:p0.7:cv1.0:r1,medium,49.41476746769516,1.5,1650646117,52,6.5,2,3,1,1.3477460292769896,True
E2:uniform:p0.7:cv1.0:r2,medium,53.52034746228047,1.5,1808233241,48,6.0,3,3,1,1.21866765769549,True
E2:uniform:p0.7:cv1.0:r3,medium,63.50013010369336,1.5,3714920918,90,11.25,7,2,1,5.903313689727254,True
E2:uniform:p0.7:cv1.0:r4,medium,68.11110422201854,1.5,1702622760,96,12.0,7,2,1,6.209455638856795,True
E2:uniform:p0.7:cv1.0:r5,medium,57.621216851604075,1.5,3047800900,72,9.0,1,3,1,0.8995870123896841,True
E2:uniform:p0.7:cv1.0:r6,medium,52.56680128031092,1.5,3663561766,66,8.25,5,3,1,2.4527864139652675,True
E2:uniform:p0.7:cv1.0:r7,medium,62.60145822095235,1.5,3369711852,59,7.375,5,3,1,2.0867693944135706,True
E2:uniform:p0.7:cv1.0:r8,medium,52.52657548855487,1.5,372643683,55,6.875,4,3,1,1.8651646907297221,True
E2:uniform:p0.7:cv1.0:r9,medium,46.05925770596542,1.5,354683467,58,7.25,2,3,1,1.6221315914379406,True
E2:uniform:p0.7:cv1.0:r10,medium,59.573149646930574,1.5,339958285,66,8.25,4,3,1,2.9762095157320396,True
E2:uniform:p0.7:cv1.0:r11,medium,38.04694158251739,1.5,4282585846,48,6.0,3,5,1,0.6948884965752268,True
E2:uniform:p0.7:cv1.0:r12,medium,49.04499849015576,1.5,200871354,56,7.0,3,3,1,1.2239144816266627,True
E2:uniform:p0.7:cv1.0:r13,medium,48.711055088085715,1.5,2074074201,61,7.625,3,3,1,1.6770138503657517,True
E2:uniform:p0.7:cv1.0:r14,medium,68.69297648918659,1.5,3652005525,88,11.0,4,2,1,3.7717262428451575,True
E2:uniform:p0.7:cv1.0:r15,medium,54.71983180246471,1.5,779025303,53,6.625,2,3,1,0.7805536345930942,True
E2:uniform:p0.7:cv1.0:r16,medium,62.50378483898015,1.5,2230547777,90,11.25,4,2,1,3.617179438325412,True
E2:uniform:p0.7:cv1.0:r17,medium,50.13870562331073,1.5,1573080845,64,8.0,3,3,1,2.518110692168888,True
E2:uniform:p0.7:cv1.0:r18,medium,50.13175577550068,1.5,4226782885,58,7.25,2,3,1,1.1011369240162157,True
E2:uniform:p0.7:cv1.0:r19,medium,53.9878479636929,1.5,464816480,65,8.125,3,3,1,1.7614520075416453,True
E2:uniform:p0.7:cv1.0:r20,medium,59.163450920346605,1.5,3482396282,64,8.0,4,3,1,2.5973855837399173,True
E2:uniform:p0.7:cv1.0:r21,medium,46.787101584506495,1.5,219269368,56,7.0,3,3,1,2.0044201255644056,True
E2:uniform:p0.7:cv1.0:r22,medium,68.4493613841111,1.5,1125814744,93,11.625,5,2,1,4.755203452569202,True
E2:uniform:p0.7:cv1.0:r23,medium,49.47805908429008,1.5,2144074091,53,6.625,5,3,1,0.9623267489693101,True
E2:uniform:p0.7:cv1.0:r24,medium,49.35989266437805,1.5,3848337856,56,7.0,2,4,1,1.254639786883877,True
E2:uniform:p0.7:cv1.0:r25,medium,49.735535930140344,1.5,226200973,66,8.25,3,3,1,1.7893949862848055,True
E2:uniform:p0.7:cv1.0:r26,medium,51.539421932429775,1.5,326625632,52,6.5,2,3,1,1.3633029018559817,True
E2:uniform:p0.7:cv1.0:r27,medium,40.99228767379051,1.5,2157630827,46,5.75,3,4,1,1.120995248004419,True
E2:uniform:p0.7:cv1.0:r28,medium,47.54306065399494,1.5,1090818584,49,6.125,4,3,1,0.9339617799106549,True
E2:uniform:p0.7:cv1.0:r29,medium,62.020493695275746,1.5,1590993984,73,9.125,3,3,1,2.108423238864211,True
E2:uniform:p0.85:cv1.0:r0,medium,82.35033080483063,1.5,1795442362,107,13.375,7,2,1,6.8579766624666405,True
E2:uniform:p0.85:cv1.0:r1,medium,63.99693944746706,1.5,119672481,73,9.125,6,2,1,3.3337975243816578,True
E2:uniform:p0.85:cv1.0:r2,medium,48.68204567212004,1.5,2373704553,55,6.875,3,3,1,1.046667012278721,True
E2:uniform:p0.85:cv1.0:r3,medium,48.603525424272505,1.5,4197235162,75,9.375,5,2,1,3.457999927506408,True
E2:uniform:p0.85:cv1.0:r4,medium,70.40927272613865,1.5,2355441009,76,9.5,4,2,1,3.3622484666289894,True
E2:uniform:p0.85:cv1.0:r5,medium,58.88542226997639,1.5,2157291504,69,8.625,4,3,1,1.5915987771229676,True
E2:uniform:p0.85:cv1.0:r6,medium,51.03151426145676,1.5,2909789880,55,6.875,1,4,1,0.39809981772833036,True
E2:uniform:p0.85:cv1.0:r7,medium,51.85279587313168,1.5,354433585,63,7.875,3,3,1,2.5179763257478025,True
