world_key,graph_regime,graph_n_edges,graph_mean_degree,graph_min_degree,graph_diameter,graph_components,graph_lambda_2,graph_connected
E3:uniform:p0.7:cv0.0:r20,medium,74,9.25,4,3,1,3.2624795573042342,True
E3:uniform:p0.7:cv0.0:r21,medium,51,6.375,3,3,1,1.7347252853192012,True
E3:uniform:p0.7:cv0.0:r22,medium,59,7.375,2,3,1,1.65738638670917,True
E3:uniform:p0.7:cv0.0:r23,medium,74,9.25,3,3,1,2.5596478727771492,True
E3:uniform:p0.7:cv0.0:r24,medium,52,6.5,3,3,1,1.7068174280401882,True
E3:uniform:p0.7:cv0.0:r25,medium,50,6.25,3,3,1,0.8905251447282041,True
E3:uniform:p0.7:cv0.0:r26,medium,63,7.875,3,3,1,2.2082474211754235,True
E3:uniform:p0.7:cv0.0:r27,medium,97,12.125,2,3,1,1.9683055382440346,True
E3:uniform:p0.7:cv0.0:r28,medium,69,8.625,5,3,1,2.8243614068380367,True
E3:uniform:p0.7:cv0.0:r29,medium,65,8.125,4,3,1,2.884082777619818,True
E3:uniform:p0.85:cv0.0:r0,medium,100,12.5,7,2,1,6.7337360024412956,True
E3:uniform:p0.85:cv0.0:r1,medium,40,5.0,2,4,1,0.49691616055998816,True
E3:uniform:p0.85:cv0.0:r2,medium,74,9.25,4,3,1,3.2142203832594958,True
E3:uniform:p0.85:cv0.0:r3,medium,67,8.375,4,3,1,1.4061969971973787,True
E3:uniform:p0.85:cv0.0:r4,medium,51,6.375,4,3,1,1.7043146154579485,True
E3:uniform:p0.85:cv0.0:r5,medium,88,11.0,4,2,1,3.5041116527759306,True
E3:uniform:p0.85:cv0.0:r6,medium,62,7.75,3,3,1,1.5588692688449366,True
E3:uniform:p0.85:cv0.0:r7,medium,91,11.375,5,2,1,4.398913220664616,True
E3:uniform:p0.85:cv0.0:r8,medium,71,8.875,5,2,1,3.1792774389945504,True
E3:uniform:p0.85:cv0.0:r9,medium,59,7.375,4,3,1,1.716834997090069,True
E3:uniform:p0.85:cv0.0:r10,medium,57,7.125,5,3,1,1.7034675350365918,True
E3:uniform:p0.85:cv0.0:r11,medium,60,7.5,4,3,1,2.2272332223455926,True
E3:uniform:p0.85:cv0.0:r12,medium,74,9.25,6,3,1,4.093722992609587,True
E3:uniform:p0.85:cv0.0:r13,medium,76,9.5,2,3,1,1.9658254131827446,True
E3:uniform:p0.85:cv0.0:r14,medium,65,8.125,5,3,1,1.9713508129487578,True
E3:uniform:p0.85:cv0.0:r15,medium,48,6.0,1,3,1,0.8425921939630057,True
E3:uniform:p0.85:cv0.0:r16,medium,54,6.75,4,3,1,1.1340369516100914,True
E3:uniform:p0.85:cv0.0:r17,medium,65,8.125,3,3,1,2.2042838976074144,True
E3:uniform:p0.85:cv0.0:r18,medium,93,11.625,8,2,1,6.695074141876258,True
E3:uniform:p0.85:cv0.0:r19,medium,70,8.75,3,3,1,2.6175548677420672,True
E3:uniform:p0.85:cv0.0:r20,medium,68,8.5,3,3,1,1.5338638571592245,True
E3:uniform:p0.85:cv0.0:r21,medium,66,8.25,3,3,1,1.5944637110540811,True
E3:uniform:p0.85:cv0.0:r22,medium,73,9.125,3,3,1,2.650283503349107,True
E3:uniform:p0.85:cv0.0:r23,medium,71,8.875,3,3,1,1.539011050285053,True
E3:uniform:p0.85:cv0.0:r24,medium,49,6.125,2,4,1,1.1260339120468195,True
E3:uniform:p0.85:cv0.0:r25,medium,77,9.625,5,2,1,4.287852066587851,True
E3:uniform:p0.85:cv0.0:r26,medium,60,7.5,4,3,1,2.426480504344831,True
E3:uniform:p0.85:cv0.0:r27,medium,68,8.5,5,3,1,2.229405165606473,True
E3:uniform:p0.85:cv0.0:r28,medium,79,9.875,5,3,1,3.802852035044222,True
E3:uniform:p0.85:cv0.0:r29,medium,74,9.25,5,2,1,3.7353784629153606,True
E3:uniform:p0.7:cv0.35:r0,medium,81,10.125,5,2,1,4.531452980949587,True
E3:uniform:p0.7:cv0.35:r1,medium,75,9.375,5,3,1,2.642817163468848,True
E3:uniform:p0.7:cv0.35:r2,medium,53,6.625,4,4,1,1.5610583414991872,True
E3:uniform:p0.7:cv0.35:r3,medium,47,5.875,1,4,1,0.6107372821866587,True
E3:uniform:p0.7:cv0.35:r4,medium,95,11.875,6,2,1,5.697572873231623,True
E3:uniform:p0.7:cv0.35:r5,medium,59,7.375,4,3,1,1.792569491727456,True
E3:uniform:p0.7:cv0.35:r6,medium,65,8.125,4,3,1,2.553387500214278,True
E3:uniform:p0.7:cv0.35:r7,medium,61,7.625,3,3,1,1.6950561453274962,True
E3:uniform:p0.7:cv0.35:r8,medium,41,5.125,1,5,1,0.4507102321626627,True
E3:uniform:p0.7:cv0.35:r9,medium,47,5.875,2,4,1,0.9171595201408962,True
E3:uniform:p0.7:cv0.35:r10,medium,59,7.375,1,3,1,0.889696390958527,True
E3:uniform:p0.7:cv0.35:r11,medium,43,5.375,2,4,1,0.7945696567340073,True
E3:uniform:p0.7:cv0.35:r12,medium,58,7.25,2,3,1,1.2903094634006462,True
E3:uniform:p0.7:cv0.35:r13,medium,78,9.75,6,2,1,4.504361767768368,True
E3:uniform:p0.7:cv0.35:r14,medium,48,6.0,3,4,1,1.2268158382094847,True
E3:uniform:p0.7:cv0.35:r15,medium,46,5.75,2,3,1,0.8943460218915814,True
E3:uniform:p0.7:cv0.35:r16,medium,57,7.125,1,4,1,0.5314877342808896,True
E3:uniform:p0.7:cv0.35:r17,medium,78,9.75,4,3,1,3.633731067055448,True
E3:uniform:p0.7:cv0.35:r18,medium,77,9.625,3,3,1,2.5403552010849046,True
E3:uniform:p0.7:cv0.35:r19,medium,58,7.25,3,3,1,1.2853148463585384,True
E3:uniform:p0.7:cv0.35:r20,medium,74,9.25,4,3,1,3.2624795573042342,True
E3:uniform:p0.7:cv0.35:r21,medium,51,6.375,3,3,1,1.7347252853192012,True
E3:uniform:p0.7:cv0.35:r22,medium,59,7.375,2,3,1,1.65738638670917,True
E3:uniform:p0.7:cv0.35:r23,medium,74,9.25,3,3,1,2.5596478727771492,True
E3:uniform:p0.7:cv0.35:r24,medium,52,6.5,3,3,1,1.7068174280401882,True
E3:uniform:p0.7:cv0.35:r25,medium,50,6.25,3,3,1,0.8905251447282041,True
E3:uniform:p0.7:cv0.35:r26,medium,63,7.875,3,3,1,2.2082474211754235,True
E3:uniform:p0.7:cv0.35:r27,medium,97,12.125,2,3,1,1.9683055382440346,True
E3:uniform:p0.7:cv0.35:r28,medium,69,8.625,5,3,1,2.8243614068380367,True
E3:uniform:p0.7:cv0.35:r29,medium,65,8.125,4,3,1,2.884082777619818,True
E3:uniform:p0.85:cv0.35:r0,medium,100,12.5,7,2,1,6.7337360024412956,True
E3:uniform:p0.85:cv0.35:r1,medium,40,5.0,2,4,1,0.49691616055998816,True
E3:uniform:p0.85:cv0.35:r2,medium,74,9.25,4,3,1,3.2142203832594958,True
E3:uniform:p0.85:cv0.35:r3,medium,67,8.375,4,3,1,1.4061969971973787,True
E3:uniform:p0.85:cv0.35:r4,medium,51,6.375,4,3,1,1.7043146154579485,True
E3:uniform:p0.85:cv0.35:r5,medium,88,11.0,4,2,1,3.5041116527759306,True
E3:uniform:p0.85:cv0.35:r6,medium,62,7.75,3,3,1,1.5588692688449366,True
E3:uniform:p0.85:cv0.35:r7,medium,91,11.375,5,2,1,4.398913220664616,True
E3:uniform:p0.85:cv0.35:r8,medium,71,8.875,5,2,1,3.1792774389945504,True
E3:uniform:p0.85:cv0.35:r9,medium,59,7.375,4,3,1,1.716834997090069,True
E3:uniform:p0.85:cv0.35:r10,medium,57,7.125,5,3,1,1.7034675350365918,True
E3:uniform:p0.85:cv0.35:r11,medium,60,7.5,4,3,1,2.2272332223455926,True
E3:uniform:p0.85:cv0.35:r12,medium,74,9.25,6,3,1,4.093722992609587,True
E3:uniform:p0.85:cv0.35:r13,medium,76,9.5,2,3,1,1.9658254131827446,True
E3:uniform:p0.85:cv0.35:r14,medium,65,8.125,5,3,1,1.9713508129487578,True
E3:uniform:p0.85:cv0.35:r15,medium,48,6.0,1,3,1,0.8425921939630057,True
E3:uniform:p0.85:cv0.35:r16,medium,54,6.75,4,3,1,1.1340369516100914,True
E3:uniform:p0.85:cv0.35:r17,medium,65,8.125,3,3,1,2.2042838976074144,True
E3:uniform:p0.85:cv0.35:r18,medium,93,11.625,8,2,1,6.695074141876258,True
E3:uniform:p0.85:cv0.35:r19,medium,70,8.75,3,3,1,2.6175548677420672,True
E3:uniform:p0.85:cv0.35:r20,medium,68,8.5,3,3,1,1.5338638571592245,True
E3:uniform:p0.85:cv0.35:r21,medium,66,8.25,3,3,1,1.5944637110540811,True
E3:uniform:p0.85:cv0.35:r22,medium,73,9.125,3,3,1,2.650283503349107,True
E3:uniform:p0.85:cv0.35:r23,medium,71,8.875,3,3,1,1.539011050285053,True
E3:uniform:p0.85:cv0.35:r24,medium,49,6.125,2,4,1,1.1260339120468195,True
E3:uniform:p0.85:cv0.35:r25,medium,77,9.625,5,2,1,4.287852066587851,True
E3:uniform:p0.85:cv0.35:r26,medium,60,7.5,4,3,1,2.426480504344831,True
E3:uniform:p0.85:cv0.35:r27,medium,68,8.5,5,3,1,2.229405165606473,True
E3:uniform:p0.85:cv0.35:r28,medium,79,9.875,5,3,1,3.802852035044222,True
E3:uniform:p0.85:cv0.35:r29,medium,74,9.25,5,2,1,3.7353784629153606,True
E3:uniform:p0.7:cv0.65:r0,medium,81,10.125,5,2,1,4.531452980949587,True
E3:uniform:p0.7:cv0.65:r1,medium,75,9.375,5,3,1,2.642817163468848,True
E3:uniform:p0.7:cv0.65:r2,medium,53,6.625,4,4,1,1.5610583414991872,True
E3:uniform:p0.7:cv0.65:r3,medium,47,5.875,1,4,1,0.6107372821866587,True
E3:uniform:p0.7:cv0.65:r4,medium,95,11.875,6,2,1,5.697572873231623,True
E3:uniform:p0.7:cv0.65:r5,medium,59,7.375,4,3,1,1.792569491727456,True
E3:uniform:p0.7:cv0.65:r6,medium,65,8.125,4,3,1,2.553387500214278,True
E3:uniform:p0.7:cv0.65:r7,medium,61,7.625,3,3,1,1.6950561453274962,True
E3:uniform:p0.7:cv0.65:r8,medium,41,5.125,1,5,1,0.4507102321626627,True
E3:uniform:p0.7:cv0.65:r9,medium,47,5.875,2,4,1,0.9171595201408962,True
E3:uniform:p0.7:cv0.65:r10,medium,59,7.375,1,3,1,0.889696390958527,True
E3:uniform:p0.7:cv0.65:r11,medium,43,5.375,2,4,1,0.7945696567340073,True
E3:uniform:p0.7:cv0.65:r12,medium,58,7.25,2,3,1,1.2903094634006462,True
E3:uniform:p0.7:cv0.65:r13,medium,78,9.75,6,2,1,4.504361767768368,True
E3:uniform:p0.7:cv0.65:r14,medium,48,6.0,3,4,1,1.2268158382094847,True
E3:uniform:p0.7:cv0.65:r15,medium,46,5.75,2,3,1,0.8943460218915814,True
E3:uniform:p0.7:cv0.65:r16,medium,57,7.125,1,4,1,0.5314877342808896,True
E3:uniform:p0.7:cv0.65:r17,medium,78,9.75,4,3,1,3.633731067055448,True
E3:uniform:p0.7:cv0.65:r18,medium,77,9.625,3,3,1,2.5403552010849046,True
E3:uniform:p0.7:cv0.65:r19,medium,58,7.25,3,3,1,1.2853148463585384,True
E3:uniform:p0.7:cv0.65:r20,medium,74,9.25,4,3,1,3.2624795573042342,True
E3:uniform:p0.7:cv0.65:r21,medium,51,6.375,3,3,1,1.7347252853192012,True
E3:uniform:p0.7:cv0.65:r22,medium,59,7.375,2,3,1,1.65738638670917,True
E3:uniform:p0.7:cv0.65:r23,medium,74,9.25,3,3,1,2.5596478727771492,True
E3:uniform:p0.7:cv0.65:r24,medium,52,6.5,3,3,1,1.7068174280401882,True
E3:uniform:p0.7:cv0.65:r25,medium,50,6.25,3,3,1,0.8905251447282041,True
E3:uniform:p0.7:cv0.65:r26,medium,63,7.875,3,3,1,2.2082474211754235,True
E3:uniform:p0.7:cv0.65:r27,medium,97,12.125,2,3,1,1.9683055382440346,True
E3:uniform:p0.7:cv0.65:r28,medium,69,8.625,5,3,1,2.8243614068380367,True
E3:uniform:p0.7:cv0.65:r29,medium,65,8.125,4,3,1,2.884082777619818,True
E3:uniform:p0.85:cv0.65:r0,medium,100,12.5,7,2,1,6.7337360024412956,True
E3:uniform:p0.85:cv0.65:r1,medium,40,5.0,2,4,1,0.49691616055998816,True
E3:uniform:p0.85:cv0.65:r2,medium,74,9.25,4,3,1,3.2142203832594958,True
E3:uniform:p0.85:cv0.65:r3,medium,67,8.375,4,3,1,1.4061969971973787,True
E3:uniform:p0.85:cv0.65:r4,medium,51,6.375,4,3,1,1.7043146154579485,True
E3:uniform:p0.85:cv0.65:r5,medium,88,11.0,4,2,1,3.5041116527759306,True
E3:uniform:p0.85:cv0.65:r6,medium,62,7.75,3,3,1,1.5588692688449366,True
E3:uniform:p0.85:cv0.65:r7,medium,91,11.375,5,2,1,4.398913220664616,True
E3:uniform:p0.85:cv0.65:r8,medium,71,8.875,5,2,1,3.1792774389945504,True
E3:uniform:p0.85:cv0.65:r9,medium,59,7.375,4,3,1,1.716834997090069,True
E3:uniform:p0.85:cv0.65:r10,medium,57,7.125,5,3,1,1.7034675350365918,True
E3:uniform:p0.85:cv0.65:r11,medium,60,7.5,4,3,1,2.2272332223455926,True
E3:uniform:p0.85:cv0.65:r12,medium,74,9.25,6,3,1,4.093722992609587,True
E3:uniform:p0.85:cv0.65:r13,medium,76,9.5,2,3,1,1.9658254131827446,True
E3:uniform:p0.85:cv0.65:r14,medium,65,8.125,5,3,1,1.9713508129487578,True
E3:uniform:p0.85:cv0.65:r15,medium,48,6.0,1,3,1,0.8425921939630057,True
E3:uniform:p0.85:cv0.65:r16,medium,54,6.75,4,3,1,1.1340369516100914,True
E3:uniform:p0.85:cv0.65:r17,medium,65,8.125,3,3,1,2.2042838976074144,True
E3:uniform:p0.85:cv0.65:r18,medium,93,11.625,8,2,1,6.695074141876258,True
E3:uniform:p0.85:cv0.65:r19,medium,70,8.75,3,3,1,2.6175548677420672,True
E3:uniform:p0.85:cv0.65:r20,medium,68,8.5,3,3,1,1.5338638571592245,True
E3:uniform:p0.85:cv0.65:r21,medium,66,8.25,3,3,1,1.5944637110540811,True
E3:uniform:p0.85:cv0.65:r22,medium,73,9.125,3,3,1,2.650283503349107,True
E3:uniform:p0.85:cv0.65:r23,medium,71,8.875,3,3,1,1.539011050285053,True
E3:uniform:p0.85:cv0.65:r24,medium,49,6.125,2,4,1,1.1260339120468195,True
E3:uniform:p0.85:cv0.65:r25,medium,77,9.625,5,2,1,4.287852066587851,True
E3:uniform:p0.85:cv0.65:r26,medium,60,7.5,4,3,1,2.426480504344831,True
E3:uniform:p0.85:cv0.65:r27,medium,68,8.5,5,3,1,2.229405165606473,True
E3:uniform:p0.85:cv0.65:r28,medium,79,9.875,5,3,1,3.802852035044222,True
E3:uniform:p0.85:cv0.65:r29,medium,74,9.25,5,2,1,3.7353784629153606,True
E3:uniform:p0.7:cv1.0:r0,medium,81,10.125,5,2,1,4.531452980949587,True
E3:uniform:p0.7:cv1.0:r1,medium,75,9.375,5,3,1,2.642817163468848,True
E3:uniform:p0.7:cv1.0:r2,medium,53,6.625,4,4,1,1.5610583414991872,True
E3:uniform:p0.7:cv1.0:r3,medium,47,5.875,1,4,1,0.6107372821866587,True
E3:uniform:p0.7:cv1.0:r4,medium,95,11.875,6,2,1,5.697572873231623,True
E3:uniform:p0.7:cv1.0:r5,medium,59,7.375,4,3,1,1.792569491727456,True
E3:uniform:p0.7:cv1.0:r6,medium,65,8.125,4,3,1,2.553387500214278,True
E3:uniform:p0.7:cv1.0:r7,medium,61,7.625,3,3,1,1.6950561453274962,True
E3:uniform:p0.7:cv1.0:r8,medium,41,5.125,1,5,1,0.4507102321626627,True
E3:uniform:p0.7:cv1.0:r9,medium,47,5.875,2,4,1,0.9171595201408962,True
E3:uniform:p0.7:cv1.0:r10,medium,59,7.375,1,3,1,0.889696390958527,True
E3:uniform:p0.7:cv1.0:r11,medium,43,5.375,2,4,1,0.7945696567340073,True
E3:uniform:p0.7:cv1.0:r12,medium,58,7.25,2,3,1,1.2903094634006462,True
E3:uniform:p0.7:cv1.0:r13,medium,78,9.75,6,2,1,4.504361767768368,True
E3:uniform:p0.7:cv1.0:r14,medium,48,6.0,3,4,1,1.2268158382094847,True
E3:uniform:p0.7:cv1.0:r15,medium,46,5.75,2,3,1,0.8943460218915814,True
E3:uniform:p0.7:cv1.0:r16,medium,57,7.125,1,4,1,0.5314877342808896,True
E3:uniform:p0.7:cv1.0:r17,medium,78,9.75,4,3,1,3.633731067055448,True
E3:uniform:p0.7:cv1.0:r18,medium,77,9.625,3,3,1,2.5403552010849046,True
E3:uniform:p0.7:cv1.0:r19,medium,58,7.25,3,3,1,1.2853148463585384,True
E3:uniform:p0.7:cv1.0:r20,medium,74,9.25,4,3,1,3.2624795573042342,True
E3:uniform:p0.7:cv1.0:r21,medium,51,6.375,3,3,1,1.7347252853192012,True
E3:uniform:p0.7:cv1.0:r22,medium,59,7.375,2,3,1,1.65738638670917,True
E3:uniform:p0.7:cv1.0:r23,medium,74,9.25,3,3,1,2.5596478727771492,True
E3:uniform:p0.7:cv1.0:r24,medium,52,6.5,3,3,1,1.7068174280401882,True
E3:uniform:p0.7:cv1.0:r25,medium,50,6.25,3,3,1,0.8905251447282041,True
E3:uniform:p0.7:cv1.0:r26,medium,63,7.875,3,3,1,2.2082474211754235,True
E3:uniform:p0.7:cv1.0:r27,medium,97,12.125,2,3,1,1.9683055382440346,True
E3:uniform:p0.7:cv1.0:r28,medium,69,8.625,5,3,1,2.8243614068380367,True
E3:uniform:p0.7:cv1.0:r29,medium,65,8.125,4,3,1,2.884082777619818,True
E3:uniform:p0.85:cv1.0:r0,medium,100,12.5,7,2,1,6.7337360024412956,True
E3:uniform:p0.85:cv1.0:r1,medium,40,5.0,2,4,1,0.49691616055998816,True
E3:uniform:p0.85:cv1.0:r2,medium,74,9.25,4,3,1,3.2142203832594958,True
E3:uniform:p0.85:cv1.0:r3,medium,67,8.375,4,3,1,1.4061969971973787,True
E3:uniform:p0.85:cv1.0:r4,medium,51,6.375,4,3,1,1.7043146154579485,True
E3:uniform:p0.85:cv1.0:r5,medium,88,11.0,4,2,1,3.5041116527759306,True
E3:uniform:p0.85:cv1.0:r6,medium,62,7.75,3,3,1,1.5588692688449366,True
E3:uniform:p0.85:cv1.0:r7,medium,91,11.375,5,2,1,4.398913220664616,True
E3:uniform:p0.85:cv1.0:r8,medium,71,8.875,5,2,1,3.1792774389945504,True
E3:uniform:p0.85:cv1.0:r9,medium,59,7.375,4,3,1,1.716834997090069,True
E3:uniform:p0.85:cv1.0:r10,medium,57,7.125,5,3,1,1.7034675350365918,True
E3:uniform:p0.85:cv1.0:r11,medium,60,7.5,4,3,1,2.2272332223455926,True
E3:uniform:p0.85:cv1.0:r12,medium,74,9.25,6,3,1,4.093722992609587,True
E3:uniform:p0.85:cv1.0:r13,medium,76,9.5,2,3,1,1.9658254131827446,True
E3:uniform:p0.85:cv1.0:r14,medium,65,8.125,5,3,1,1.9713508129487578,True
E3:uniform:p0.85:cv1.0:r15,medium,48,6.0,1,3,1,0.8425921939630057,True
E3:uniform:p0.85:cv1.0:r16,medium,54,6.75,4,3,1,1.1340369516100914,True
E3:uniform:p0.85:cv1.0:r17,medium,65,8.125,3,3,1,2.2042838976074144,True
E3:uniform:p0.85:cv1.0:r18,medium,93,11.625,8,2,1,6.695074141876258,True
E3:uniform:p0.85:cv1.0:r19,medium,70,8.75,3,3,1,2.6175548677420672,True
E3:uniform:p0.85:cv1.0:r20,medium,68,8.5,3,3,1,1.5338638571592245,True
E3:uniform:p0.85:cv1.0:r21,medium,66,8.25,3,3,1,1.5944637110540811,True
E3:uniform:p0.85:cv1.0:r22,medium,73,9.125,3,3,1,2.650283503349107,True
E3:uniform:p0.85:cv1.0:r23,medium,71,8.875,3,3,1,1.539011050285053,True
E3:uniform:p0.85:cv1.0:r24,medium,49,6.125,2,4,1,1.1260339120468195,True
E3:uniform:p0.85:cv1.0:r25,medium,77,9.625,5,2,1,4.287852066587851,True
E3:uniform:p0.85:cv1.0:r26,medium,60,7.5,4,3,1,2.426480504344831,True
E3:uniform:p0.85:cv1.0:r27,medium,68,8.5,5,3,1,2.229405165606473,True
E3:uniform:p0.85:cv1.0:r28,medium,79,9.875,5,3,1,3.802852035044222,True
E3:uniform:p0.85:cv1.0:r29,medium,74,9.25,5,2,1,3.7353784629153606,True
E3:clustered:p0.7:cv0.0:r0,medium,52,6.5,2,4,1,1.063393709803754,True
E3:clustered:p0.7:cv0.0:r1,medium,43,5.375,2,3,1,1.198469786367975,True
E3:clustered:p0.7:cv0.0:r2,medium,69,8.625,3,3,1,2.2679090006151386,True
E3:clustered:p0.7:cv0.0:r3,medium,48,6.0,3,3,1,1.0610123508402514,True
E3:clustered:p0.7:cv0.0:r4,medium,63,7.875,4,3,1,2.0483451853507875,True
E3:clustered:p0.7:cv0.0:r5,medium,45,5.625,2,3,1,0.9479270802069288,True
E3:clustered:p0.7:cv0.0:r6,medium,86,10.75,4,2,1,3.7967182592546145,True
E3:clustered:p0.7:cv0.0:r7,medium,62,7.75,3,3,1,1.5783770936755959,True
E3:clustered:p0.7:cv0.0:r8,medium,54,6.75,3,4,1,1.2541087440005338,True
E3:clustered:p0.7:cv0.0:r9,medium,42,5.25,3,4,1,1.0781531807690201,True
E3:clustered:p0.7:cv0.0:r10,medium,43,5.375,2,4,1,0.8921935650235105,True
E3:clustered:p0.7:cv0.0:r11,medium,70,8.75,6,2,1,2.6033271028578384,True
E3:clustered:p0.7:cv0.0:r12,medium,53,6.625,2,4,1,0.9533786838621489,True
E3:clustered:p0.7:cv0.0:r13,medium,88,11.0,7,2,1,5.262552992513736,True
E3:clustered:p0.7:cv0.0:r14,medium,60,7.5,5,3,1,1.9481568389552073,True
E3:clustered:p0.7:cv0.0:r15,medium,65,8.125,3,3,1,2.301595640310241,True
E3:clustered:p0.7:cv0.0:r16,medium,87,10.875,7,2,1,5.983413945913551,True
E3:clustered:p0.7:cv0.0:r17,medium,97,12.125,6,2,1,5.824587516150332,True
E3:clustered:p0.7:cv0.0:r18,medium,64,8.0,4,3,1,2.4402515213454543,True
E3:clustered:p0.7:cv0.0:r19,medium,88,11.0,6,2,1,5.320322634268495,True
E3:clustered:p0.7:cv0.0:r20,medium,86,10.75,7,2,1,5.364549069175976,True
E3:clustered:p0.7:cv0.0:r21,medium,61,7.625,4,3,1,2.385401225539745,True
E3:clustered:p0.7:cv0.0:r22,medium,53,6.625,3,3,1,1.351474526979317,True
E3:clustered:p0.7:cv0.0:r23,medium,62,7.75,4,3,1,1.8066399431482394,True
E3:clustered:p0.7:cv0.0:r24,medium,44,5.5,2,4,1,0.806400975977833,True
E3:clustered:p0.7:cv0.0:r25,medium,58,7.25,2,3,1,1.2877776352312449,True
E3:clustered:p0.7:cv0.0:r26,medium,79,9.875,5,2,1,4.158332864863196,True
E3:clustered:p0.7:cv0.0:r27,medium,61,7.625,3,3,1,1.8542456328176886,True
E3:clustered:p0.7:cv0.0:r28,medium,59,7.375,3,3,1,0.9049093397614082,True
E3:clustered:p0.7:cv0.0:r29,medium,79,9.875,5,3,1,4.10821875917793,True
E3:clustered:p0.85:cv0.0:r0,medium,71,8.875,2,3,1,1.6556260616300644,True
E3:clustered:p0.85:cv0.0:r1,medium,62,7.75,4,3,1,1.8811345986551107,True
E3:clustered:p0.85:cv0.0:r2,medium,72,9.0,4,3,1,3.0065658076351904,True
E3:clustered:p0.85:cv0.0:r3,medium,72,9.0,3,3,1,2.5308489593558994,True
E3:clustered:p0.85:cv0.0:r4,medium,50,6.25,3,3,1,1.44571078211629,True
E3:clustered:p0.85:cv0.0:r5,medium,73,9.125,3,3,1,2.4374172626962585,True
E3:clustered:p0.85:cv0.0:r6,medium,64,8.0,3,3,1,2.54292831017787,True
E3:clustered:p0.85:cv0.0:r7,medium,36,4.5,2,7,1,0.263665990822441,True
E3:clustered:p0.85:cv0.0:r8,medium,53,6.625,3,4,1,1.095782926309807,True
E3:clustered:p0.85:cv0.0:r9,medium,48,6.0,3,3,1,0.9559751884212433,True
E3:clustered:p0.85:cv0.0:r10,medium,56,7.0,3,3,1,1.3686695255139032,True
E3:clustered:p0.85:cv0.0:r11,medium,51,6.375,3,4,1,0.812804778401909,True
E3:clustered:p0.85:cv0.0:r12,medium,67,8.375,2,4,1,1.2012399604746071,True
E3:clustered:p0.85:cv0.0:r13,medium,80,10.0,3,3,1,2.8749142944243244,True
E3:clustered:p0.85:cv0.0:r14,medium,53,6.625,3,4,1,1.4167802621806471,True
E3:clustered:p0.85:cv0.0:r15,medium,54,6.75,3,3,1,1.317709277819914,True
E3:clustered:p0.85:cv0.0:r16,medium,92,11.5,4,2,1,3.9724490824139416,True
E3:clustered:p0.85:cv0.0:r17,medium,56,7.0,4,3,1,1.175525734287652,True
E3:clustered:p0.85:cv0.0:r18,medium,75,9.375,4,3,1,3.0229631156760615,True
E3:clustered:p0.85:cv0.0:r19,medium,70,8.75,2,3,1,1.4612384235502516,True
E3:clustered:p0.85:cv0.0:r20,medium,83,10.375,4,3,1,3.585185712347932,True
E3:clustered:p0.85:cv0.0:r21,medium,50,6.25,3,3,1,1.23446235709879,True
E3:clustered:p0.85:cv0.0:r22,medium,52,6.5,4,4,1,1.2625434488744296,True
E3:clustered:p0.85:cv0.0:r23,medium,61,7.625,2,4,1,1.0411416778956526,True
E3:clustered:p0.85:cv0.0:r24,medium,70,8.75,3,3,1,1.6629658979153303,True
E3:clustered:p0.85:cv0.0:r25,medium,59,7.375,3,3,1,1.9920933088791881,True
E3:clustered:p0.85:cv0.0:r26,medium,65,8.125,5,3,1,2.5436439480092057,True
