world_id,scenario,capacity_cv,pressure,replicate,world_seed,world_digest
n3b-uniform-cv0.65-p0.85-r07,uniform,0.65,0.85,7,141056409668785,529ae20f0aefcf7708fb5d0ad83f901ec521e9e3b5790e93881d18c03010d8ea
n3b-uniform-cv0.65-p0.85-r08,uniform,0.65,0.85,8,226165747527457,f5cc8a5ea38d314f2f52e7aa9fcfaf7295409ecd6b6992aa3061746b9bec2765
n3b-uniform-cv0.65-p0.85-r09,uniform,0.65,0.85,9,43307424262592,4b1153e97da40132b8719e7149294c5cf212465e051c0c9fb9a35eab0079d12c
n3b-uniform-cv0.65-p0.85-r10,uniform,0.65,0.85,10,157782459149907,7c6d4d7ff0186f4af9d8527504980458130a020055e72518ee62f9e401068636
n3b-uniform-cv0.65-p0.85-r11,uniform,0.65,0.85,11,50234040582475,5fd380fbad8981e41767587fc49f7ca7cc3f4191236f26626954fbe99e51d6f6
n3b-uniform-cv0.65-p0.85-r12,uniform,0.65,0.85,12,168946202630481,362d7af40f6f2e7484743b60bbbf490fd20767177fe3d94ce25efd261e28962d
n3b-uniform-cv0.65-p0.85-r13,uniform,0.65,0.85,13,132235908081225,9fb0faf4e81ef929fd03fa589314f341e182045f3fb68c3a7787d4e1f8788871
n3b-uniform-cv0.65-p0.85-r14,uniform,0.65,0.85,14,136661285632415,b078e23e451377a7b02eaaa68f63804d54e070350d30d5b941ba6921fb33e4c1
n3b-uniform-cv0.65-p0.85-r15,uniform,0.65,0.85,15,26559997408636,0c64372c4cea0f1b58efa45b19572a444c4139fce7ae1f0b485de3b07c58e70c
n3b-uniform-cv0.65-p0.85-r16,uniform,0.65,0.85,16,66738645006845,cd420510e384f28014c349aea21059be335073a9163a6012c01086ec069e3b63
n3b-uniform-cv0.65-p0.85-r17,uniform,0.65,0.85,17,194392309599406,33bc5ac9740e84497e17ff6331c514255c4c53be8c152186f19e36f7685a54c4
n3b-uniform-cv1.00-p0.85-r00,uniform,1.0,0.85,0,129676124848846,e00e7b811a05f56ed26ed2af4f5528d967a613cfbf5c48ce7bc24595c0df08ff
n3b-uniform-cv1.00-p0.85-r01,uniform,1.0,0.85,1,92429781058050,951424781067571ec7bbd790937180f4ffa849fca696b57e7abaaff5e8d682d0
n3b-uniform-cv1.00-p0.85-r02,uniform,1.0,0.85,2,206668698286710,4d4eb494c2e19d41f1de29f4044abfce3ce82db5fb0d88038a8f0d2d79cec545
n3b-uniform-cv1.00-p0.85-r03,uniform,1.0,0.85,3,279068462250356,7ecfe1037e994b23fed93d1390453bc0b313a0a6b4e9c6a5c1caf67a304d207b
n3b-uniform-cv1.00-p0.85-r04,uniform,1.0,0.85,4,14131122216422,8a2165c038e5f785595a6587daa5a4d4336a87e48c89f28231f96820024190d9
n3b-uniform-cv1.00-p0.85-r05,uniform,1.0,0.85,5,165795472174036,c70f8f96f07dff7f07767a2d4c1c1eca35dc1eede3440fb57fa57f706b383290
n3b-uniform-cv1.00-p0.85-r06,uniform,1.0,0.85,6,265091034249618,30752448a8799121663c741e614ab1b213860e38b1001358002755de7feeef7b
n3b-uniform-cv1.00-p0.85-r07,uniform,1.0,0.85,7,134745653746111,c0a4896b207ce6fe4f174bb4d009e3ad493826b9f44a1dd2ef881f190b2be1bb
n3b-uniform-cv1.00-p0.85-r08,uniform,1.0,0.85,8,150923507995599,7c66f0008d59f720a8da737509664fe8dc7fd820d80b3655be46eece0ebb7b59
n3b-uniform-cv1.00-p0.85-r09,uniform,1.0,0.85,9,25893482632365,3497e48e9cc2ff85c7da7d01b9ae1abeb030ad726aebd78c6026e9b37e0546c1
n3b-uniform-cv1.00-p0.85-r10,uniform,1.0,0.85,10,109410820692915,1af4eb7d82b326e0941ed39ee11eab56d9ec9f9e07ff5cbf701305dc119a6802
n3b-uniform-cv1.00-p0.85-r11,uniform,1.0,0.85,11,199066157448111,a9e161be151e482c496727e820b16d9caf425783b91ee48d5a0549547bef1a09
n3b-uniform-cv1.00-p0.85-r12,uniform,1.0,0.85,12,130144997952851,758df564dca61456bf4584bc0564bde7963c8c34a30348f448113ee2fad78094
n3b-uniform-cv1.00-p0.85-r13,uniform,1.0,0.85,13,129966744758931,8339a16ef50308245af942f498b9a22b1a4e73ad9684dba6fabbff4ab85cea5f
n3b-uniform-cv1.00-p0.85-r14,uniform,1.0,0.85,14,4239790047236,2c450196dfa66d0effd5a538dfe7478a7eda96d9c71846e38713d0ac1c138f6a
n3b-uniform-cv1.00-p0.85-r15,uniform,1.0,0.85,15,176684026542827,f57868adfed8b1139871e3fd0cd1db568ff7318c031133b1b6a61ca2f21bc895
n3b-uniform-cv1.00-p0.85-r16,uniform,1.0,0.85,16,76510358641106,7f31df8a3b1ab7a822957769f1ca07f6f0d6ae39ef49f6640878577195d8af6b
n3b-uniform-cv1.00-p0.85-r17,uniform,1.0,0.85,17,129465011960854,300e1faa4a2272e0ac8148e1217bd00f5fc09c65a35fb044def985650b2b7898
n3b-clustered-cv0.00-p0.85-r00,clustered,0.0,0.85,0,31557949309470,bb3a87a4f1bf32866b17cbf4df07f4749e5f4420e78fbab246d79ebc27a428e0
n3b-clustered-cv0.00-p0.85-r01,clustered,0.0,0.85,1,94346615022482,c662f9525e1061642a5e4716686d7a15b0532292cac385657caef283c74abbbf
n3b-clustered-cv0.00-p0.85-r02,clustered,0.0,0.85,2,1265472790806,38ba4a6eb557de32e2c39e9877afdde1b679c0efde652c75bc7285abab5b478f
n3b-clustered-cv0.00-p0.85-r03,clustered,0.0,0.85,3,71189709047457,a140cf38b904ad2f8c9bcc1ccb1c095ab98858de3775860c983cc8be2c8b665d
n3b-clustered-cv0.00-p0.85-r04,clustered,0.0,0.85,4,116734593639204,f8ce69b5aba6e26cee39020886e314ba65f8d896b483e23cb2946ffa5a22ce12
n3b-clustered-cv0.00-p0.85-r05,clustered,0.0,0.85,5,240223951332532,5c21d6587a568d014091ae45241ad6905897c557a955d60d248aaefe36de0dab
n3b-clustered-cv0.00-p0.85-r06,clustered,0.0,0.85,6,206369229332013,69256c3aa27258308c9e7aac99d9c849d8317786cea39af3158b6ad66aa6140c
n3b-clustered-cv0.00-p0.85-r07,clustered,0.0,0.85,7,134999603609768,3e7173f6c7a79de40a4c13ea4f86a6971c3d94e34a59531e7a2cefba2aeb00a4
n3b-clustered-cv0.00-p0.85-r08,clustered,0.0,0.85,8,197415681594828,4ed05559f24cf3b2c3f7fed94af07327a26538065a329340172a85472bcdce13
n3b-clustered-cv0.00-p0.85-r09,clustered,0.0,0.85,9,227047048746761,7c2be193e07705ab63b35aa85bcbba94e793be3fed852cd185754deea8a9cc2e
n3b-clustered-cv0.00-p0.85-r10,clustered,0.0,0.85,10,219613483740149,ed015f4026856374339771e69aae9bf5c09a8e6ecb6d4d37a4ce939ab544753b
n3b-clustered-cv0.00-p0.85-r11,clustered,0.0,0.85,11,142306011518780,1dda2ec2b673cb18b5410391fa5f0d18e410a6bc77b716ad924e4ec06b6560df
n3b-clustered-cv0.00-p0.85-r12,clustered,0.0,0.85,12,267173914006921,b330e74db5a225af3cd2450606d1fcbd344d04fbaa967f1011005a75bf2757bc
n3b-clustered-cv0.00-p0.85-r13,clustered,0.0,0.85,13,114796046531831,11cb9dcbe1b422c4a07adc7dffef362251f9acd9ad7f0c4716d32f96574832b4
n3b-clustered-cv0.00-p0.85-r14,clustered,0.0,0.85,14,158951335247134,0b32521e5523c92eae1b6cc591411dbcc4a81335d419a4ec0c9d9337658d7240
n3b-clustered-cv0.00-p0.85-r15,clustered,0.0,0.85,15,6020522942663,1e0a7b7614ab8657e9fb8e9ffd6ee1360fbbdaec48e3dc53aeacabb1823818a1
n3b-clustered-cv0.00-p0.85-r16,clustered,0.0,0.85,16,25198539847070,926980a57cf6d4a93ad1f14f24903a77feb9409d290a81c9a9ccf6769a4b23ff
n3b-clustered-cv0.00-p0.85-r17,clustered,0.0,0.85,17,243096128721277,7d718c3cd6cf0e41c5499f80b11a8265c71e80762e1c5668cccfc654eda14522
n3b-clustered-cv0.35-p0.85-r00,clustered,0.35,0.85,0,76528240435324,5ed91acbfc0a62e36bb58a41de22ffeb62711a8c65650882da24b14da67a1dd7
n3b-clustered-cv0.35-p0.85-r01,clustered,0.35,0.85,1,227571975251971,dd2763ef4986fdc40a0a4eb42cb7b35ff880cedaa1c8d4598edfc8990a06823b
n3b-clustered-cv0.35-p0.85-r02,clustered,0.35,0.85,2,235935681586545,2336fd5363d1120c68caed1d848679be3355d356291b09a9461d5576364739b2
n3b-clustered-cv0.35-p0.85-r03,clustered,0.35,0.85,3,258022476730033,f43bc53f2e5fdcc9e2e741105c510aa4fdc3f8b974ac6b6a73eab05082ff4083
n3b-clustered-cv0.35-p0.85-r04,clustered,0.35,0.85,4,126500314607130,3d202121e2140de619ccf91475ca99a27181ccd8964c3ec3f8e21dfc040624e2
n3b-clustered-cv0.35-p0.85-r05,clustered,0.35,0.85,5,156340283676748,29a2dd66189e97ec52f0864097763baf70abcdf140236f919ddb266bf41b49d1
n3b-clustered-cv0.35-p0.85-r06,clustered,0.35,0.85,6,163432845779278,c6156f92aa51e639e44eaed79eb1f978f676d1f013905f31346b48339e598d72
n3b-clustered-cv0.35-p0.85-r07,clustered,0.35,0.85,7,113358422915412,cd3d97d57f2582b4a9eb11a7d14ae3c79c2fe300a952bbbd4da1532ac3f23323
n3b-clustered-cv0.35-p0.85-r08,clustered,0.35,0.85,8,105876285653555,bb99c88ee86032def0324239324f43ce6e152c4fb27116d97959b99db8516e18
n3b-clustered-cv0.35-p0.85-r09,clustered,0.35,0.85,9,177594377305556,dcb849c163b4e6c871551c5f6680e87074989d9c0f6af5359129787b7e80a0d2
n3b-clustered-cv0.35-p0.85-r10,clustered,0.35,0.85,10,112423787816278,c5b91d95fb5a62007674a959de17a11e37ab87dbae1cf05f9bd5be667b70f852
n3b-clustered-cv0.35-p0.85-r11,clustered,0.35,0.85,11,161411433867489,efa8e8d60cb00a7615bd8f5da339e1bf87aa6c2abba3b62072a4cf8799269f5e
n3b-clustered-cv0.35-p0.85-r12,clustered,0.35,0.85,12,45900349753470,6644637b20eb879772cb5a12dbd59214eceb440bc731ea77bc671f9519433481
n3b-clustered-cv0.35-p0.85-r13,clustered,0.35,0.85,13,42474475301768,e0e668aa2ba2ec3fd3ffe34180e99a8d78325e1224f85f6e44717e692fd70aa1
n3b-clustered-cv0.35-p0.85-r14,clustered,0.35,0.85,14,223950759735999,d0a0528b51a186b02d4ef47d170dc08970cde24fbedc5b122da464690994f938
n3b-clustered-cv0.35-p0.85-r15,clustered,0.35,0.85,15,113388316312974,645aeb824c151cd8210771d6df020a709bd7018c10e3db2b4d9237c6b6abdda4
n3b-clustered-cv0.35-p0.85-r16,clustered,0.35,0.85,16,146937096811427,f8d9bfd162fbb5373bc21d1d5d90a2e730d7566f07c8175bf205c38db1d32e16
n3b-clustered-cv0.35-p0.85-r17,clustered,0.35,0.85,17,280712434159001,ba42c21e498c9f5eb8e5444d4a8b250cbbfac6f825c6da19d9e9dcbc135c27c4
n3b-clustered-cv0.65-p0.85-r00,clustered,0.65,0.85,0,246215600370298,54ba906edd34e773a3885bd89e9fe237afa4203209d914c5f808ac55c53b86c1
n3b-clustered-cv0.65-p0.85-r01,clustered,0.65,0.85,1,67900223116534,7efbb9b2c9c820aaeab119eab79f9245e2ed2df9d818c122bc304ef0ebb1a06a
n3b-clustered-cv0.65-p0.85-r02,clustered,0.65,0.85,2,202989325891318,b938779685beb66a6cf5f68053d36702127d309e6750b05cd575f6ad57963dec
n3b-clustered-cv0.65-p0.85-r03,clustered,0.65,0.85,3,117071388512117,1dcc65ac2519bf5df2f8ee29684df499da2c81dbaaf3cb551f45b9b8c23194cd
n3b-clustered-cv0.65-p0.85-r04,clustered,0.65,0.85,4,30695954030512,aa4d9643847760d1508887dd0a9bb98bf87d0d2f4b3f2d4ea36b3cd95ad796e9
n3b-clustered-cv0.65-p0.85-r05,clustered,0.65,0.85,5,67115569100551,9951a871ec320450d45b0b4bad5a62aedc8cf6d837a75e46714e80b066792589
n3b-clustered-cv0.65-p0.85-r06,clustered,0.65,0.85,6,199900475968237,71641fdbdb3ae0066b1989930a21ebf0338cf83bff22fca16494e88db759edbb
n3b-clustered-cv0.65-p0.85-r07,clustered,0.65,0.85,7,174969036966001,eea8e766bd51baf5dc2c4f50c76e53d1ec25e615ff226ddbaf927e6959f2da63
n3b-clustered-cv0.65-p0.85-r08,clustered,0.65,0.85,8,232465868546664,46445f86a6339e6b41b7ec19d4077744d93747e851781b845529fa0dcd73e7df
n3b-clustered-cv0.65-p0.85-r09,clustered,0.65,0.85,9,203810229563101,e906b364743112cdf3c272a167833628803f2ea81c0ee7d0fbad773eab38ba97
n3b-clustered-cv0.65-p0.85-r10,clustered,0.65,0.85,10,139154054332969,dc75b6a71d50840509648b02e7ea751144d0e66acd93c61548adc2b89d6df6e4
n3b-clustered-cv0.65-p0.85-r11,clustered,0.65,0.85,11,82681439085397,a6ebd7686bd3854bc4c51c7f006602aeefba2304709c365ec1f045378902a391
n3b-clustered-cv0.65-p0.85-r12,clustered,0.65,0.85,12,40931564146027,05e624693a1db611617add22d28766816125d92463e9e8b7cc6c282c0ee52cf8
n3b-clustered-cv0.65-p0.85-r13,clustered,0.65,0.85,13,81568549847201,899278ef76e2aa8ff6bfac88eb7a1e25a9ecb542c174078c8c6a01d909b95e20
n3b-clustered-cv0.65-p0.85-r14,clustered,0.65,0.85,14,207868749177630,fb7b080c92a9328bac8a732010c89b510307a5aa983921cd341c554f08ce93cf
n3b-clustered-cv0.65-p0.85-r15,clustered,0.65,0.85,15,48061762498959,d24dc4865d4cf4dec55da9f7a42def6b51d040d7f2af4e93279878e47771610c
n3b-clustered-cv0.65-p0.85-r16,clustered,0.65,0.85,16,147585700822662,e8ab40ca0410591cce50741a12ec984a6fbfad9563199c8f64b2b8c46be79fb3
n3b-clustered-cv0.65-p0.85-r17,clustered,0.65,0.85,17,99966751416195,d699ca567ac580365ea942f357f79af10af84ea22134e2cddbbb1a0d4329fc9b
n3b-clustered-cv1.00-p0.85-r00,clustered,1.0,0.85,0,90016092484504,98ccbafb3f04a5fc607cb921ad7cccba9552be30315dbb733d8e265521fdbbd2
n3b-clustered-cv1.00-p0.85-r01,clustered,1.0,0.85,1,110189929918052,89c1a8c179308f7d0938ce8aacd0d61f836c9cf0a0804d677c25edecb2a87912
n3b-clustered-cv1.00-p0.85-r02,clustered,1.0,0.85,2,14407254834944,44886452f2bc975e7f4d2f431f6528e51c43c5935a8600607a636522d0e5ac30
n3b-clustered-cv1.00-p0.85-r03,clustered,1.0,0.85,3,55221089084503,b7bfac0f321f1496f4519dfd9d9bd1cc7f763eb0c8243121d7c6815414ca67fd
n3b-clustered-cv1.00-p0.85-r04,clustered,1.0,0.85,4,187501637361329,b6aa2898a15ae1d582c29eea04763ad0e19da9a5b6b71c7742236e1f8d60a742
n3b-clustered-cv1.00-p0.85-r05,clustered,1.0,0.85,5,41226436491043,a543710bf81bd8433a160663e30bc0b06af75cf496c7902d43e2b12475e2032b
n3b-clustered-cv1.00-p0.85-r06,clustered,1.0,0.85,6,253336945009126,0ad6fc167788628bbfa1fbc855c004ff82d3895a81f7aa41e1cb62d64a67a6c6
n3b-clustered-cv1.00-p0.85-r07,clustered,1.0,0.85,7,41940685151523,ed21ea2dc7daf2d694890f6c2a18c302a97697fae92c136e371cd180b2b91143
n3b-clustered-cv1.00-p0.85-r08,clustered,1.0,0.85,8,126101515102478,5467fe6e1690e605548b5904fba1a2c3883b66783b4039d8514c24a5f0ae0fd1
n3b-clustered-cv1.00-p0.85-r09,clustered,1.0,0.85,9,224837047953362,401c114a7c1e3663510c9e58ba0aea91c48052bf42f7df2b8afbf15cc673710e
n3b-clustered-cv1.00-p0.85-r10,clustered,1.0,0.85,10,275773575658580,5380d23e018c7f58169bc1ced538b3992ce31409a5c2f974d6ee4d92936f0da1
n3b-clustered-cv1.00-p0.85-r11,clustered,1.0,0.85,11,207859804041419,5e593a9c40917b442c5b0a9c365ca13cfa8f0656f7cbe74e927d9224a5ad7739
n3b-clustered-cv1.00-p0.85-r12,clustered,1.0,0.85,12,204190720108192,54a37a83662f3be0db4a79f2b829051de918f1f65c8ba91ecab919dfad471976
n3b-clustered-cv1.00-p0.85-r13,clustered,1.0,0.85,13,208118434707686,cfe58d68bbee78c126386294cd91aafb248a131f5a2e8cc89c9f3a2ed5aa6c64
n3b-clustered-cv1.00-p0.85-r14,clustered,1.0,0.85,14,44629318599239,e500cf03166d05777157f43d4c12eb8b7282c17519594a9835887f4061bea5fb
n3b-clustered-cv1.00-p0.85-r15,clustered,1.0,0.85,15,132750411320041,c8a86b07c9205acd750a6421a9912b3df4a2c21de15325ea7a2373c8220b3323
n3b-clustered-cv1.00-p0.85-r16,clustered,1.0,0.85,16,105637098787874,6f590609cfb2925a7b55a64cdc02bc92ffc8609c7d27df2bfd1931bf2ee3f14f
n3b-clustered-cv1.00-p0.85-r17,clustered,1.0,0.85,17,258187142529587,f14a17a41c7549adc40994ad34f9dd724769a0a920bbc9fa443aa001df79ee59
n3b-separated-cv0.00-p0.85-r00,separated,0.0,0.85,0,1327668006278,0bd99860ebc17dd04ca729228fe05e2f4b8e2e099b846c21e2e3ffc3958fbf42
n3b-separated-cv0.00-p0.85-r01,separated,0.0,0.85,1,276826707576190,b6a9d41a5267f00e869e8486b68df69dd05096d1e295caf18f9c7a7e6e66c012
n3b-separated-cv0.00-p0.85-r02,separated,0.0,0.85,2,138359284311033,6699ad4678d46d06597f99fda91b3f491f215c5e7c9af057e0ff40cb5d1fd6b8
n3b-separated-cv0.00-p0.85-r03,separated,0.0,0.85,3,272073639210125,10c4671d88ffccc488e49ba3fd0b7aa76d12ddf47d4a43f2de8be2277c4c413f
n3b-separated-cv0.00-p0.85-r04,separated,0.0,0.85,4,148514781643179,51db8e2378257f2bc9f4e772fdfeea84eba17af9bb3deacb8dda307b70f5f5b2
n3b-separated-cv0.00-p0.85-r05,separated,0.0,0.85,5,236012799275504,55d8a215f5ebf7b545d0e8f3f6f3edc42e5a9a215f843584b834af95cdde0a3a
n3b-separated-cv0.00-p0.85-r06,separated,0.0,0.85,6,88232290839809,25f080d7573e15c3d4ffec09113171cf3ff1c87bbff1739340b74d8f46730df8
n3b-separated-cv0.00-p0.85-r07,separated,0.0,0.85,7,3705427357259,9f4caf3edd6b17ad1742db686343b1e739d3e58f6bf7ce1417dc72d7ecfc5cf3
n3b-separated-cv0.00-p0.85-r08,separated,0.0,0.85,8,43370406711700,e7abadd2de8aaf92258e8a78bf8c2db42e828f1244afa53e68164614e649a44c
n3b-separated-cv0.00-p0.85-r09,separated,0.0,0.85,9,133251104261935,e28d2c57c87a26e4b26333d79588ff2ab237c007975c2a78c238b515d82c56bc
n3b-separated-cv0.00-p0.85-r10,separated,0.0,0.85,10,124537593864444,e7da5bff6a0ff64ed3b315baf5e87a8db1fc15e00a39af7be3a2b2adc7e26e8f
n3b-separated-cv0.00-p0.85-r11,separated,0.0,0.85,11,280651825957702,366c12f279cdb3a4c57d2b08e1e1fb58903bcbea4a0d33f394f6f7868bc5666d
n3b-separated-cv0.00-p0.85-r12,separated,0.0,0.85,12,249133041356698,a6005945a515c0a32ad871779e7a40e4b92ad3cfc8dc1cac9135cc3a89609ed9
n3b-separated-cv0.00-p0.85-r13,separated,0.0,0.85,13,240331357605993,0f609dcf978038d1573a0c8c16d9ae8aa45499d9936c9dfe12b2bfd7f5f48c7e
n3b-separated-cv0.00-p0.85-r14,separated,0.0,0.85,14,138904060188648,cc5f69b8e31097d00d2e615629c4b3570d85615f7743fb900c3613ca9aef4c99
n3b-separated-cv0.00-p0.85-r15,separated,0.0,0.85,15,125605022587780,fd8fe948e2ab48b7c6998167c21bd573d347b8299380fe80d6a219bef12e6c57
n3b-separated-cv0.00-p0.85-r16,separated,0.0,0.85,16,43096232255260,5b263c323d98a81c26a69fac7eb7a43861e92783d09de7d7f91b47d6c296efca
n3b-separated-cv0.00-p0.85-r17,separated,0.0,0.85,17,241376475266752,74248e0d684f70d5151d098b612bce645c7e04ad25b204910c6031249c058f98
n3b-separated-cv0.35-p0.85-r00,separated,0.35,0.85,0,221601415133939,4e41b71e5c7e6769aa798a7d210de2c3b3ddd5b9873f2475603d299e09f3d755
n3b-separated-cv0.35-p0.85-r01,separated,0.35,0.85,1,184446551740935,ccd5ce217b90530fbde7fd4226af0bcc0dfc6533ed824a1c447304a1adb6e1db
