source,source_record_id,query_id,window_id,candidate_id,identity_key,v1_match,match_method,title,doi
crossref,10.1007/s10514-018-09820-5,F02,primary,C2F914D0973C0,doi:10.1007/s10514-018-09820-5,no,new,Dynamic task allocation in an uncertain environment with heterogeneous multi-agents,10.1007/s10514-018-09820-5
crossref,10.1109/aiac68175.2025.11332435,F02,primary,C2B69D5FBFB16,doi:10.1109/aiac68175.2025.11332435,no,new,Diffusion Policy-Driven Cooperative Path Planning and Task Allocation for Heterogeneous Multi-Robot Systems,10.1109/aiac68175.2025.11332435
crossref,10.3390/machines10080622,F02,primary,C1593E0CFCCB6,doi:10.3390/machines10080622,no,new,A Task Allocation Approach of Multi-Heterogeneous Robot System for Elderly Care,10.3390/machines10080622
crossref,10.3390/vehicles7020035,F03,primary,CCDCB929964FA,doi:10.3390/vehicles7020035,no,new,Game-Theoretic Cooperative Task Allocation for Multiple-Mobile-Robot Systems,10.3390/vehicles7020035
crossref,10.1007/978-3-319-70833-1_69,F03,primary,CF7E50B2D5659,doi:10.1007/978-3-319-70833-1_69,no,new,A Game of Drones: Game Theoretic Approaches for Multi-robot Task Allocation in Security Missions,10.1007/978-3-319-70833-1_69
crossref,10.22541/au.172516292.27968016/v1,F03,primary,C37A27E966747,doi:10.22541/au.172516292.27968016/v1,yes,title_exact,Optimizing Resource Allocation in Multi-Robot Systems through Game-Theoretic Strategies: A Two-Stage Model Approach,10.22541/au.172516292.27968016/v1
crossref,10.1007/s10514-026-10244-9,F03,primary,C15CF81D8F835,doi:10.1007/s10514-026-10244-9,yes,doi_exact,Task-oriented overlapping coalition formation: a game-theoretic framework for heterogeneous UAV task allocation,10.1007/s10514-026-10244-9
crossref,10.23919/acc50511.2021.9483030,F03,primary,CC47DC1FF19EE,doi:10.23919/acc50511.2021.9483030,yes,doi_exact,Decentralized Game-Theoretic Control for Dynamic Task Allocation Problems for Multi-Agent Systems,10.23919/acc50511.2021.9483030
crossref,10.32604/cmc.2026.077060,F03,primary,C0B48E7239D93,doi:10.32604/cmc.2026.077060,no,new,A Survey of Hybrid Energy-Aware and Decentralized Game-Theoretic Approaches in Intelligent Multi-Robot Task Allocation,10.32604/cmc.2026.077060
crossref,10.1016/j.ast.2021.106650,F03,primary,C1A934ACD940E,doi:10.1016/j.ast.2021.106650,no,new,Game theoretic self-organization in multi-satellite distributed task allocation,10.1016/j.ast.2021.106650
crossref,10.1201/9781003026686-1,F03,primary,C8C1D46DF78AA,doi:10.1201/9781003026686-1,no,new,Multi-Aerial-Robot Planning,10.1201/9781003026686-1
crossref,10.5220/0006197305670574,F03,primary,C3E7B09BCCCBF,doi:10.5220/0006197305670574,no,new,An Evolutionary Traveling Salesman Approach for Multi-Robot Task Allocation,10.5220/0006197305670574
crossref,10.1007/978-1-4939-0500-3_5,F03,primary,CA6A02873D189,doi:10.1007/978-1-4939-0500-3_5,no,new,Game-Theoretic Channel Allocation in Multi-Hop Wireless Networks,10.1007/978-1-4939-0500-3_5
crossref,10.2139/ssrn.6799738,F03,primary,CF4EB0500EAF9,doi:10.2139/ssrn.6799738,no,new,Research on multi-robot task allocation and path planning methods,10.2139/ssrn.6799738
crossref,10.5772/13106,F03,primary,C7866DDE8892B,doi:10.5772/13106,yes,doi_exact,Multi-Robot Task Allocation Based on Swarm Intelligence,10.5772/13106
crossref,10.1109/tro.2025.3567506,F03,primary,CFB463E95FF14,doi:10.1109/tro.2025.3567506,no,new,Double Oracle Algorithm for Game-Theoretic Robot Allocation on Graphs,10.1109/tro.2025.3567506
crossref,10.1007/s11721-016-0123-4,F03,primary,CD726A62FBF03,doi:10.1007/s11721-016-0123-4,yes,doi_exact,Modeling multi-robot task allocation with limited information as global game,10.1007/s11721-016-0123-4
crossref,10.2139/ssrn.4611067,F03,primary,CA3B90EA26215,doi:10.2139/ssrn.4611067,no,new,Optimizing Task and Workflow Ensemble Scheduling in Edge-Based Infrastructures: A Game-Theoretic Approach for Resource Allocation,10.2139/ssrn.4611067
crossref,10.5772/13281,F03,primary,CF7091D0684FA,doi:10.5772/13281,yes,doi_exact,Auction and Swarm Multi-Robot Task Allocation Algorithms in Real Time Scenarios,10.5772/13281
crossref,10.5220/0005052504100416,F03,primary,C0E161D2A615B,doi:10.5220/0005052504100416,no,new,Strategy-planned Q-learning Approach for Multi-robot Task Allocation,10.5220/0005052504100416
crossref,10.1007/978-3-032-05813-3_4,F03,primary,CE1C0AD011F37,doi:10.1007/978-3-032-05813-3_4,no,new,Game-Theoretic Method for Task Allocation in the Drone Fleet,10.1007/978-3-032-05813-3_4
crossref,10.1109/cts.2012.6261030,F03,primary,CACE7888EE4AF,doi:10.1109/cts.2012.6261030,yes,doi_exact,Multi-agent coordination techniques for multi-robot task allocation and multi-robot area coverage,10.1109/cts.2012.6261030
crossref,10.1109/icra57147.2024.10611476,F03,primary,C3DB8B8B6E688,doi:10.1109/icra57147.2024.10611476,no,new,Task Allocation in Heterogeneous Multi-Robot Systems Based on Preference-Driven Hedonic Game,10.1109/icra57147.2024.10611476
crossref,10.1007/978-3-642-31665-4_6,F03,primary,C2F58A0A1214B,doi:10.1007/978-3-642-31665-4_6,no,new,Multi-robot Task Planning Problem with Uncertainty in Game Theoretic Framework,10.1007/978-3-642-31665-4_6
crossref,10.1016/j.dajour.2023.100254,F03,primary,C4DC44D120D0E,doi:10.1016/j.dajour.2023.100254,no,new,An integrated strategy-based game-theoretic model and decentralized queueing system for mobile multi-robot task coordination,10.1016/j.dajour.2023.100254
crossref,10.1002/rob.70098,F03,primary,C31C6A4268A13,doi:10.1002/rob.70098,yes,doi_exact,Optimizing Resource Allocation in Multi‐Robot Systems Through Game‐Theoretic Strategies: A Two‐Stage Model Approach,10.1002/rob.70098
crossref,10.2139/ssrn.4801777,F03,primary,C053288D7439E,doi:10.2139/ssrn.4801777,yes,title_exact,Game-Theoretic Distributed Approach for Heterogeneous-Cost Task Allocation with Budget Constraints,10.2139/ssrn.4801777
crossref,10.1109/jiot.2023.3322197,F03,primary,C404A4236BB93,doi:10.1109/jiot.2023.3322197,no,new,Hunting Task Allocation for Heterogeneous Multi-AUV Formation Target Hunting in IoUT: A Game Theoretic Approach,10.1109/jiot.2023.3322197
crossref,10.1201/9781439864524-6,F03,foundational,C4E19A988F3ED,doi:10.1201/9781439864524-6,no,new,Robot Motion Planning: A Game-Theoretic Foundation,10.1201/9781439864524-6
crossref,10.2208/jscej.1995.524_105,F03,foundational,C7C64DB92E000,doi:10.2208/jscej.1995.524_105,no,new,A GAME THEORETIC ANALYSIS OF COMMONLY USED COST ALLOCATION METHODS IN MULTI-PURPOSE RESERVOIR DEVELOPMENT FOR METHODOLOGICAL IMPROVEMENTS,10.2208/jscej.1995.524_105
crossref,10.2208/journalip.16.101,F03,foundational,C250C9B0F0658,doi:10.2208/journalip.16.101,no,new,Game Theoretic Analysis on Net Benefit Allocation Based on Self Revelation for Multi-Agent Infrastructure Project,10.2208/journalip.16.101
crossref,10.1002/net.3230060404,F03,foundational,C7C9BA0375F4A,doi:10.1002/net.3230060404,no,new,On cost allocation for a spanning tree: A game theoretic approach,10.1002/net.3230060404
crossref,10.1007/978-1-4757-5307-3_3,F03,foundational,CC88D1E9BF6FF,doi:10.1007/978-1-4757-5307-3_3,no,new,Game-Theoretic Preliminaries,10.1007/978-1-4757-5307-3_3
crossref,10.1080/07408179908969889,F03,foundational,C3C519F91C0A4,doi:10.1080/07408179908969889,no,new,Game theoretic approaches to cost allocation in the dynamic total tardiness problem,10.1080/07408179908969889
crossref,10.2307/3003430,F03,foundational,C8729C87AE0BB,doi:10.2307/3003430,no,new,Suggestions for a Game-Theoretic Approach to Public Utility Pricing and Cost Allocation,10.2307/3003430
crossref,10.1287/opre.8.5.694,F03,foundational,C9645C95ED58B,doi:10.1287/opre.8.5.694,no,new,Allocation of Two Types of Aircraft in Tactical Air War: A Game-Theoretic Analysis,10.1287/opre.8.5.694
crossref,10.6028/jres.086.008,F03,foundational,C0DA3F03721F8,doi:10.6028/jres.086.008,no,new,A Game-Theoretic Model of Inspection-Resource Allocation,10.6028/jres.086.008
crossref,10.2208/journalip.14.409,F03,foundational,CA761579F52A8,doi:10.2208/journalip.14.409,no,new,A Game Theoretic Approach to Cost Allocation Methods for Water Resources Development,10.2208/journalip.14.409
crossref,10.1007/978-0-387-35378-4_18,F03,foundational,C3A377650969D,doi:10.1007/978-0-387-35378-4_18,no,new,A game theoretic framework for rate allocation and charging of Available Bit Rate (ABR) connections in ATM networks,10.1007/978-0-387-35378-4_18
crossref,10.4036/iis.1996.11,F03,foundational,C1F32D49BFD88,doi:10.4036/iis.1996.11,no,new,A Game-theoretic Approach to Cost Allocation for Infrastructure Arrangement in An Urban Renewal Project.,10.4036/iis.1996.11
crossref,10.1017/cbo9780511814075.003,F03,foundational,C8DE45B83F19B,doi:10.1017/cbo9780511814075.003,no,new,Game-Theoretic Techniques,10.1017/cbo9780511814075.003
crossref,10.1029/95wr00322,F03,foundational,CFD959F6E216C,doi:10.1029/95wr00322,no,new,Cost Allocation of Multiagency Water Resource Projects: Game Theoretic Approaches and Case Study,10.1029/95wr00322
crossref,10.1016/0278-6125(93)90102-y,F03,foundational,C09AF4E3595DA,doi:10.1016/0278-6125(93)90102-y,no,new,A systems approach to task allocation of human-robot interaction in manufacturing,10.1016/0278-6125(93)90102-y
crossref,10.1109/mper.1985.5526577,F03,foundational,C5DC183C9C8F9,doi:10.1109/mper.1985.5526577,no,new,A Game-Theoretic Approach for Cost Allocation in Joint Ventures in Electrical Power Generation Systems,10.1109/mper.1985.5526577
crossref,10.1007/3-540-61286-6_160,F03,foundational,C5B33F2BFF47E,doi:10.1007/3-540-61286-6_160,no,new,Coevolutionary game theoretic multi-agent systems,10.1007/3-540-61286-6_160
crossref,10.4337/9781035378128.00016,F03,foundational,C364A581BD8E0,doi:10.4337/9781035378128.00016,no,new,Pecuniary Externalities: A Game Theoretic Analysis,10.4337/9781035378128.00016
crossref,10.1109/70.720357,F03,foundational,CB5B590B123B6,doi:10.1109/70.720357,no,new,Territorial multi-robot task division,10.1109/70.720357
crossref,10.2208/jscej.1997.27,F03,foundational,C339C97848225,doi:10.2208/jscej.1997.27,no,new,A GAME THEORETIC ANALYSIS OF PRIORITY-ORDERING COST ALLOCATION PROBLEMS IN WATER RESOURCES DEVELOPMENTS,10.2208/jscej.1997.27
crossref,10.1007/978-1-4612-0841-9_13,F03,foundational,CA6A266D925AA,doi:10.1007/978-1-4612-0841-9_13,no,new,The Economic Management of High Seas Fishery Resources: Some Game Theoretic Aspects,10.1007/978-1-4612-0841-9_13
crossref,10.1016/0003-6870(85)90088-2,F03,foundational,CEFD032C099E9,doi:10.1016/0003-6870(85)90088-2,no,new,Task allocation and the balancing of task demands in the multi-man-machine system — some case studies,10.1016/0003-6870(85)90088-2
crossref,10.1007/978-3-662-41501-6_8,F03,foundational,CB1304AF62690,doi:10.1007/978-3-662-41501-6_8,yes,doi_exact,Cabinet Coalition Formation: A Game-Theoretic Analysis,10.1007/978-3-662-41501-6_8
crossref,10.2208/proer1988.24.517,F03,foundational,C1E144B7151AC,doi:10.2208/proer1988.24.517,no,new,GAME-THEORETIC DECISIONS ON IMPUTED VOLUME OF REDUCED ENVIRONMENTALOADS AND ASSOCIATED COST ALLOCATION IN JOINT IMPLEMENTATION AGAINST GLOBAL WARMING,10.2208/proer1988.24.517
crossref,10.1515/9781685855796-006,F03,foundational,C7E7FFC8008DE,doi:10.1515/9781685855796-006,no,new,5. Decision-Theoretic and Game-Theoretic Models of International Conflict,10.1515/9781685855796-006
crossref,10.1109/mrs66243.2025.11357252,F04,primary,CD85A3E01BA69,doi:10.1109/mrs66243.2025.11357252,no,new,Auction Consensus Algorithm with Loss Mechanism for Decentralized Task Allocation,10.1109/mrs66243.2025.11357252
crossref,10.5772/13281,F04,primary,CF7091D0684FA,doi:10.5772/13281,yes,doi_exact,Auction and Swarm Multi-Robot Task Allocation Algorithms in Real Time Scenarios,10.5772/13281
crossref,10.1016/j.automatica.2023.111239,F04,primary,CBD628542405F,doi:10.1016/j.automatica.2023.111239,yes,doi_exact,Auction algorithm sensitivity for multi-robot task allocation,10.1016/j.automatica.2023.111239
crossref,10.5220/0001195000800087,F04,primary,C4B92C7381732,doi:10.5220/0001195000800087,yes,doi_exact,Auction like Task Allocation and Motion Coordination Strategies for Multi-Robot Transport Tasks,10.5220/0001195000800087
crossref,10.3724/sp.j.1087.2008.00706,F04,primary,CA4BF7B33A94A,doi:10.3724/sp.j.1087.2008.00706,yes,doi_exact,Application of a hybrid distributed multi-agent task allocation mechanism to soccer robot systems,10.3724/sp.j.1087.2008.00706
crossref,10.1109/iccma54375.2021.9646189,F04,primary,C9EB7BD5897CF,doi:10.1109/iccma54375.2021.9646189,no,new,Multi-Robot Task Allocation Based on Combinatorial Auction,10.1109/iccma54375.2021.9646189
crossref,10.1007/s42979-021-00479-x,F04,primary,C07906ECC23C8,doi:10.1007/s42979-021-00479-x,yes,doi_exact,Multi-robot Task Allocation System: Fuzzy Auction-Based and Adaptive Multi-threshold Approaches,10.1007/s42979-021-00479-x
crossref,10.1109/access.2020.2971585,F04,primary,C20FBE73D7292,doi:10.1109/access.2020.2971585,yes,doi_exact,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,10.1109/access.2020.2971585
crossref,10.1109/codit66093.2025.11321801,F04,primary,C25644EA3A807,doi:10.1109/codit66093.2025.11321801,yes,doi_exact,An Approach Combining Consensus with Optimization for Distributed Multi-Robot Task Allocation with Limited Communications,10.1109/codit66093.2025.11321801
crossref,10.1109/tencon66050.2025.11375272,F04,primary,C072554E870A7,doi:10.1109/tencon66050.2025.11375272,no,new,An Improved Auction Algorithm for Multi-Robot Task Allocation,10.1109/tencon66050.2025.11375272
crossref,10.1145/2240166.2240171,F04,primary,CD617355078E3,doi:10.1145/2240166.2240171,yes,doi_exact,Centralized and distributed task allocation in multi-robot teams via a stochastic clustering auction,10.1145/2240166.2240171
crossref,10.1109/chicc.2008.4605654,F04,primary,C67A638824243,doi:10.1109/chicc.2008.4605654,no,new,Task allocation for multi-robot cooperative hunting behavior based on improved auction algorithm,10.1109/chicc.2008.4605654
crossref,10.36227/techrxiv.23260052.v1,F04,primary,CC124E289D25C,doi:10.36227/techrxiv.23260052.v1,no,new,A Distributed Algorithm for Multi-Robot Task Allocation via Weighted Buffered Voronoi Partition,10.36227/techrxiv.23260052.v1
crossref,10.36227/techrxiv.23260052,F04,primary,C637D3859C128,doi:10.36227/techrxiv.23260052,no,new,A Distributed Algorithm for Multi-Robot Task Allocation via Weighted Buffered Voronoi Partition,10.36227/techrxiv.23260052
crossref,10.1016/j.comcom.2026.108499,F04,primary,C9E3B6B7A6951,doi:10.1016/j.comcom.2026.108499,no,new,Event-triggered adaptive consensus for multi-robot task allocation,10.1016/j.comcom.2026.108499
crossref,10.1109/iccect60629.2024.10545932,F04,primary,CC639CACAF267,doi:10.1109/iccect60629.2024.10545932,no,new,The Group-Based Distributed Auction Algorithms for Multi-Robot Task Assignment,10.1109/iccect60629.2024.10545932
crossref,10.1109/gcon69192.2026.11648381,F04,primary,CEEE2EFE131B5,doi:10.1109/gcon69192.2026.11648381,yes,doi_exact,Distributed Multi-Robot Task Allocation for Dynamic Multi-Target Tracking Using Inexact ADMM,10.1109/gcon69192.2026.11648381
crossref,10.59782/aai.v1i2.293,F04,primary,CB0CAB607E95A,doi:10.59782/aai.v1i2.293,no,new,Heterogeneous multi-task allocation algorithm based on multi-round distributed auction,10.59782/aai.v1i2.293
crossref,10.4172/2168-9695-c1-010,F04,primary,C63EA1BF13B42,doi:10.4172/2168-9695-c1-010,no,new,Distributed task allocation for multi-robot systems in search and rescue scenario,10.4172/2168-9695-c1-010
crossref,10.1109/robio.2013.6739866,F04,primary,C745278F267A6,doi:10.1109/robio.2013.6739866,no,new,Comparison of auction-based methods for task allocation problem in multi-robot systems,10.1109/robio.2013.6739866
crossref,10.2139/ssrn.4627351,F04,primary,CCFAB53EEA3FA,doi:10.2139/ssrn.4627351,yes,title_exact,A Distributed Multi-Robot Task Allocation Method for Time-Constrained Dynamic Collective Transport,10.2139/ssrn.4627351
crossref,10.1109/iros.2010.5652799,F04,primary,C842B3E882979,doi:10.1109/iros.2010.5652799,no,new,A novel Stochastic Clustering Auction for task allocation in multi-robot teams,10.1109/iros.2010.5652799
crossref,10.1109/iros.2011.6094948,F04,primary,CF78CD428E991,doi:10.1109/iros.2011.6094948,yes,doi_exact,A fast distributed auction and consensus process using parallel task allocation and execution,10.1109/iros.2011.6094948
crossref,10.1007/s10846-023-01935-x,F04,primary,CBF202D600FE4,doi:10.1007/s10846-023-01935-x,no,new,Auction-Based Task Allocation and Motion Planning for Multi-Robot Systems with Human Supervision,10.1007/s10846-023-01935-x
crossref,10.1007/978-3-642-00644-9_31,F04,primary,CCAC3AD55A124,doi:10.1007/978-3-642-00644-9_31,yes,doi_exact,A Stochastic Clustering Auction (SCA) for Centralized and Distributed Task Allocation in Multi-agent Teams,10.1007/978-3-642-00644-9_31
