archivo,escenario,fps,fuente,metodo,nota,semilla
results/animations/robot_failure_smith_full.mp4,robot_failure,24,results/trajectories/trajectory_robot_failure_smith_full_2026.parquet,smith_full,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_robot_failure_classic_greedy_nearest_2026.parquet,robot_failure,24,results/trajectories/trajectory_robot_failure_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_robot_failure_classic_greedy_nearest_2026.parquet,robot_failure,24,results/trajectories/loads_robot_failure_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/robot_failure_classic_greedy_nearest.mp4,robot_failure,24,results/trajectories/trajectory_robot_failure_classic_greedy_nearest_2026.parquet,classic_greedy_nearest,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_robot_failure_classic_centralized_mincost_2026.parquet,robot_failure,24,results/trajectories/trajectory_robot_failure_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_robot_failure_classic_centralized_mincost_2026.parquet,robot_failure,24,results/trajectories/loads_robot_failure_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/robot_failure_classic_centralized_mincost.mp4,robot_failure,24,results/trajectories/trajectory_robot_failure_classic_centralized_mincost_2026.parquet,classic_centralized_mincost,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_robot_failure_oracle_clairvoyant_2026.parquet,robot_failure,24,results/trajectories/trajectory_robot_failure_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/loads_robot_failure_oracle_clairvoyant_2026.parquet,robot_failure,24,results/trajectories/loads_robot_failure_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/animations/robot_failure_oracle_clairvoyant.mp4,robot_failure,24,results/trajectories/trajectory_robot_failure_oracle_clairvoyant_2026.parquet,oracle_clairvoyant,"individual MP4, H.264; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2026
results/trajectories/trajectory_robot_failure_smith_full_2027.parquet,robot_failure,24,results/trajectories/trajectory_robot_failure_smith_full_2027.parquet,smith_full,"robot trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
results/trajectories/loads_robot_failure_smith_full_2027.parquet,robot_failure,24,results/trajectories/loads_robot_failure_smith_full_2027.parquet,smith_full,"load trajectory log from Python simulator; simulador Python propio, no CoppeliaSim; Semilla canonica 2026 usada por v2.7; no fue elegida por rendimiento.",2027
