figure,source_data,script,seed,caption,notes
results/figures_pdf/scenarios/comm_degradation/final_state.pdf,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Degradacion de comunicacion con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/comm_degradation/final_state.png,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Estado final de ocupacion para Degradacion de comunicacion con Smith, semilla 2026. La figura usa ocupaciones registradas; las coordenadas geometricas no estan en los logs v2.7.",No geometric robot coordinates are stored in v2.7 logs.
results/figures_pdf/scenarios/comm_degradation/temporal_metrics.pdf,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026.csv; results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Degradacion de comunicacion para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/comm_degradation/temporal_metrics.png,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026.csv; results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Evolucion temporal en Degradacion de comunicacion para Smith, semilla 2026: entregas acumuladas, throughput, deficit medio y ocupacion observada frente a z*.",
results/figures_pdf/scenarios/comm_degradation/method_comparison.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Degradacion de comunicacion con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/scenarios/comm_degradation/method_comparison.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,"Comparacion de metodos para Degradacion de comunicacion con medias e IC95 del benchmark v2.7. Intervalos solapados se interpretan como paridad, no como victoria.",
results/figures_pdf/animations/comm_degradation/occupancy_animation.gif,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Degradacion de comunicacion con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/animations/comm_degradation/occupancy_animation.mp4,results/benchmark-v27-full/comm_degradation/R3_p0_smith_2026_theory.csv,scripts/consolidate_pdf_figures.py,2026,"Animacion diagnostica de ocupaciones para Degradacion de comunicacion con Smith, semilla 2026. Representa coaliciones y prediccion teorica; no reconstruye posiciones fisicas.",Downsampled to <=220 frames.
results/figures_pdf/sweeps/load_sweep_capture.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,Captura media e IC95 frente a carga ofrecida rho para los metodos principales.,
results/figures_pdf/sweeps/load_sweep_capture.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,Captura media e IC95 frente a carga ofrecida rho para los metodos principales.,
results/figures_pdf/sweeps/comm_sweep_capture.pdf,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,Captura media e IC95 frente al radio de comunicacion; la caida en R bajo delimita la frontera operacional.,
results/figures_pdf/sweeps/comm_sweep_capture.png,results/v2_7_significance.csv,scripts/consolidate_pdf_figures.py,,Captura media e IC95 frente al radio de comunicacion; la caida en R bajo delimita la frontera operacional.,
results/figures_pdf/sweeps/price_regime_delta.pdf,results/v2_7_price_regime.csv,scripts/consolidate_pdf_figures.py,,Delta pareado de captura al activar precios; el signo cambia entre flujo nominal y escasez priorizada.,
results/figures_pdf/sweeps/price_regime_delta.png,results/v2_7_price_regime.csv,scripts/consolidate_pdf_figures.py,,Delta pareado de captura al activar precios; el signo cambia entre flujo nominal y escasez priorizada.,
results/figures_pdf/sweeps/h3b_existing_delta_by_regime.pdf,exp_results/H3_metrics.csv,scripts/consolidate_pdf_figures.py,,Resultado H3-B disponible: delta pareado de valor entregado con precio frente a sin precio por regimen.,No deadline-sensitivity sweep exists in current artifacts; no new experiment was run.
results/figures_pdf/sweeps/h3b_existing_delta_by_regime.png,exp_results/H3_metrics.csv,scripts/consolidate_pdf_figures.py,,Resultado H3-B disponible: delta pareado de valor entregado con precio frente a sin precio por regimen.,No deadline-sensitivity sweep exists in current artifacts; no new experiment was run.
results/figures_pdf/sweeps/H3B_sensitivity_not_available.md,exp_results/H3_metrics.csv,scripts/consolidate_pdf_figures.py,,Trazabilidad de la sensibilidad H3-B no generada por ausencia de datos existentes.,No new experiments rule.
results/figures_pdf/sweeps/theory_reality_r2_by_regime.pdf,results/v2_7_scatter_closure_metrics.csv,scripts/consolidate_pdf_figures.py,,R2 consolidado por regimen usando ventana post-contacto y z* capado al peso de la carga.,
results/figures_pdf/sweeps/theory_reality_r2_by_regime.png,results/v2_7_scatter_closure_metrics.csv,scripts/consolidate_pdf_figures.py,,R2 consolidado por regimen usando ventana post-contacto y z* capado al peso de la carga.,
results/figures_pdf/diagrams/stack_7_layers.pdf,conceptual diagram,scripts/consolidate_pdf_figures.py,,Diagrama de bloques del bucle percibir-fusionar-valorar-revisar-precio-clearing-campo-ruedas.,
results/figures_pdf/diagrams/stack_7_layers.png,conceptual diagram,scripts/consolidate_pdf_figures.py,,Diagrama de bloques del bucle percibir-fusionar-valorar-revisar-precio-clearing-campo-ruedas.,
results/figures_pdf/diagrams/stack_7_layers.svg,conceptual diagram,scripts/consolidate_pdf_figures.py,,Diagrama de bloques del bucle percibir-fusionar-valorar-revisar-precio-clearing-campo-ruedas.,
results/figures_pdf/diagrams/single_clock.pdf,conceptual diagram,scripts/consolidate_pdf_figures.py,,"Todo el sistema se actualiza en el mismo tick: percepcion, valoracion, revision, clearing y dinamica fisica.",
results/figures_pdf/diagrams/single_clock.png,conceptual diagram,scripts/consolidate_pdf_figures.py,,"Todo el sistema se actualiza en el mismo tick: percepcion, valoracion, revision, clearing y dinamica fisica.",
results/figures_pdf/diagrams/single_clock.svg,conceptual diagram,scripts/consolidate_pdf_figures.py,,"Todo el sistema se actualiza en el mismo tick: percepcion, valoracion, revision, clearing y dinamica fisica.",
results/figures_pdf/diagrams/market_supply_demand.pdf,conceptual diagram,scripts/consolidate_pdf_figures.py,,Curva de oferta por tramos y demanda decreciente con el cruce lambda* y un kink marcado.,
results/figures_pdf/diagrams/market_supply_demand.png,conceptual diagram,scripts/consolidate_pdf_figures.py,,Curva de oferta por tramos y demanda decreciente con el cruce lambda* y un kink marcado.,
results/figures_pdf/diagrams/market_supply_demand.svg,conceptual diagram,scripts/consolidate_pdf_figures.py,,Curva de oferta por tramos y demanda decreciente con el cruce lambda* y un kink marcado.,
