candidate_id,title,title_original,title_norm,authors,authors_original,authors_norm,year,year_original,venue,venue_original,doi,doi_original,doi_norm,abstract,document_type,source_ids,provenance,provenance_sources,provenance_queries,verification_status,metadata_verification_status,evidence_status,screening_status,legacy_seed_id,wos_ut,citation_count,citation_count_source,retrieved_at_utc,duplicate_status,dedup_status,dedup_parent_candidate_id,notes,seed_raw
C1758BD935FD5,Market-Based Multi-robot Coalition Formation,Market-based multi-robot coalition formation,market based multi robot coalition formation,Lovekesh Vig; Julie A. Adams,"Vig, L.; Adams, J. A.","vig, l.; adams, j. a.",2006,2006,Distributed Autonomous Robotic Systems 7,DARS 7,10.1007/4-431-35881-1_23,10.1007/4-431-35881-1_23,10.1007/4-431-35881-1_23,"Task allocation is an issue that every multi-robot system must address. Recent task allocation solutions propose, an auction based approach wherein robots bid for tasks based on cost functions for performing a task. This paper presents RACHNA, a novel architecture for multi-robot task allocation based on a modified algorithm for the winner determination problem in multi-unit combinatorial auctions. A more generic utility based framework is proposed to accommodate different types of tasks and task environments. Preliminary experiments yield promising results demonstrating the system's superiority over simple task allocation techniques.",book-chapter,crossref:10.1007/4-431-35881-1_23,legacy_review;crossref;crossref;crossref;wos,legacy_review;crossref;crossref;crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,legacy_seed;legacy_seed_verify;Q1_coalition_transport;Q5_heterogeneous_local;F01_primary,unverified_seed,metadata_verified,not_evidence,pending,L003,WOS:000240045700023,45,wos,2026-09-13T22:39:35.422037+00:00,unique,unique,,,"{""authors"": ""Vig, L.; Adams, J. A."", ""doi"": ""10.1007/4-431-35881-1_23"", ""legacy_seed_id"": ""L003"", ""notes"": """", ""provenance"": ""legacy_review_reconstructed"", ""title"": ""Market-based multi-robot coalition formation"", ""venue"": ""DARS 7"", ""verification_status"": ""unverified_seed"", ""year"": ""2006""}"
CB3570F2FB1C1,Multi-robot coalition formation,Multi-robot coalition formation,multi robot coalition formation,L. Vig; J.A. Adams,L. Vig; J.A. Adams,l. vig; j.a. adams,2006,2006,IEEE Transactions on Robotics,IEEE Transactions on Robotics,10.1109/tro.2006.878948,10.1109/tro.2006.878948,10.1109/tro.2006.878948,"As the community strives towards autonomous multirobot systems, there is a need for these systems to autonomously form coalitions to complete assigned missions. Numerous coalition formation algorithms have been proposed in the software agent literature. Algorithms exist that form agent coalitions in both super additive and non-super additive environments. The algorithmic techniques vary from negotiation-based protocols in multi-agent system (NUS) environments to those based on computation. in distributed problem solving (DPS) environments. Coalition formation behaviors have also been discussed in relation to game theory. Despite the plethora of MAS coalition formation literature, to the best of our knowledge none of the proposed algorithms have been demonstrated with an actual multi-robot system. There exists a discrepancy between the multi-agent algorithms and their applicability to the multi-robot domain. This paper aims to bridge that discrepancy by unearthing the issues that arise while attempting to tailor these algorithms to the multi-robot domain. A well-known multi-agent coalition formation algorithm has been studied in order to identify the necessary modifications to facilitate its application to the multi-robot domain. This paper reports multi-robot coalition formation results based upon simulation and actual robot experiments. A multi-agent coalition formation algorithm has been demonstrated on an actual robot system.",journal-article,crossref:10.1109/tro.2006.878948,crossref;wos,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,Q1_coalition_transport;F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000239554400006,192,wos,2026-09-13T22:39:35.773698+00:00,unique,unique,,,
C15D384364403,Multi-robot cooperation coalition formation based on genetic algorithm,,multi robot cooperation coalition formation based on genetic algorithm,"Liu, Hui-Yi; Chen, Jin-Feng",,,2006,,"PROCEEDINGS OF 2006 INTERNATIONAL CONFERENCE ON MACHINE LEARNING AND CYBERNETICS, VOLS 1-7",,,,,"Coalition formation is a key problem in multi-robot cooperation. The formation of multi-robot cooperation for single or multi-task is settled via finding the coalition maximum value or the coalition structure with the largest total coalition value. Traditionally, exhaustive method is used to get the optimal coalition or coalition structure with huge consumption in both computation time and communication overhead, which possibly results in search combination explosion. In this paper, agent coalition cooperation in MAS (Multi-Agent System) is applied in multi-robot system with genetic algorithm for the formation of multi-robot coalition and coalition structure in order to gain the possible maximum coalition value during task execution through finding the optimal solution or feasible solution for multi-robot coalition and coalition structure.",Proceedings Paper,wos:WOS:000241452300015,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000241452300015,16,wos,2026-09-13T22:39:35.953148+00:00,unique,unique,,,
CA8A85A00286F,A complete methodology for generating multi-robot task solutions using ASyMTRe-D and market-based task allocation,,a complete methodology for generating multi robot task solutions using asymtre d and market based task allocation,"Tang, Fang; Parker, Lynne E.",,,2007,,"PROCEEDINGS OF THE 2007 IEEE INTERNATIONAL CONFERENCE ON ROBOTICS AND AUTOMATION, VOLS 1-10",,10.1109/robot.2007.363990,,10.1109/robot.2007.363990,"This paper presents an approach that enables heterogeneous robots to automatically form groups as needed to generate both strongly-cooperative and weakly-cooperative multi-robot task solutions in the same application. The fundamental contribution of this work is the layering of our low-level coalition formation algorithm for generating strongly-cooperative task solutions, with high-level, traditional task allocation methods for weakly-cooperative task solutions. At the low level, coalitions that generate strongly-cooperative multi-robot task solutions are formed using our ASyMTRe-D approach that maps environmental sensors and perceptual and motor schemas to the required flow of information in the robot team, automatically reconfiguring the connections of schemas within and across robots to form efficient solutions. At the high level, a traditional task allocation approach is used to enable individual robots and/or coalitions to compete for weakly-cooperative task assignments through task allocation. We introduce the site clearing task to motivate the work, and then formalize the problem. We then present the approach of layering ASyMTRe-D with task allocation. We validate the approach on a team of robots with the site clearing task. We believe the resulting approach is a flexible system that can handle a broad range of realistic multi-robot applications beyond what is possible using other existing approaches.",Proceedings Paper,wos:WOS:000250915303062,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000250915303062,76,wos,2026-09-13T22:39:35.953920+00:00,unique,unique,,,
C0D1915A815A8,Coalition formation: From software agents to robots,,coalition formation from software agents to robots,"Vig, Lovekesh; Adams, Julie A.",,,2007,,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,,10.1007/s10846-007-9150-0,,10.1007/s10846-007-9150-0,"A problem that has recently attracted the attention of the research community is the autonomous formation of robot teams to perform complex multirobot tasks. The corresponding problem for software agents is also known in the multi-agent community as the coalition formation problem. Numerous algorithms for software agent coalition formation have been provided that allow for efficient cooperation in both competitive and cooperative environments. However, despite the plethora of relevant literature on the software agent coalition formation problem, and the existence of similar problems in theoretical computer science, the multirobot coalition formation problem has not been sufficiently grounded for different tasks and task environments. In this paper, comparisons are drawn to highlight the differences between software agents and robotics, and parallel problems from theoretical computer science are identified. This paper further explores robot coalition formation in different practical robotic environments. A heuristic-based coalition formation algorithm from our previous work was extended to operate in precedence ordered cooperative environments. In order to explore coalition formation in competitive environments, the paper also studies the RACHNA system, a market based coalition formation system. Finally, the paper investigates the notion of task preemption for complex multi-robot tasks in random allocation environments.",Article,wos:WOS:000248885500006,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000248885500006,53,wos,2026-09-13T22:39:35.953654+00:00,unique,unique,,,
CB0E0B5DC7869,Constrained coverage for heterogeneous multi-robot team,Constrained coverage for heterogeneous multi-robot team,constrained coverage for heterogeneous multi robot team,Nuttapon Boonpinon; Attawith Sudsang,Nuttapon Boonpinon; Attawith Sudsang,nuttapon boonpinon; attawith sudsang,2007,2007,2007 IEEE International Conference on Robotics and Biomimetics (ROBIO),2007 IEEE International Conference on Robotics and Biomimetics (ROBIO),10.1109/robio.2007.4522265,10.1109/robio.2007.4522265,10.1109/robio.2007.4522265,,proceedings-article,crossref:10.1109/robio.2007.4522265,crossref,crossref,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,6,crossref,2026-09-13T22:39:35.872834+00:00,unique,unique,,,
C96992034C2F2,Multi-robot task allocation with tightly coordinated tasks and deadlines using market-based methods,,multi robot task allocation with tightly coordinated tasks and deadlines using market based methods,"Gaimari, Robert; Zarrella, Guido; Goodman, Bradley",,,2007,,"Multi-Agent Robotic Systems, Proceedings",,,,,"The domain of Collaborative Time Sensitive Targeting requires agents to assess and prioritize tasks, dynamically form heterogeneous teams of agents to perform the tightly coordinated tasks, and to complete them within time deadlines. In this paper, we describe extensions to market-based, multi-robot task allocation to allow for these requirements.",Proceedings Paper,wos:WOS:000250044400006,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000250044400006,0,wos,2026-09-13T22:39:35.958679+00:00,unique,unique,,,
C1027A45215F8,Decentralized Behavioral Approach to Wheeled Mobile Robot Formation Maneuvers,Decentralized Behavioral Approach to Wheeled Mobile Robot Formation Maneuvers,decentralized behavioral approach to wheeled mobile robot formation maneuvers,,,,2008,2008,Communications and Control Engineering Distributed Consensus in Multi-vehicle Cooperative Control,Communications and Control Engineering Distributed Consensus in Multi-vehicle Cooperative Control,10.1007/978-1-84800-015-5_11,10.1007/978-1-84800-015-5_11,10.1007/978-1-84800-015-5_11,,book-chapter,crossref:10.1007/978-1-84800-015-5_11,crossref,crossref,Q2_sharedload_distributed,metadata_verified,metadata_verified,not_evidence,pending,,,0,crossref,2026-09-13T22:39:35.791575+00:00,unique,unique,,,
CDB5890569C65,Distributed intelligence: overview of the field and its application in multi-robot systems,Distributed intelligence: overview of the field and its application in multi-robot systems,distributed intelligence overview of the field and its application in multi robot systems,Lynne E. Parker,Lynne E. Parker,lynne e. parker,2008,2008,Journal of Physical Agents (JoPha),Journal of Physical Agents (JoPha),10.14198/jopha.2008.2.1.02,https://doi.org/10.14198/jopha.2008.2.1.02,10.14198/jopha.2008.2.1.02,,article,openalex:https://openalex.org/W2122277562,openalex,openalex,Q5_heterogeneous_local,metadata_verified,metadata_verified,not_evidence,pending,,,239,openalex,2026-09-13T22:39:35.895198+00:00,unique,unique,,,
CBC21E5156E47,Multi-robot Cooperative Pursuit Based on Task Bundle Auctions,,multi robot cooperative pursuit based on task bundle auctions,"Cai, Ze-Su; Sun, Li-Ning; Gao, Hai-Bo; Zhou, Pu-Cheng; Piao, Song-Hao; Huang, Qing-Cheng",,,2008,,"INTELLIGENT ROBOTICS AND APPLICATIONS, PT I, PROCEEDINGS",,,,,"This paper mainly discusses the pursuit-evasion games, in which a team of autonomous mobile robots act as pursuers to pursue multiple moving targets cooperatively. In order to reduce the communication load during the task negotiation process, the auction mechanism in Economics was introduced, and an improved task negotiation process based on Task Bundle Auction was proposed. It allocated task dynamically through Dynamic coalition formation of multiple robots. In this paper, we propose the three possible coalition objectives and three different matrics of a multi-robot exploration and pursuit-evader. Based on these extensions, a kind of multi-robot cooperative pursuit algorithm that allows fault injection dynamic alliance is proposed. Simulation results show the feasibility and validity of the given algorithm.",Proceedings Paper,wos:WOS:000261049200026,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000261049200026,8,wos,2026-09-13T22:39:35.953533+00:00,unique,unique,,,
C0AB47DB18435,RETRACTED: Large-scale Multi-robot Task Allocation Based on Ant Colony Algorithm (Retracted Article),,retracted large scale multi robot task allocation based on ant colony algorithm retracted article,"Zhang, Yu; Liu, Shuhua; Liu, Jie; Yu, Chenmu",,,2008,,"2008 CHINESE CONTROL AND DECISION CONFERENCE, VOLS 1-11",,10.1109/ccdc.2008.4597703,,10.1109/ccdc.2008.4597703,"This paper discusses robot coalition formation in the large-scale multi-robots system including loosely and tightly-coupled tasks. A task allocation mechanism based on Ant Colony Algorithm is proposed. This method adopts hierarchical architecture. In the high level, we employ Ant Colony Algorithm to find optimal allocations. Namely, each ant forms a task allocation so as to choose an undertaker for every task. hi the low level, each ant forms a task-oriented robot coalition to perform a tightly-coupled task. Simulation results show that the task allocation mechanism is feasible and valid.",Proceedings Paper; Retracted Publication,wos:WOS:000260562701146,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000260562701146,0,wos,2026-09-13T22:39:35.953589+00:00,unique,unique,,,
CE5F5A6A87F09,Social networks in simulated multi-robot environment,,social networks in simulated multi robot environment,"Rodic, Daniel; Engelbrecht, Andries P.",,,2008,,INTERNATIONAL JOURNAL OF INTELLIGENT COMPUTING AND CYBERNETICS,,10.1108/17563780810857158,,10.1108/17563780810857158,"Purpose - The purpose of this paper is to present a novel approach to coordination of multi-agent teams, and in particular multi-robot teams. The new approach is based on models of organisational sociology, namely the concept of social networks. The social relationships used in the model that is presented in this paper are trust and kinship relationships, but modified for use in heterogeneous multi-robot teams. Design/methodology/approach - The coordination of a robot team is achieved through task allocation. The proposed task allocation mechanism was tested in the multi-robot team task allocation simulation. Findings - The social networks-based task allocation algorithm has performed according to expectations and the obtained results are very promising. Some intriguing similarities with higher mammalian societies were observed and they are discussed in this paper. The social networks-based approach also exhibited the ability to learn and store information using social networks. Research limitations/implications - The research focused on simulated environments and further research is envisaged in the physical environments to confirm the applicability of the presented approach. Practical implications - In this paper, the proposed coordination was applied to simulated multi-robot teams. It is important to note that the proposed coordination model is not robot specific, but can also be applied to almost any multi-agent system without major modifications. Originality/value - The paper emphasizes applicability of considering multi-robot teams as socially embodied agents. It also presents a novel and efficient approach to task allocation.",Article,wos:WOS:000219514500007,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000219514500007,11,wos,2026-09-13T22:39:35.959182+00:00,unique,unique,,,
C12FE7F5876C1,Analysis of Energy-Delay Performance in Multi-hop Wireless Sensor Networks,Analysis of Energy-Delay Performance in Multi-hop Wireless Sensor Networks,analysis of energy delay performance in multi hop wireless sensor networks,Ruifeng Zhang,Ruifeng Zhang,ruifeng zhang,2009,2009,OpenGrey (Institut de l'Information Scientifique et Technique),OpenGrey (Institut de l'Information Scientifique et Technique),,,,,dissertation,openalex:https://openalex.org/W2181935086,openalex,openalex,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,11,openalex,2026-09-13T22:39:35.927607+00:00,unique,unique,,,
C7C35DE0BD40F,CoMutaR: A framework for multi-robot coordination and task allocation,,comutar a framework for multi robot coordination and task allocation,"Shiroma, Pedro M.; Campos, Mario F. M.",,,2009,,2009 IEEE-RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS,,10.1109/iros.2009.5354166,,10.1109/iros.2009.5354166,"In multi-robot systems, task allocation and coordination are two fundamental problems that share high synergy. Although multi-robot architectures typically separate them into distinct layers, relevant improvement may be expected From solutions that are able to concurrently handle them at the same ""level"". This paper proposes a novel framework, called CoMutaR (Coalition formation based on Multi-tasking Robots), which is used for both tackle task distribution among teams of mobile robots, and to guarantee the coordination within the formed teams. Robot capabilities are modelled as actions, independent modules whose inputs do not depend on the robot that generated it. Solutions to tasks are devised is coalitions of actions, that can be spread amongst he available robots. We also define the concept of share-restricted resources, which are periodically checked and updated by the actions in the system. In contrast to prior approaches, this mechanism enables to quickly determine if two actions can be executed simultaneously, allowing a single robot to execute) multiple tasks concurrently. A single-round auction Protocol is used to automatically discover and form coalitions. Once a coalition is formed, coordination;among robots is modelled as constraints imposed over the share-restricted resources. Finally, we have successfully implemented and applied CoMutaR in typical scenarios like object transportation, area surveillance, and multi-robot box pushing. Experimental results demonstrate that the system is able to provide good solutions even in the case of severe failures in participating robots.",Proceedings Paper,wos:WOS:000285372902160,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,metadata_verified,metadata_verified,not_evidence,pending,,WOS:000285372902160,40,wos,2026-09-13T22:39:35.953900+00:00,unique,unique,,,
C4B439BC6A12D,Consensus-Based Decentralized Auctions for Robust Task Allocation,Consensus-Based Decentralized Auctions for Robust Task Allocation,consensus based decentralized auctions for robust task allocation,Han-Lim Choi; L. Brunet; J.P. How,"Choi, H.-L.; Brunet, L.; How, J. P.","choi, h.-l.; brunet, l.; how, j. p.",2009,2009,IEEE Transactions on Robotics,IEEE Transactions on Robotics,10.1109/tro.2009.2022423,10.1109/TRO.2009.2022423,10.1109/tro.2009.2022423,,journal-article,crossref:10.1109/tro.2009.2022423,legacy_review;crossref,legacy_review;crossref,legacy_seed;legacy_seed_verify,unverified_seed,metadata_verified,not_evidence,pending,L004,,984,crossref,2026-09-13T22:39:35.431644+00:00,unique,unique,,,"{""authors"": ""Choi, H.-L.; Brunet, L.; How, J. P."", ""doi"": ""10.1109/TRO.2009.2022423"", ""legacy_seed_id"": ""L004"", ""notes"": """", ""provenance"": ""legacy_review_reconstructed"", ""title"": ""Consensus-Based Decentralized Auctions for Robust Task Allocation"", ""venue"": ""IEEE Transactions on Robotics"", ""verification_status"": ""unverified_seed"", ""year"": ""2009""}"
C09E45479F99C,Cooperative multi-robot localization under communication constraints,Cooperative multi-robot localization under communication constraints,cooperative multi robot localization under communication constraints,N. Trawny; S.I. Roumeliotis; G.B. Giannakis,N. Trawny; S.I. Roumeliotis; G.B. Giannakis,n. trawny; s.i. roumeliotis; g.b. giannakis,2009,2009,2009 IEEE International Conference on Robotics and Automation,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152606,10.1109/robot.2009.5152606,10.1109/robot.2009.5152606,,proceedings-article,crossref:10.1109/robot.2009.5152606,crossref,crossref,Q6_network_imperfect,metadata_verified,metadata_verified,not_evidence,pending,,,57,crossref,2026-09-13T22:39:35.906135+00:00,unique,unique,,,
C7BCBEFF96FB9,Motion coordination through cooperative payload transport,Motion coordination through cooperative payload transport,motion coordination through cooperative payload transport,He Bai; John T. Wen,He Bai; John T. Wen,he bai; john t. wen,2009,2009,2009 American Control Conference,2009 American Control Conference,10.1109/acc.2009.5160630,10.1109/acc.2009.5160630,10.1109/acc.2009.5160630,,proceedings-article,crossref:10.1109/acc.2009.5160630,crossref,crossref,Q7_counterexample_full_conjunction,metadata_verified,metadata_verified,not_evidence,pending,,,3,crossref,2026-09-13T22:39:35.938712+00:00,unique,unique,,,
