sample_id,stratum,rank_prefix,path,line,keys,claim_context,primary_source,verdict,precise_evidence
CTX011,framework,291b286859d3,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",98,"tsitsiklis1986asynchronousOptimization","Referenced asynchronous optimization assumes persistent updates and bounded delay/communication.","https://www.mit.edu/~JNT/Papers/J014-86-asyn-grad.pdf",supports,"Author manuscript assumptions require continued computation/communication and bounded communication delay for the relevant convergence result."
CTX012,framework,30fbf4bf178b,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",250,"yi2019operatorGNE;franci2022stochasticGNE","A variational GNE is characterized by a VI and common multipliers under shared constraints/regularity.","https://doi.org/10.1016/j.automatica.2019.01.008; https://arxiv.org/abs/2011.05357",supports,"Primary formulations define variational GNE via variational inequalities/normal cones and common dual variables for shared constraints."
CTX013,framework,364faf16b539,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",288,"li2019largeAgentMapf","LA-MAPF models agents with non-point footprints.","https://ojs.aaai.org/index.php/AAAI/article/view/4756",supports,"Primary AAAI paper explicitly studies multi-agent path finding for large agents whose shapes occupy multiple cells."
CTX014,framework,3f5eb890edd7,"sections/source-snapshot/mainmatter/05-theoretical-framework.tex",86,"dai2024dynamicCoalition;bezerra2025dynamicCoalition","Dai learns coalition formation/routing; Bezerra uses spatial action maps and intention to revise allocation.","https://marmotlab.org/publications/56-ICRA2024-MRTA.pdf; https://arxiv.org/abs/2412.20397",supports,"Dai primary abstract states dynamic coalition formation and routing via RL; Bezerra primary abstract describes spatial action maps, motion planning and intention sharing/revision."
CTX015,introduction,0482746a044c,"sections/source-snapshot/mainmatter/01-introduction.tex",20,"gerkeyMataric2004MRTA;korsahStentzDias2013iTax","MRTA supplies variables/categories for selecting participants.","https://ai.stanford.edu/~gerkey/research/final_papers/mrta-taxonomy.pdf; https://publications.ri.cmu.edu/a-comprehensive-taxonomy-for-multi-robot-task-allocation",supports,"Both primary taxonomies formalize allocation of robots to tasks; manuscript makes no stronger algorithmic claim."
CTX016,introduction,24f64c026a47,"sections/source-snapshot/mainmatter/01-introduction.tex",16,"an2023cooperativeReview","A temporary coalition distributes a heavy task without sizing the whole fleet for maximum load.","https://doi.org/10.1109/OJCS.2023.3238324",partial,"Primary review supports cooperative transport platforms, communication and payload challenges; the fleet-sizing/economic inference is plausible but not established as a reported result by the source."
CTX017,introduction,4df891ff10cc,"sections/source-snapshot/mainmatter/01-introduction.tex",41,"parkerTang2006ASyMTRe;zhangParker2013IQASyMTRe","ASyMTRe/IQ-ASyMTRe check or synthesize functional robot coalitions.","https://web.eecs.utk.edu/~leparker/publications/ICRA_05.pdf; https://doi.org/10.1109/TRO.2012.2228135",supports,"Primary papers synthesize coalitions by matching required schemas/resources and extend this to information quality."
CTX018,methodology,2834adc3779d,"sections/source-snapshot/mainmatter/04-methodology.tex",361,"awsRobomakerWarehouse2021","The simulated warehouse is built on the AWS RoboMaker Small Warehouse World.","https://github.com/aws-robotics/aws-robomaker-small-warehouse-world",supports,"Official AWS Robotics repository is the cited scene source; manuscript labels its added geometry and experiment as an author modification."
CTX019,sp1-results,14160bed2626,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp2.tex",129,"choiBrunetHow2009CBBA","The evaluated capacity-CBBA is an approximation and original CBBA guarantees do not transfer.","https://acl.mit.edu/projects/consensus-based-bundle-algorithm",supports,"Primary CBBA scope is bundle allocation with consensus; manuscript explicitly distinguishes its modified capacity heuristic and withholds the original guarantee."
CTX020,sp1-results,772ec549d11e,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp2.tex",130,"sandholm2010population","Replicator/BNN/Smith are population-game dynamics, while the implementation is only a finite score ordering.","https://mitpress.mit.edu/9780262195874/population-games-and-evolutionary-dynamics/",supports,"Publisher description/table of contents treats these evolutionary dynamics; manuscript expressly denies transfer of continuous-time guarantees."
CTX021,sp2-results,0b2ec5f6e282,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp3.tex",184,"barreiro2017distributed","The four-round ring primal-dual row is inspired by distributed population dynamics.","https://upcommons.upc.edu/bitstream/handle/2117/104264/1716-Distributed-Population-Dynamics_-Optimization-and-Control-Applications.pdf",partial,"Primary paper supports neighbor-distributed population dynamics/optimization; it does not establish the manuscript's particular four-round consensus, heuristic closure or variable-network behavior, all of which the row scopes out."
CTX022,sp2-results,34c8a16d16b7,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp4.tex",91,"alonsomora2017transport","Constrained object transport is summarized as a nonconvex NLP solved through global QP iterations with local-model scope.","https://repository.tudelft.nl/record/uuid:62459ea4-3d45-47a1-85e3-4404d024f38b",partial,"Primary abstract supports constrained optimization, sequential convex programming and object transport; the exact complexity/architecture wording in the compact table is a manuscript characterization rather than a theorem stated by the source."
CTX023,sp2-results,3ed66846e6b4,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp3.tex",165,"bicchi1995closure;pereira2004caging","Closure/caging concern confinement and are not executed by this Cargo campaign.","https://doi.org/10.1177/027836499501400402; https://doi.org/10.1177/0278364904045477",supports,"Primary papers study grasp closure and decentralized manipulation via caging; manuscript correctly separates them from bilateral fixed-contact wrench certification."
CTX024,sp2-results,59da2ebfb1fc,"sections/source-snapshot/mainmatter/06-results-and-analysis/sp4.tex",170,"vanderschaf2017passivity;ortega2002passivity","Mechanical storage/passivity motivates the local pose-control Lyapunov candidate.","https://doi.org/10.1007/978-3-319-49992-5; https://doi.org/10.1016/S0005-1098(01)00278-3",supports,"Primary book/article cover passivity storage and damping assignment; the concrete inequality is derived in the manuscript appendix rather than attributed to them."
CTX025,sp3-results,77a6b51b9e3e,"sections/source-snapshot/mainmatter/06-results-and-analysis/aws-industrial2.tex",11,"awsRobomakerWarehouse2021","The visual pilot modifies the AWS Small Warehouse World.","https://github.com/aws-robotics/aws-robomaker-small-warehouse-world",supports,"Official repository identifies the original world; caption clearly states author modifications and does not attribute experiment results to AWS."
