id,stratum,source_ref,claim_group,evidence_ref,verification,verdict
Q013,SP1-E2,"sp2.tex:220-227","complete E2 main table: coverage, completion, gaps, differences and CPU","active sp2_numbers.tex/sp2_comparison.tex; archived manifest hashes","table and macros match hashes in manifest.json",verified-p3-provenance
Q014,SP1-E2,"sp2.tex:232-239","plain-vs-marginal ablation including effects, CI95 and Holm p","active sp2_numbers.tex/sp2_ablation.tex; archived manifest hashes","values agree exactly with archived generated tables",verified-p3-provenance
Q015,SP1-E2,"sp2.tex:242","primal-dual completion effect -0.119, CI [-0.128,-0.111], p_Holm=1","sp2_numbers.tex; E2 audit.json negative_primal_dual_*","macro values and independent audit fields agree",verified-p3-provenance
Q016,SP1-E3,"sp3.tex:127-143","regularized residual only implies pure feasibility one way; epsilon_lambda=100 scalar counterexample","sp3.tex:127-143; appendices/05-sp3-proofs.tex; tests/test_sp3_evidence.py","counterexample gives regularized rejection despite exact pure residual zero",verified
Q017,SP1-E3,"sp3.tex:176-184","method complexities, including exhaustive (S+1)^N and finite-consensus costs","implementation and method definitions in sp3.tex","counts are consistent with enumerated action space and loop structure",verified
Q018,SP1-E3,"sp3.tex:224-234","four consensus rounds and guard may add at most two robots","experiments/configs/sp3_wrench_evidence.yaml; E3 implementation/tests","configuration and closure loop agree",verified
Q019,SP1-E3,"sp3.tex:267-289","600 worlds and 7200 runs with paired design","results/processed/sp3/SP3_WRENCH_EVIDENCE_v1/audit.json and manifest.json","audit PASS; exact counts and ba703... table hash",verified-p3-provenance
Q020,SP1-E3,"sp3.tex:294-305","complete E3 performance table","sp3_results.tex/sp3_numbers.tex; SP3_WRENCH_EVIDENCE_v1 manifest","all displayed values match active generated artifacts",verified-p3-provenance
Q021,SP1-E3,"sp3.tex:303-312","false positives 0.333 to 0; effect -0.333, CI [-0.370,-0.295], p=4.27e-35","sp3_numbers.tex and E3 audit bundle","macros agree with archived processed evidence",verified-p3-provenance
Q022,SP1-E3,"sp3.tex:294-305","KKT 0.00221 exact versus 0.02029 ring; effect -0.01809 and CI","sp3_numbers.tex and sp3_results.tex","values agree across macro and table snapshots",verified-p3-provenance
Q023,SP2-E4,"sp4.tex:80-96","method complexities and central/local information labels","declared algorithms and active implementation","asymptotic claims checked against loop/QP structure; no hardware inference",verified
Q024,SP2-E4,"sp4.tex:110-154","dynamic-unicycle sampling dt=0.12 s and wheel/pose relations","experiments/configs/sp4_transport_evidence.yaml; tests/test_sp4_theory_and_evidence.py","step and dimensional bridge agree with config/formal appendix",verified
Q025,SP2-E4,"sp4.tex:170-179","dissipation bound dot(V)<=-alpha/2||nu||^2+||d||^2/(2alpha)","appendices/06-sp4-proofs.tex:27-88","Hessian/Young inequality derivation and domains checked",verified
Q026,SP2-E4,"sp4.tex:193-211","108 docking worlds, 1188 runs; 12 V4 worlds; 18 transport worlds","results/processed/sp4/SP4_TRANSPORT_EVIDENCE_v1/audit.json","audit PASS and campaign strata explicit",verified-p3-provenance
Q027,SP2-E4,"sp4.tex:213-218","complete docking table including timeout 0.824 CBF and 0.731 replicator","sp4_docking_results.tex and sp4_numbers.tex; manifest hashes","active table/macro hashes equal manifest",verified-p3-provenance
Q028,SP2-E4,"sp4.tex:219-225","docking effect 0.093, CI [0.037,0.157], Holm 3.17e-3; KKT 1.704","sp4_numbers.tex/sp4_docking_results.tex","values cross-checked; statistics scoped to paired docking campaign",verified-p3-provenance
Q029,SP2-E4,"sp4.tex:226-230","V4 safe outcomes 1.000/0.750/0.333 over 12 worlds","sp4_numbers.tex; SP4 audit.json","macro and audited V4 checks agree",verified-p3-provenance
Q030,SP2-E4,"sp4.tex:232-244","complete 18-world transport table: delivery/time/error/work","sp4_transport_results.tex; SP4 manifest","active table hash equals archived manifest",verified-p3-provenance
Q031,SP2-E4,"sp4.tex:234-244","time difference 4.375 [4.350,4.400] and work -15.16 [-15.24,-15.08]","sp4_numbers.tex; archived contrast CSV hash f56e...","values match active macros and processed contrast",verified-p3-provenance
Q032,SP2-E6,"sp6.tex:73,85-93","2^n_R exact profiles and method complexities","sp6 implementation and tests/test_sp6_recovery.py","enumeration and per-activation operation counts checked",verified
Q033,SP2-E6,"sp6.tex:120-127","finite improvement bound 2^n_R-1","sp6.tex and appendices active proof via thesis-appendices.tex","proof counts distinct binary profiles and accepted changes",verified
Q034,SP2-E6,"sp6.tex:129-155","lambda>kappa_max/delta_min; all Nash feasible/inclusion-minimal; PoS=1","sp6.tex; active appendix proof; SP6 audit exact-potential checks","assumptions include D6(0)>0 and full-reserve feasibility",verified
Q035,SP2-E6,"sp6.tex:157-165","unbounded PoA with one resource, three robots, ratio M/2","thesis-appendices.tex active SP6 proof block","explicit construction verifies both Nash and divergence",verified
Q036,SP2-E6,"sp6.tex:170-184","time bound uses detection + at most m+1 aggregate activation windows + travel/settling","thesis-appendices.tex active SP6 proof; tests/test_sp6_recovery.py","bar_tau_a includes non-changing activations; sum and preconditions checked",verified
Q037,SP2-E6,"sp6.tex:189-211","480 worlds, 2400 runs, 360 recoverable, 120 impossible","legacy/results/processed/sp6/SP6_RECOVERY_CONFIRMATORY_v1/audit.json","audit PASS and exact manifest counts",verified
Q038,SP2-E6,"sp6.tex:214-226","complete recovery result table","sp6_results.tex/sp6_numbers.tex; SP6 manifest/audit","generated values agree with audited bundle",verified
Q039,SP2-E6,"sp6.tex:222-226","restore 1 conditional; unconditional effect .750 CI [.710,.787], p=1.3e-108","sp6_numbers.tex; SP6 audited hypotheses","values and conditioning verified",verified
Q040,SP2-E6,"sp6.tex:228-234","redundancy, optimality-gap and message effects","sp6_numbers.tex/sp6_results.tex and audited runs","values agree; no global-optimality claim attached",verified
Q041,SP2-E6,"sp6.tex:232-236","tight-deadline success .175 potential versus .383 greedy","sp6_numbers.tex and SP6 processed bundle","values agree and negative result retained",verified
Q042,Cargo,"cargo-e2e.tex:17-30","score weights .08/.025, references 1 m/1 kg/1 N and cardinality >=3","cargo_e2e_confirmatory config and integrated implementation","formula, units and selection threshold match code/config",verified
Q043,Cargo,"cargo-e2e.tex:39-60","7/10 gossip events and 16 s docking/replacement timeouts","frozen Cargo protocol and integrated implementation","event/timeout branches agree",verified
Q044,Cargo,"cargo-e2e.tex:96","docking thresholds .12 m/.08 m/s for five samples; replacement first qualifying sample","src/viu_mrob_tfm/integrated/experiment.py:439-465,689-707","both acceptance rules independently traced in code",verified
Q045,Cargo,"cargo-e2e.tex:102","message accounting 16 B header +32 B per identifier","frozen protocol and integrated message accounting","formula matches implementation; omitted fields explicitly disclosed",verified
Q046,Cargo,"cargo-e2e.tex:106-126","pilot 36; confirmatory 4 regimes x N={4,8,12} x30 seeds =360 worlds/2160 runs; loss/delay values","Cargo manifest, frozen_protocol.yaml and audit.json","factorial arithmetic and protocol fields agree",verified
Q047,Cargo,"cargo-e2e.tex:126,143,151","inference uses 90 independent size-seed units; H2 has 270 paired regime records; figure cells 90","tables/hypotheses.csv and campaign design","distinction between paired records and independent resampling units is correct",verified
Q048,Cargo,"cargo-e2e.tex:130-139","complete six-method Cargo result table","cargo_e2e_results.tex; archived table hash 535a...","active table is byte-identical to manifest artifact",verified
Q049,Cargo,"cargo-e2e.tex:130","mission .997, central 1, degraded 1, messages 328.1/249.3/58.2 kB","cargo_e2e_numbers.tex; summary.csv/runs.csv","values independently recomputed/checked against archived tables; extended macro sealed by archived manifest",verified
Q050,Cargo,"cargo-e2e.tex:143","H2 effect .996 CI [.989,1], p=5.79e-21 only static/degraded/failure; collision .750 aggregated four regimes; 356 certified","cargo hypotheses.csv and active extended macros","domains, aggregation and values agree; nominal excluded from H2; extended macro sealed by archived manifest",verified
Q051,Cargo,"cargo-e2e.tex:143","repair effect .989 CI [.967,1], p=6.46e-27","cargo hypotheses.csv row E2E-H3","exact agreement and failure-regime scope; extended macro sealed by archived manifest",verified
Q052,Cargo,"cargo-e2e.tex:145","timing -0.086 s CI [-.178,.013], Holm .068","cargo hypotheses.csv row E2E-H1","exact agreement; conclusion correctly non-supportive; extended macro sealed by archived manifest",verified
Q053,SP3-E7,"sp7.tex:77-85","local complexity and restricted-oracle exponential complexity","SP7 implementation and tests/test_sp7_traffic.py","operation counts agree with route/resource enumeration",verified
Q054,SP3-E7,"sp7.tex:107-110","finite path bound product_i |R_i|-1","appendices/08-sp7-proofs.tex:1-19","exact-potential identity and finite-profile argument checked",verified
Q055,SP3-E7,"sp7.tex:112-128","lambda_7>theta_7 implies conflict-free Nash under accessibility","appendices/08-sp7-proofs.tex:20-44","threshold definition and contradiction proof checked",verified
Q056,SP3-E7,"sp7.tex:180-187","finite no-starvation under ordered finite requesters/release/no-reentry assumptions","appendices/08-sp7-proofs.tex:45-68","claim explicitly conditional; proof checks induction/order",verified
Q057,SP3-E7,"sp7.tex:190-210","360 worlds, 1800 runs and finite two-route catalogue","legacy/results/processed/sp7/SP7_TRAFFIC_CONFIRMATORY_v1/manifest.json","factorial counts and evidence level C agree",verified
Q058,SP3-E7,"sp7.tex:214-222","complete five-method traffic table","sp7_results.tex/sp7_numbers.tex; SP7 audit/manifest","generated values agree with audited bundle",verified
Q059,SP3-E7,"sp7.tex:225-234","reservation effect .261/26.1 pp, CI [.217,.308], Holm 5e-29; congestion +4 steps; oracle 1.15-step advantage","sp7_numbers.tex and SP7 processed evidence","values and signs verified",verified
Q060,AWS,"aws-industrial2.tex:13-32","4 methods x4 scenarios x2 seeds=32, horizon 60 s","aws-industrial2-results.tex and versioned simulator summaries","factorial arithmetic and macros agree",verified
Q061,AWS,"aws-industrial2.tex:20-36","open deliveries 0/1/1/1; congestion zero; deadlock/CPU ranges; two safety-barrier violations and residuals","aws-industrial2-results.tex and source summaries","all values macro-driven; barrier metric separated from sampled overlap",verified
Q062,conclusions,"mainmatter/07-conclusions.tex:19-36,75-85,104-120","repeated E3/E6/E7/Cargo/AWS magnitudes and hypothesis states","same active generated macros and audited evidence bundles","all repetitions resolve to the same macros; no stale SP8/QR/quorum figures remain",verified
Q063,appendix,"shared/formal-results/sp2-canonical-bridge.tex:1-90","unicycle/wheel speed pure-rotation bound and dimensional mapping","same formal bridge plus tests/test_sp4_theory_and_evidence.py","algebra, units and limiting cases checked",verified
Q064,appendix,"shared/formal-results/sp2-canonical-bridge.tex:91-130","non-monotonic coalition size and scalar-capacity insufficiency examples","formal bridge and tests/test_sp2_effective_capacity.py","constructive examples reproduce inequalities",verified
Q065,appendix,"thesis-appendices.tex active SP6 proof block","m<=2^n_R-1, m+1 windows, travel and settling terms","active conditional expansion from thesis-appendices.tex","active graph parser confirms proof is included and not hidden",verified
Q066,build,"build/verification.json","11 preliminaries, 69 body, 39 results, 8 references, 10 appendices, total 98; results/body .565217","pre-thesis/build/verification.json; main.pdf SHA-256 pending the final two-build reproducibility seal","verification status passed; final byte-level seal pending after concurrent rebuild",verified-p3-provenance
Q067,front,"frontmatter/01-summary.tex:18-23; frontmatter/02-abstract.tex:18-23","Cargo completes almost all missions; E6 recoverable certificates and E7 reservation effects","Cargo .997; E6 conditional 1.000; E7 1.000 vs .739 macros","qualitative quantifiers are conservative relative to exact active results",verified
