legacy_seed_id,matched_candidate_id,match_method,metadata_status,DOI,corrected_title,corrected_year,corrected_venue,verification_status,classification
L011,CB2F6798CEDFA,legacy_seed_link,unresolved,10.48550/arxiv.1904.03049,Loosely Coupled Payload Transport System with Robot Replacement,2019,arXiv,unverified_seed,unresolved
L012,CAAAE1784EBA9,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/case49439.2021.9551582,Distributed Hedonic Coalition Formation for Multi-Robot Task Allocation,2021,2021 IEEE 17th International Conference on Automation Science and Engineering (CASE),unverified_seed,corrected
L013,C6C363875453A,legacy_seed_link;metadata_enrichment,metadata_verified,10.3390/robotics10030084,Model Predictive Control for Cooperative Transportation with Feasibility-Aware Policy,2021,Robotics,unverified_seed,verified
L014,C0DB8404395A4,legacy_seed_link;metadata_enrichment,metadata_verified,10.1016/j.robot.2022.104307,Deep reinforcement learning of event-triggered communication and consensus-based control for distributed cooperative transport,2023,Robotics and Autonomous Systems,unverified_seed,corrected
L015,C394CCFE6567A,legacy_seed_link;metadata_enrichment,metadata_verified,10.1016/j.isatra.2023.04.006,Design and control of a multi-mobile-robot cooperative transport system based on a novel six degree-of-freedom connector,2023,ISA Transactions,unverified_seed,verified
L016,CAD59551B5523,legacy_seed_link;metadata_enrichment,metadata_verified,10.1016/j.ifacol.2023.10.431,"Learning Locally, Communicating Globally: Reinforcement Learning of Multi-robot Task Allocation for Cooperative Transport",2023,IFAC-PapersOnLine,unverified_seed,corrected
L017,CCDE1C53018AD,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/icra57147.2024.10611244,Dynamic Coalition Formation and Routing for Multirobot Task Allocation via Reinforcement Learning,2024,2024 IEEE International Conference on Robotics and Automation (ICRA),unverified_seed,corrected
L018,C1DDA86BCCB0A,legacy_seed_link;metadata_enrichment,metadata_verified,10.1016/j.robot.2023.104612,Cooperative object transportation with differential-drive mobile robots: Control and experimentation,2024,Robotics and Autonomous Systems,unverified_seed,corrected
L019,C892F518F8C64,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/tase.2024.3395283,A Self-Learning Approach to Heterogeneous Multi-Robot Coalition Formation Under Uncertainty,2025,IEEE Transactions on Automation Science and Engineering,unverified_seed,verified
L020,C4649C0749E2E,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/lra.2025.3592080,Learning Policies for Dynamic Coalition Formation in Multi-Robot Task Allocation,2025,IEEE Robotics and Automation Letters,unverified_seed,corrected
L021,C96F294D621AC,legacy_seed_link;metadata_enrichment,metadata_verified,10.1007/s10846-025-02287-4,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,2025,Journal of Intelligent &amp; Robotic Systems,unverified_seed,corrected
L022,CA5A4BBA9A8CC,legacy_seed_link;metadata_enrichment,metadata_verified,10.1186/s40648-025-00308-3,Cooperative transportation of an object with a nonholonomic constraint by a swarm robot,2025,ROBOMECH Journal,unverified_seed,verified
L023,CE490248EFFC2,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/lra.2025.3597895,Multi-Robot Cooperative Transportation of Irregular Objects by Multi-Objective Optimization With Distributed Control,2025,IEEE Robotics and Automation Letters,unverified_seed,verified
L024,CFF6DD4CBEF8A,legacy_seed_link;metadata_enrichment,metadata_verified,10.1007/s10458-026-09758-4,GRAPE-S: near real-time coalition formation for multiple service collectives,2026,Autonomous Agents and Multi-Agent Systems,unverified_seed,verified
L025,CD939FAFF0D4C,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/mrs66243.2025.11357250,SADCHER: Scheduling using Attention-based Dynamic Coalitions of Heterogeneous Robots in Real-Time,2025,2025 IEEE International Symposium on Multi-Robot and Multi-Agent Systems (MRS),unverified_seed,corrected
L026,C1B0A43A71755,legacy_seed_link;metadata_enrichment,metadata_verified,10.1038/s41598-026-41881-w,Real-time decentralized model predictive control for cooperative multi-robot object transport: experimental validation,2026,Scientific Reports,unverified_seed,corrected
L027,C33F7AC523F54,legacy_seed_link;metadata_enrichment,metadata_verified,10.3390/automation7010001,Cooperative Path Planning for Object Transportation with Fault Management,2025,Automation,unverified_seed,corrected
L028,C3D11A5A03610,legacy_seed_link,unresolved,10.48550/arxiv.2509.14342,Multi-Quadruped Cooperative Object Transport: Learning Decentralized Pinch-Lift-Move,2026,ICRA/arXiv,unverified_seed,unresolved
L029,CE784349F030E,legacy_seed_link;metadata_enrichment,metadata_verified,10.3390/s21144780,Cooperative Object Transportation Using Curriculum-Based Deep Reinforcement Learning,2021,Sensors,unverified_seed,verified
L030,C8B3CD04DD333,legacy_seed_link;metadata_enrichment,metadata_verified,10.1109/icarsc49921.2020.9096078,GEOMOVE: Detached AGVs for Cooperative Transportation of Large and Heavy Loads in the Aeronautic Industry,2020,2020 IEEE International Conference on Autonomous Robot Systems and Competitions (ICARSC),unverified_seed,corrected
L031,CFCBF75C881CC,legacy_seed_link;metadata_enrichment,metadata_verified,10.1016/j.proeng.2012.07.255,Cooperative Transportation of Aload Using Nonholonomic Mobile Robots,2012,Procedia Engineering,unverified_seed,corrected
L032,CFAD5A5CA338C,legacy_seed_link;metadata_enrichment,metadata_verified,10.5772/60972,Formation-Based Control Scheme for Cooperative Transportation by Multiple Mobile Robots,2015,International Journal of Advanced Robotic Systems,unverified_seed,verified
