t,robot,x,y,theta,policy
2.0,Pioneer_04,-8.6314,-10.7624,0.8059,smith_qr_battery
2.0,Pioneer_05,-6.6125,-10.8181,0.8882,smith_qr_battery
2.0,Pioneer_06,-4.4895,-10.7871,0.9771,smith_qr_battery
2.0,Pioneer_07,-2.4206,-10.8363,1.0717,smith_qr_battery
2.0,Pioneer_08,-0.2882,-10.8194,1.1021,smith_qr_battery
2.0,Pioneer_09,1.7965,-10.8035,1.2253,smith_qr_battery
2.0,Pioneer_10,3.8902,-10.8324,1.3511,smith_qr_battery
2.0,Pioneer_11,6.0341,-10.8,1.4757,smith_qr_battery
2.0,Pioneer_12,8.126,-10.7851,1.5953,smith_qr_battery
2.0,Pioneer_13,10.1847,-10.8499,1.7071,smith_qr_battery
2.0,Pioneer_14,12.2631,-10.8048,1.8094,smith_qr_battery
2.0,Pioneer_15,14.3455,-10.7548,1.994,smith_qr_battery
2.5,Pioneer_01,-13.2239,-9.7057,0.5996,smith_qr_battery
2.5,Pioneer_02,-12.6663,-9.5037,1.6771,smith_qr_battery
2.5,Pioneer_03,-10.2475,-10.2262,0.7305,smith_qr_battery
2.5,Pioneer_04,-8.5886,-10.5569,0.8059,smith_qr_battery
2.5,Pioneer_05,-6.5808,-10.7984,0.8882,smith_qr_battery
2.5,Pioneer_06,-4.4802,-10.8298,0.9771,smith_qr_battery
2.5,Pioneer_07,-2.4095,-10.7548,1.0717,smith_qr_battery
2.5,Pioneer_08,-0.3286,-10.7429,1.1021,smith_qr_battery
2.5,Pioneer_09,1.8462,-10.8216,1.2253,smith_qr_battery
2.5,Pioneer_10,3.8819,-10.7953,1.3511,smith_qr_battery
2.5,Pioneer_11,6.0254,-10.8087,1.4757,smith_qr_battery
2.5,Pioneer_12,8.1268,-10.7779,1.5953,smith_qr_battery
2.5,Pioneer_13,10.1937,-10.8082,1.7071,smith_qr_battery
2.5,Pioneer_14,12.2826,-10.7891,1.8094,smith_qr_battery
2.5,Pioneer_15,14.4088,-10.7811,1.994,smith_qr_battery
3.0,Pioneer_01,-12.9032,-9.5227,0.5996,smith_qr_battery
3.0,Pioneer_02,-12.5934,-9.1574,1.6771,smith_qr_battery
3.0,Pioneer_03,-10.0369,-9.8715,0.7305,smith_qr_battery
3.0,Pioneer_04,-8.3484,-10.2966,0.8059,smith_qr_battery
3.0,Pioneer_05,-6.5433,-10.7307,0.8882,smith_qr_battery
3.0,Pioneer_06,-4.486,-10.7862,0.9771,smith_qr_battery
3.0,Pioneer_07,-2.3422,-10.7942,1.0717,smith_qr_battery
3.0,Pioneer_08,-0.2811,-10.8295,1.1021,smith_qr_battery
3.0,Pioneer_09,1.8035,-10.8149,1.2253,smith_qr_battery
3.0,Pioneer_10,3.9249,-10.7917,1.3511,smith_qr_battery
3.0,Pioneer_11,6.04,-10.7651,1.4757,smith_qr_battery
3.0,Pioneer_12,8.101,-10.7981,1.5953,smith_qr_battery
3.0,Pioneer_13,10.2081,-10.7638,1.7071,smith_qr_battery
3.0,Pioneer_14,12.3267,-10.7865,1.8094,smith_qr_battery
3.0,Pioneer_15,14.4149,-10.7609,1.994,smith_qr_battery
3.5,Pioneer_01,-12.5947,-9.325,0.5996,smith_qr_battery
3.5,Pioneer_02,-12.5424,-8.8304,1.6771,smith_qr_battery
3.5,Pioneer_03,-9.7629,-9.5848,0.7305,smith_qr_battery
3.5,Pioneer_04,-8.1346,-9.9806,0.8059,smith_qr_battery
3.5,Pioneer_05,-6.426,-10.4476,0.8882,smith_qr_battery
3.5,Pioneer_06,-4.4859,-10.7762,0.9771,smith_qr_battery
3.5,Pioneer_07,-2.4034,-10.8144,1.0717,smith_qr_battery
3.5,Pioneer_08,-0.3008,-10.8132,1.1021,smith_qr_battery
3.5,Pioneer_09,1.7406,-10.8312,1.2253,smith_qr_battery
3.5,Pioneer_10,3.9595,-10.7902,1.3511,smith_qr_battery
3.5,Pioneer_11,6.0062,-10.7975,1.4757,smith_qr_battery
3.5,Pioneer_12,8.0672,-10.7856,1.5953,smith_qr_battery
3.5,Pioneer_13,10.2007,-10.7595,1.7071,smith_qr_battery
3.5,Pioneer_14,12.2788,-10.7759,1.8094,smith_qr_battery
3.5,Pioneer_15,14.3936,-10.82,1.994,smith_qr_battery
4.0,Pioneer_01,-12.1893,-9.1327,0.5996,smith_qr_battery
4.0,Pioneer_02,-12.5156,-8.4337,1.6771,smith_qr_battery
4.0,Pioneer_03,-9.5117,-9.2956,0.7305,smith_qr_battery
4.0,Pioneer_04,-7.8864,-9.6508,0.8059,smith_qr_battery
4.0,Pioneer_05,-6.2427,-10.1849,0.8882,smith_qr_battery
4.0,Pioneer_06,-4.402,-10.5726,0.9771,smith_qr_battery
4.0,Pioneer_07,-2.3701,-10.7481,1.0717,smith_qr_battery
4.0,Pioneer_08,-0.2866,-10.7858,1.1021,smith_qr_battery
4.0,Pioneer_09,1.7732,-10.789,1.2253,smith_qr_battery
4.0,Pioneer_10,3.9026,-10.8001,1.3511,smith_qr_battery
4.0,Pioneer_11,6.0121,-10.8063,1.4757,smith_qr_battery
4.0,Pioneer_12,8.1277,-10.8264,1.5953,smith_qr_battery
4.0,Pioneer_13,10.1609,-10.8192,1.7071,smith_qr_battery
4.0,Pioneer_14,12.2913,-10.8068,1.8094,smith_qr_battery
4.0,Pioneer_15,14.4101,-10.8428,1.994,smith_qr_battery
4.5,Pioneer_01,-11.8603,-8.8689,0.5996,smith_qr_battery
4.5,Pioneer_02,-12.4476,-8.0757,1.6771,smith_qr_battery
4.5,Pioneer_03,-9.2062,-9.0014,0.7305,smith_qr_battery
4.5,Pioneer_04,-7.692,-9.4071,0.8059,smith_qr_battery
4.5,Pioneer_05,-6.0763,-9.8648,0.8882,smith_qr_battery
4.5,Pioneer_06,-4.2853,-10.314,0.9771,smith_qr_battery
4.5,Pioneer_07,-2.413,-10.7272,1.0717,smith_qr_battery
4.5,Pioneer_08,-0.2631,-10.7526,1.1021,smith_qr_battery
4.5,Pioneer_09,1.8,-10.8062,1.2253,smith_qr_battery
4.5,Pioneer_10,3.8792,-10.8231,1.3511,smith_qr_battery
4.5,Pioneer_11,5.9946,-10.7914,1.4757,smith_qr_battery
4.5,Pioneer_12,8.0662,-10.803,1.5953,smith_qr_battery
4.5,Pioneer_13,10.2179,-10.836,1.7071,smith_qr_battery
4.5,Pioneer_14,12.3263,-10.7716,1.8094,smith_qr_battery
4.5,Pioneer_15,14.3863,-10.8239,1.994,smith_qr_battery
5.0,Pioneer_01,-11.5579,-8.7026,0.5996,smith_qr_battery
5.0,Pioneer_02,-12.3813,-7.7315,1.6771,smith_qr_battery
5.0,Pioneer_03,-8.988,-8.7606,0.7305,smith_qr_battery
5.0,Pioneer_04,-7.5754,-9.097,0.8059,smith_qr_battery
5.0,Pioneer_05,-5.9431,-9.6254,0.8882,smith_qr_battery
5.0,Pioneer_06,-4.1808,-10.0517,0.9771,smith_qr_battery
5.0,Pioneer_07,-2.3136,-10.4626,1.0717,smith_qr_battery
5.0,Pioneer_08,-0.2715,-10.8227,1.1021,smith_qr_battery
5.0,Pioneer_09,1.8668,-10.8176,1.2253,smith_qr_battery
5.0,Pioneer_10,3.9164,-10.8034,1.3511,smith_qr_battery
5.0,Pioneer_11,5.9732,-10.8478,1.4757,smith_qr_battery
5.0,Pioneer_12,8.107,-10.7835,1.5953,smith_qr_battery
5.0,Pioneer_13,10.1523,-10.7662,1.7071,smith_qr_battery
5.0,Pioneer_14,12.3062,-10.7516,1.8094,smith_qr_battery
5.0,Pioneer_15,14.3675,-10.8156,1.994,smith_qr_battery
5.5,Pioneer_01,-11.214,-8.4457,0.5996,smith_qr_battery
5.5,Pioneer_02,-12.3168,-7.3852,1.6771,smith_qr_battery
5.5,Pioneer_03,-8.7012,-8.4561,0.7305,smith_qr_battery
5.5,Pioneer_04,-7.3557,-8.8229,0.8059,smith_qr_battery
5.5,Pioneer_05,-5.7534,-9.2946,0.8882,smith_qr_battery
5.5,Pioneer_06,-4.1061,-9.7889,0.9771,smith_qr_battery
5.5,Pioneer_07,-2.3111,-10.2061,1.0717,smith_qr_battery
5.5,Pioneer_08,-0.3549,-10.6549,1.1021,smith_qr_battery
5.5,Pioneer_09,1.7776,-10.802,1.2253,smith_qr_battery
5.5,Pioneer_10,3.9221,-10.7957,1.3511,smith_qr_battery
5.5,Pioneer_11,6.0443,-10.8404,1.4757,smith_qr_battery
5.5,Pioneer_12,8.1068,-10.803,1.5953,smith_qr_battery
5.5,Pioneer_13,10.1874,-10.8635,1.7071,smith_qr_battery
5.5,Pioneer_14,12.2803,-10.7698,1.8094,smith_qr_battery
5.5,Pioneer_15,14.3862,-10.7973,1.994,smith_qr_battery
6.0,Pioneer_01,-10.8832,-8.2187,0.5996,smith_qr_battery
6.0,Pioneer_02,-12.3192,-7.024,1.6771,smith_qr_battery
6.0,Pioneer_03,-8.4886,-8.257,0.7305,smith_qr_battery
6.0,Pioneer_04,-7.1188,-8.548,0.8059,smith_qr_battery
6.0,Pioneer_05,-5.6232,-9.0546,0.8882,smith_qr_battery
6.0,Pioneer_06,-3.9848,-9.5165,0.9771,smith_qr_battery
6.0,Pioneer_07,-2.1946,-9.9429,1.0717,smith_qr_battery
6.0,Pioneer_08,-0.2725,-10.4309,1.1021,smith_qr_battery
6.0,Pioneer_09,1.7992,-10.7368,1.2253,smith_qr_battery
6.0,Pioneer_10,3.9405,-10.8198,1.3511,smith_qr_battery
6.0,Pioneer_11,6.0243,-10.7715,1.4757,smith_qr_battery
6.0,Pioneer_12,8.0996,-10.7787,1.5953,smith_qr_battery
6.0,Pioneer_13,10.1985,-10.8257,1.7071,smith_qr_battery
6.0,Pioneer_14,12.3179,-10.8338,1.8094,smith_qr_battery
6.0,Pioneer_15,14.4227,-10.8269,1.994,smith_qr_battery
6.5,Pioneer_01,-10.5544,-8.0487,0.5996,smith_qr_battery
6.5,Pioneer_02,-12.2658,-6.6745,1.6771,smith_qr_battery
6.5,Pioneer_03,-8.2393,-7.9165,0.7305,smith_qr_battery
6.5,Pioneer_04,-6.8902,-8.2715,0.8059,smith_qr_battery
6.5,Pioneer_05,-5.4573,-8.7686,0.8882,smith_qr_battery
6.5,Pioneer_06,-3.7959,-9.2839,0.9771,smith_qr_battery
6.5,Pioneer_07,-2.1654,-9.7269,1.0717,smith_qr_battery
6.5,Pioneer_08,-0.3282,-10.3174,1.1021,smith_qr_battery
6.5,Pioneer_09,1.7539,-10.5025,1.2253,smith_qr_battery
6.5,Pioneer_10,3.9067,-10.7933,1.3511,smith_qr_battery
6.5,Pioneer_11,5.9738,-10.7969,1.4757,smith_qr_battery
6.5,Pioneer_12,8.1251,-10.817,1.5953,smith_qr_battery
6.5,Pioneer_13,10.2017,-10.7984,1.7071,smith_qr_battery
6.5,Pioneer_14,12.3046,-10.8392,1.8094,smith_qr_battery
6.5,Pioneer_15,14.4136,-10.7773,1.994,smith_qr_battery
7.0,Pioneer_01,-10.2019,-7.7974,0.5996,smith_qr_battery
7.0,Pioneer_02,-12.2239,-6.3822,1.6771,smith_qr_battery
7.0,Pioneer_03,-7.9857,-7.6604,0.7305,smith_qr_battery
7.0,Pioneer_04,-6.6617,-7.9109,0.8059,smith_qr_battery
7.0,Pioneer_05,-5.2697,-8.4948,0.8882,smith_qr_battery
7.0,Pioneer_06,-3.7631,-8.9899,0.9771,smith_qr_battery
7.0,Pioneer_07,-2.0792,-9.4648,1.0717,smith_qr_battery
7.0,Pioneer_08,-0.2608,-10.1109,1.1021,smith_qr_battery
7.0,Pioneer_09,1.6903,-10.3249,1.2253,smith_qr_battery
7.0,Pioneer_10,3.7715,-10.5335,1.3511,smith_qr_battery
7.0,Pioneer_11,5.9541,-10.8203,1.4757,smith_qr_battery
7.0,Pioneer_12,8.1009,-10.8206,1.5953,smith_qr_battery
7.0,Pioneer_13,10.2026,-10.8282,1.7071,smith_qr_battery
7.0,Pioneer_14,12.2575,-10.7823,1.8094,smith_qr_battery
7.0,Pioneer_15,14.3734,-10.8361,1.994,smith_qr_battery
7.5,Pioneer_01,-9.8731,-7.5915,0.5996,smith_qr_battery
7.5,Pioneer_02,-12.1442,-6.0437,1.6771,smith_qr_battery
7.5,Pioneer_03,-7.7314,-7.3965,0.7305,smith_qr_battery
7.5,Pioneer_04,-6.5111,-7.6944,0.8059,smith_qr_battery
7.5,Pioneer_05,-5.1175,-8.2285,0.8882,smith_qr_battery
7.5,Pioneer_06,-3.5433,-8.7257,0.9771,smith_qr_battery
7.5,Pioneer_07,-2.0353,-9.1919,1.0717,smith_qr_battery
7.5,Pioneer_08,-0.2565,-10.0037,1.1021,smith_qr_battery
7.5,Pioneer_09,1.6478,-10.1795,1.2253,smith_qr_battery
7.5,Pioneer_10,3.7195,-10.3225,1.3511,smith_qr_battery
7.5,Pioneer_11,5.9134,-10.5867,1.4757,smith_qr_battery
7.5,Pioneer_12,8.0614,-10.8074,1.5953,smith_qr_battery
7.5,Pioneer_13,10.1756,-10.8114,1.7071,smith_qr_battery
7.5,Pioneer_14,12.2601,-10.7973,1.8094,smith_qr_battery
7.5,Pioneer_15,14.3575,-10.8271,1.994,smith_qr_battery
8.0,Pioneer_01,-9.5508,-7.4539,0.5996,smith_qr_battery
8.0,Pioneer_02,-12.1334,-5.66,1.6771,smith_qr_battery
8.0,Pioneer_03,-7.4888,-7.0569,0.7305,smith_qr_battery
8.0,Pioneer_04,-6.3315,-7.4819,0.8059,smith_qr_battery
8.0,Pioneer_05,-4.9189,-7.9578,0.8882,smith_qr_battery
8.0,Pioneer_06,-3.4853,-8.4705,0.9771,smith_qr_battery
8.0,Pioneer_07,-1.9761,-8.9186,1.0717,smith_qr_battery
8.0,Pioneer_08,-0.2559,-9.8202,1.1021,smith_qr_battery
8.0,Pioneer_09,1.5654,-9.9146,1.2253,smith_qr_battery
8.0,Pioneer_10,3.6251,-10.0636,1.3511,smith_qr_battery
8.0,Pioneer_11,5.7503,-10.3619,1.4757,smith_qr_battery
8.0,Pioneer_12,8.0856,-10.7537,1.5953,smith_qr_battery
8.0,Pioneer_13,10.2217,-10.8448,1.7071,smith_qr_battery
8.0,Pioneer_14,12.3212,-10.7644,1.8094,smith_qr_battery
8.0,Pioneer_15,14.4423,-10.817,1.994,smith_qr_battery
8.5,Pioneer_01,-9.1902,-7.2122,0.5996,smith_qr_battery
8.5,Pioneer_02,-12.1009,-5.3992,1.6771,smith_qr_battery
8.5,Pioneer_03,-7.2291,-6.8499,0.7305,smith_qr_battery
8.5,Pioneer_04,-6.0828,-7.1299,0.8059,smith_qr_battery
8.5,Pioneer_05,-4.8076,-7.7242,0.8882,smith_qr_battery
8.5,Pioneer_06,-3.3694,-8.2795,0.9771,smith_qr_battery
8.5,Pioneer_07,-1.8645,-8.7288,1.0717,smith_qr_battery
8.5,Pioneer_08,-0.248,-9.652,1.1021,smith_qr_battery
8.5,Pioneer_09,1.5577,-9.6969,1.2253,smith_qr_battery
8.5,Pioneer_10,3.5101,-9.8421,1.3511,smith_qr_battery
8.5,Pioneer_11,5.5984,-10.0678,1.4757,smith_qr_battery
8.5,Pioneer_12,7.8687,-10.3919,1.5953,smith_qr_battery
8.5,Pioneer_13,10.1981,-10.8316,1.7071,smith_qr_battery
8.5,Pioneer_14,12.3103,-10.7474,1.8094,smith_qr_battery
8.5,Pioneer_15,14.3711,-10.8286,1.994,smith_qr_battery
9.0,Pioneer_01,-8.9057,-6.9659,0.5996,smith_qr_battery
9.0,Pioneer_02,-12.0591,-5.0591,1.6771,smith_qr_battery
9.0,Pioneer_03,-7.0161,-6.5908,0.7305,smith_qr_battery
9.0,Pioneer_04,-5.8498,-6.8877,0.8059,smith_qr_battery
9.0,Pioneer_05,-4.7157,-7.4349,0.8882,smith_qr_battery
9.0,Pioneer_06,-3.2844,-8.0341,0.9771,smith_qr_battery
9.0,Pioneer_07,-1.809,-8.5014,1.0717,smith_qr_battery
9.0,Pioneer_08,-0.2396,-9.4631,1.1021,smith_qr_battery
9.0,Pioneer_09,1.5537,-9.5343,1.2253,smith_qr_battery
9.0,Pioneer_10,3.4413,-9.6112,1.3511,smith_qr_battery
9.0,Pioneer_11,5.4696,-9.7702,1.4757,smith_qr_battery
9.0,Pioneer_12,7.6802,-10.1209,1.5953,smith_qr_battery
9.0,Pioneer_13,10.0074,-10.5525,1.7071,smith_qr_battery
9.0,Pioneer_14,12.325,-10.8096,1.8094,smith_qr_battery
9.0,Pioneer_15,14.3722,-10.7574,1.994,smith_qr_battery
9.5,Pioneer_01,-8.5548,-6.7923,0.5996,smith_qr_battery
9.5,Pioneer_02,-12.0448,-4.7584,1.6771,smith_qr_battery
9.5,Pioneer_03,-6.7751,-6.3149,0.7305,smith_qr_battery
9.5,Pioneer_04,-5.6652,-6.6016,0.8059,smith_qr_battery
9.5,Pioneer_05,-4.4613,-7.1408,0.8882,smith_qr_battery
9.5,Pioneer_06,-3.1814,-7.7622,0.9771,smith_qr_battery
9.5,Pioneer_07,-1.7493,-8.2377,1.0717,smith_qr_battery
9.5,Pioneer_08,-0.2234,-9.3342,1.1021,smith_qr_battery
9.5,Pioneer_09,1.4436,-9.3266,1.2253,smith_qr_battery
9.5,Pioneer_10,3.3456,-9.3301,1.3511,smith_qr_battery
9.5,Pioneer_11,5.3619,-9.4786,1.4757,smith_qr_battery
9.5,Pioneer_12,7.5405,-9.7764,1.5953,smith_qr_battery
9.5,Pioneer_13,9.7774,-10.2624,1.7071,smith_qr_battery
9.5,Pioneer_14,12.2084,-10.7127,1.8094,smith_qr_battery
9.5,Pioneer_15,14.3817,-10.8342,1.994,smith_qr_battery
10.0,Pioneer_01,-8.2222,-6.5834,0.5996,smith_qr_battery
10.0,Pioneer_02,-11.9857,-4.4712,1.6771,smith_qr_battery
10.0,Pioneer_03,-6.4711,-6.0515,0.7305,smith_qr_battery
10.0,Pioneer_04,-5.455,-6.3379,0.8059,smith_qr_battery
10.0,Pioneer_05,-4.289,-6.8972,0.8882,smith_qr_battery
10.0,Pioneer_06,-3.0758,-7.505,0.9771,smith_qr_battery
10.0,Pioneer_07,-1.6633,-7.9466,1.0717,smith_qr_battery
10.0,Pioneer_08,-0.1521,-9.1253,1.1021,smith_qr_battery
10.0,Pioneer_09,1.5021,-9.1596,1.2253,smith_qr_battery
10.0,Pioneer_10,3.2855,-9.0936,1.3511,smith_qr_battery
10.0,Pioneer_11,5.2173,-9.1973,1.4757,smith_qr_battery
10.0,Pioneer_12,7.3114,-9.5079,1.5953,smith_qr_battery
10.0,Pioneer_13,9.5044,-9.8794,1.7071,smith_qr_battery
10.0,Pioneer_14,11.9068,-10.3668,1.8094,smith_qr_battery
10.0,Pioneer_15,14.3815,-10.8142,1.994,smith_qr_battery
10.5,Pioneer_01,-7.9252,-6.3677,0.5996,smith_qr_battery
10.5,Pioneer_02,-11.9866,-4.1521,1.6771,smith_qr_battery
10.5,Pioneer_03,-6.3095,-5.8185,0.7305,smith_qr_battery
10.5,Pioneer_04,-5.3276,-6.0609,0.8059,smith_qr_battery
10.5,Pioneer_05,-4.1313,-6.6178,0.8882,smith_qr_battery
10.5,Pioneer_06,-2.9064,-7.2204,0.9771,smith_qr_battery
10.5,Pioneer_07,-1.5508,-7.7418,1.0717,smith_qr_battery
10.5,Pioneer_08,-0.1275,-8.946,1.1021,smith_qr_battery
10.5,Pioneer_09,1.487,-8.9353,1.2253,smith_qr_battery
10.5,Pioneer_10,3.144,-8.8563,1.3511,smith_qr_battery
10.5,Pioneer_11,5.0651,-8.9202,1.4757,smith_qr_battery
10.5,Pioneer_12,7.1138,-9.1942,1.5953,smith_qr_battery
10.5,Pioneer_13,9.3186,-9.6463,1.7071,smith_qr_battery
10.5,Pioneer_14,11.6729,-10.1103,1.8094,smith_qr_battery
10.5,Pioneer_15,14.0681,-10.6262,1.994,smith_qr_battery
11.0,Pioneer_01,-7.633,-6.2063,0.5996,smith_qr_battery
11.0,Pioneer_02,-11.9502,-3.8586,1.6771,smith_qr_battery
11.0,Pioneer_03,-6.0307,-5.5744,0.7305,smith_qr_battery
11.0,Pioneer_04,-5.0789,-5.7983,0.8059,smith_qr_battery
11.0,Pioneer_05,-3.9976,-6.3131,0.8882,smith_qr_battery
11.0,Pioneer_06,-2.7986,-6.985,0.9771,smith_qr_battery
11.0,Pioneer_07,-1.5072,-7.4676,1.0717,smith_qr_battery
11.0,Pioneer_08,-0.1351,-8.7403,1.1021,smith_qr_battery
11.0,Pioneer_09,1.4494,-8.766,1.2253,smith_qr_battery
11.0,Pioneer_10,3.1405,-8.6153,1.3511,smith_qr_battery
11.0,Pioneer_11,4.9718,-8.6552,1.4757,smith_qr_battery
11.0,Pioneer_12,6.9107,-8.8844,1.5953,smith_qr_battery
11.0,Pioneer_13,9.076,-9.2858,1.7071,smith_qr_battery
11.0,Pioneer_14,11.3474,-9.7935,1.8094,smith_qr_battery
11.0,Pioneer_15,13.7796,-10.4185,1.994,smith_qr_battery
11.5,Pioneer_01,-7.3083,-5.9572,0.5996,smith_qr_battery
11.5,Pioneer_02,-11.967,-3.5768,1.6771,smith_qr_battery
11.5,Pioneer_03,-5.7724,-5.3089,0.7305,smith_qr_battery
11.5,Pioneer_04,-4.8492,-5.5243,0.8059,smith_qr_battery
11.5,Pioneer_05,-3.7927,-6.0583,0.8882,smith_qr_battery
11.5,Pioneer_06,-2.642,-6.739,0.9771,smith_qr_battery
11.5,Pioneer_07,-1.4423,-7.2245,1.0717,smith_qr_battery
11.5,Pioneer_08,-0.1018,-8.632,1.1021,smith_qr_battery
11.5,Pioneer_09,1.3978,-8.5393,1.2253,smith_qr_battery
11.5,Pioneer_10,3.0224,-8.3928,1.3511,smith_qr_battery
11.5,Pioneer_11,4.8881,-8.3283,1.4757,smith_qr_battery
11.5,Pioneer_12,6.8089,-8.5663,1.5953,smith_qr_battery
11.5,Pioneer_13,8.8331,-9.0113,1.7071,smith_qr_battery
11.5,Pioneer_14,11.0804,-9.4665,1.8094,smith_qr_battery
11.5,Pioneer_15,13.4292,-10.2172,1.994,smith_qr_battery
12.0,Pioneer_01,-7.0112,-5.8565,0.5996,smith_qr_battery
12.0,Pioneer_02,-11.9072,-3.262,1.6771,smith_qr_battery
12.0,Pioneer_03,-5.5527,-5.0242,0.7305,smith_qr_battery
12.0,Pioneer_04,-4.6679,-5.2899,0.8059,smith_qr_battery
12.0,Pioneer_05,-3.6628,-5.8835,0.8882,smith_qr_battery
12.0,Pioneer_06,-2.5537,-6.5137,0.9771,smith_qr_battery
12.0,Pioneer_07,-1.3287,-7.0166,1.0717,smith_qr_battery
12.0,Pioneer_08,-0.0743,-8.4096,1.1021,smith_qr_battery
12.0,Pioneer_09,1.437,-8.3227,1.2253,smith_qr_battery
12.0,Pioneer_10,2.98,-8.1212,1.3511,smith_qr_battery
12.0,Pioneer_11,4.7549,-8.111,1.4757,smith_qr_battery
12.0,Pioneer_12,6.6301,-8.2853,1.5953,smith_qr_battery
12.0,Pioneer_13,8.5785,-8.652,1.7071,smith_qr_battery
12.0,Pioneer_14,10.8285,-9.1697,1.8094,smith_qr_battery
