paragraph_id,chapter,section,path,line_start,line_end,words,sentences,text,normalized_sha256,query_fragment,sample_rank,sampled,exact_query,unquoted_query,search_status
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:45:p012,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,45,45,59,3,"Las activaciones locales permiten ejecutar revisiones sin una ronda global. El resultado asíncrono citado supone activación persistente y retardos acotados ; una copia que excede esa cota queda fuera de su dominio. Distribuido describe la localización de la información, asíncrono describe la agenda de actualización y robusto a red exige una propiedad adicional bajo el modelo de pérdida o retardo.",1f5e022f3d83c28ba78dbe2fa1a53e7b7d842a14a757875a2db2cea34b9b266a,asíncrono citado supone activación persistente y retardos acotados una copia que excede,33bcae58f1a8df343345c386cf501a70d11d9293d6658834d52ed6ea89b97f7a,True,"""asíncrono citado supone activación persistente y retardos acotados una copia que excede""",asíncrono citado supone activación persistente y retardos acotados una copia que excede,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:200:p018,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,200,200,49,3,La conectividad del grafo certifica propagación de información; la rigidez geométrica conserva localmente la forma salvo movimientos rígidos del conjunto . Una formación rígida todavía puede exceder los límites de fuerza o adherencia. Cargo incorpora una interfaz de apoyo que transmite a la carga los esfuerzos acotados de los actuadores.,40145f985234b42e106b5a350bb5875a9b1d40502aa8e298d1364d0c4bb4760b,forma salvo movimientos rígidos del conjunto Una formación rígida todavía puede exceder,281b561310b9ead3e692ff71750d169cf6d154ef4a6835c98036957e3e3ee6b7,True,"""forma salvo movimientos rígidos del conjunto Una formación rígida todavía puede exceder""",forma salvo movimientos rígidos del conjunto Una formación rígida todavía puede exceder,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:208:p019,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,208,208,72,4,"La Ecuación separa el wrench resultante de las fuerzas internas . Dos vectores pueden producir la misma resultante y cargar de manera distinta los actuadores. Las componentes del núcleo de \(G_C(q)\) afectan compresión, saturación y pérdida de contacto aunque el cuerpo ideal no se mueva. La geometría determina el cierre ; la prueba pertinente es \(W_k^ req W_C(q)=\ G_C(q) : U_C\ \), no una suma escalar de capacidades.",b74c9ef73805a3f4b0858ca46d9fc537fb6ac8a5bb7412cdf1d40da5af356233,actuadores Las componentes del núcleo de G C q afectan compresión saturación,07e0f77152496a5f9a9ad505295c91fc340e5060280c692879791859b6b7d1ff,True,"""actuadores Las componentes del núcleo de G C q afectan compresión saturación""",actuadores Las componentes del núcleo de G C q afectan compresión saturación,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:212:p021,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,212,212,50,3,"Con y los contactos fijados, el controlador regula la pose del cuerpo compuesto. Las estructuras virtuales distribuyen referencias entre robots, y la optimización restringida reparte esfuerzo o impone evitación para esa formación . Estos resultados consumen un equipo ya elegido, por lo que el reclutamiento debe entregarles una composición mecánicamente admisible.",64658461e02a72ad536b259ac854b164e3c25ee581f36486c9657bf2b8e302ac,restringida reparte esfuerzo o impone evitación para esa formación Estos resultados consumen,4514bc0a193522beb3a2a6d434f2e6ea03b97977acbd5f244fa606358b61bb3a,True,"""restringida reparte esfuerzo o impone evitación para esa formación Estos resultados consumen""",restringida reparte esfuerzo o impone evitación para esa formación Estos resultados consumen,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:214:p022,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,214,214,60,3,"Una prueba de seguimiento fija la planta, el marco del error y los límites de perturbación. En el modelo planar rígido, una función de Lyapunov local puede incorporar amortiguamiento y residual de wrench. Cuando cambia un contacto o se retira un robot, el dominio de contacto fijo deja de aplicar y la coalición debe recertificarse antes de reutilizar el resultado.",52491f290eb9252ba302cdc4ae6021b02e01022f67e6ef1b8bf8a73267c05bd3,el modelo planar rígido una función de Lyapunov local puede incorporar amortiguamiento,176e49d472cb8a3af1a9b2789c0546d65d3113c60819ba005d4655ed50402125,True,"""el modelo planar rígido una función de Lyapunov local puede incorporar amortiguamiento""",el modelo planar rígido una función de Lyapunov local puede incorporar amortiguamiento,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:216:p023,Monografía: modelo común y estado del arte,"Información local, juegos y optimización distribuida",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,216,216,48,4,"En empuje, incorpora unilateralidad y fricción, y la dinámica admite pérdida de contacto. El certificado de caging comprueba que la configuración confina el objeto . Cargo, en cambio, certifica soporte y realización de wrench. La selección estratégica puede alimentar ambas ramas, pero cada una conserva su propio contrato físico.",094ff846a87afcdb26f5277dcb72f126a5fd1ee5c01f71afcc94c810e6f6df55,estratégica puede alimentar ambas ramas pero cada una conserva su propio contrato,0c5b6d2c3aaf02b8755a35f882d593581bbcbd80e0900b7769a816720b39d4de,True,"""estratégica puede alimentar ambas ramas pero cada una conserva su propio contrato""",estratégica puede alimentar ambas ramas pero cada una conserva su propio contrato,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:229:p028,Monografía: modelo común y estado del arte,"Seguridad, fallos y red imperfecta",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,229,229,67,4,"La retirada de un miembro modifica la geometría de apoyo y el conjunto realizable de wrench. La reparación necesita una reserva alcanzable y tiempo suficiente para recertificar la nueva coalición antes de consumir el margen seguro. La minimalidad por inclusión elimina miembros redundantes; el coste mínimo compara además todas las combinaciones admisibles. Cuando la capacidad remanente resulta insuficiente, el resultado correcto es detener o abortar la carga.",643bb809ecd34fbf7dc650e4327f8c4b8b65d9d8bd524a39d5ad654f34c0a455,compara además todas las combinaciones admisibles Cuando la capacidad remanente resulta insuficiente,44e81f68398fe5e2b6ca51bd76691032725d9ec21c1cf4d419933d87e1157f9b,True,"""compara además todas las combinaciones admisibles Cuando la capacidad remanente resulta insuficiente""",compara además todas las combinaciones admisibles Cuando la capacidad remanente resulta insuficiente,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:233:p030,Monografía: modelo común y estado del arte,"Seguridad, fallos y red imperfecta",pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,233,233,68,5,"SP3 usa esos planificadores como referencias centrales de tráfico. Una reserva de vértice o arista certifica exclusión dentro del grafo y del tiempo discretizado. La separación euclídea entre muestras depende de la interpolación, la huella y la cinemática. ORCA o una CBF cubren esa capa local, aunque las prioridades de pasillo requieren todavía arbitraje para evitar bloqueo mutuo. La interfaz integrada enlaza ruta reservada, huella y control continuo.",5af180e5efaceb529e0c966e3b686f22498806569a65f5a030248987354a1d73,todavía arbitraje para evitar bloqueo mutuo La interfaz integrada enlaza ruta reservada,51506da2e9f3912bb32be4d3c36ea44cea4298eb1fb071695d991789cea68fba,True,"""todavía arbitraje para evitar bloqueo mutuo La interfaz integrada enlaza ruta reservada""",todavía arbitraje para evitar bloqueo mutuo La interfaz integrada enlaza ruta reservada,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex:247:p034,Monografía: modelo común y estado del arte,Brecha de investigación,pre-thesis/sections/source-snapshot/mainmatter/05-theoretical-framework.tex,247,252,63,4,"La Figura resume el corpus auditado en dos paneles. El primero sitúa hitos verificados por familia y periodo; el segundo cuenta las fuentes por los identificadores históricos SP0--SP8 y muestra el alcance declarado. Esos identificadores son etapas experimentales agrupadas hoy en SP1--SP3, no nueve subproblemas canónicos. Una fuente puede contar en varias filas y la figura no es una bibliometría exhaustiva.",1d9685b346bb3643d5f29e39a6a5439cd460aa291cbd0bd680812eb50c892405,alcance declarado Esos identificadores son etapas experimentales agrupadas hoy en SP1 SP3,2c6f03960c157680cf33b41aaca5921f7029f10b0206d4d60b3175e92714bb1f,True,"""alcance declarado Esos identificadores son etapas experimentales agrupadas hoy en SP1 SP3""",alcance declarado Esos identificadores son etapas experimentales agrupadas hoy en SP1 SP3,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:4:p001,Monografía: resultados E0--E1,Etapa 1.1: calibración homogénea uno-a-uno,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,4,4,45,3,"E0 contiene robots intercambiables y cargas unitarias. Cada carga recibe exactamente un robot, cada robot atiende a lo sumo una carga y la posición interviene únicamente en el coste. La pregunta experimental es cuánto difiere un equilibrio factible del coste mínimo obtenido por asignación clásica.",3b35cade89293218617f18d454f3bc01ced8367c22445f6b6de31934c11d39aa,pregunta experimental es cuánto difiere un equilibrio factible del coste mínimo obtenido,36d42321a755046af6528e93a9c1bac8810341df51efae738bc4695afde2bd55,True,"""pregunta experimental es cuánto difiere un equilibrio factible del coste mínimo obtenido""",pregunta experimental es cuánto difiere un equilibrio factible del coste mínimo obtenido,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:10:p003,Monografía: resultados E0--E1,Caso base,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,10,10,25,1,"En la Figura , cada arista codifica una asociación admisible y la arista azul identifica la decisión seleccionada; el robot restante representa la acción inactiva cuando .",c3d5666d49dee85e0845f8b9f0e38dbcf26cb8535b4f2854b253ba687adeb1b4,azul identifica la decisión seleccionada el robot restante representa la acción inactiva,347089f858f87f2031a6842a7c557da09b1dfe000aa23254541fd57cb2c1a41c,True,"""azul identifica la decisión seleccionada el robot restante representa la acción inactiva""",azul identifica la decisión seleccionada el robot restante representa la acción inactiva,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:51:p004,Monografía: resultados E0--E1,Caso base,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,51,51,21,1,"Sean las posiciones del robot y de la carga . Con una cota geométrica fijada antes de resolver, el coste adimensional es",ac665f6e8d39fd3426e3d6516362b81aa9eceefa296d0342ec0499ed30b73961,carga Con una cota geométrica fijada antes de resolver el coste adimensional,04820b11be8a14190e0210c0d4696edc188a87bef417593681bee92551f1bb6f,True,"""carga Con una cota geométrica fijada antes de resolver el coste adimensional""",carga Con una cota geométrica fijada antes de resolver el coste adimensional,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:85:p007,Monografía: resultados E0--E1,Formulación exacta y oráculo de asignación,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,85,85,23,2,"Como , garantiza y evita dividir por cero. La transformación multiplica la escala del bienestar y conserva el orden, el oráculo y los pagos.",d59ddd1d18bc34e6876b6e72a4c64fa3dc5ce49ce247e2eb0fdcccae6e73e788,Como garantiza y evita dividir por cero La transformación multiplica la escala,4fded4114d244a9f94e9b9f6fac54f1401e1b80e20f107ca81456eeb0f43fb57,True,"""Como garantiza y evita dividir por cero La transformación multiplica la escala""",Como garantiza y evita dividir por cero La transformación multiplica la escala,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:113:p010,Monografía: resultados E0--E1,Juego potencial y caracterización de los equilibrios,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,113,118,111,8,"[Factibilidad y selección en E0] Si y , entonces se cumplen cinco propiedades. (i) El juego es de potencial exacto. (ii) Sus Nash puros son exactamente las asignaciones factibles. (iii) Toda secuencia de mejoras estrictas es finita y todo camino maximal termina en un Nash. (iv) Los máximos globales del potencial coinciden con las soluciones de . (v) Un Nash cualquiera puede ser subóptimo. Como supera cualquier coste individual, cubrir un vacío o retirar un duplicado es una mejora estricta y excluye de Nash todo perfil con déficit o exceso. En el conjunto factible, maximizar el potencial equivale a minimizar el coste; una desviación unilateral, sin embargo, explora solo su vecindario local (Anexo ).",33fd607584fc227cd77e40e0934e0f56cbbd4bcd6bea3e672430ea0563a27ad3,cualquiera puede ser subóptimo Como supera cualquier coste individual cubrir un vacío,388b5e1b37fc05864c8f82fec15c75f8f216514d1733a9348290c16d1e4d1391,True,"""cualquiera puede ser subóptimo Como supera cualquier coste individual cubrir un vacío""",cualquiera puede ser subóptimo Como supera cualquier coste individual cubrir un vacío,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:218:p017,Monografía: resultados E0--E1,Caracterización formal.,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,218,218,25,2,"Las 21 enumeraciones confirmaron la Proposición . Para , una sola de las 120 asignaciones Nash fue óptima: el del conjunto de equilibrios dentro de 7776 perfiles.",045bdb999bca3f6bd18dacc4c5c1cb95baa9604c60debf9f2038e2044ef31cef,21 enumeraciones confirmaron la Proposición Para una sola de las 120 asignaciones,237c4ec0319cb439c6111e4b4726b819d155ba1b46191360e027aaff46291f8e,True,"""21 enumeraciones confirmaron la Proposición Para una sola de las 120 asignaciones""",21 enumeraciones confirmaron la Proposición Para una sola de las 120 asignaciones,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:220:p018,Monografía: resultados E0--E1,Caracterización formal.,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,220,220,42,2,"El conjunto de equilibrios crece factorialmente y su brecha frente al oráculo presenta una dispersión amplia. Los cinco métodos completos alcanzaron la misma factibilidad, por lo que esa medida se informa en el texto y la tabla conserva las cifras de selección.",2c6557260978f5719f5abf84bfb641359ce1756b8fdf357ff108e39b9b3e86b8,frente al oráculo presenta una dispersión amplia Los cinco métodos completos alcanzaron,065902f32b101b49b7655c8e771d17f1e35d99d15afa816659dc38f77f9f47a6,True,"""frente al oráculo presenta una dispersión amplia Los cinco métodos completos alcanzaron""",frente al oráculo presenta una dispersión amplia Los cinco métodos completos alcanzaron,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex:233:p019,Monografía: resultados E0--E1,Factibilidad y eficiencia.,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp0.tex,233,233,47,2,"El algoritmo húngaro, la subasta- , el método voraz, la mejor respuesta y la mejor respuesta con 2-intercambio fueron factibles en las 200 instancias, resultado coherente con la estructura del problema y, para mejor respuesta, con la proposición. La Tabla cuantifica la selección dentro del conjunto factible.",040914b7ce116645064ab3091598c044cf3687402145a205a5ca34c86f0aea93,respuesta con 2 intercambio fueron factibles en las 200 instancias resultado coherente,1656f579d9af769dbbe773c21bc482b41837ab2fda899d0ef1b64103367d209f,True,"""respuesta con 2 intercambio fueron factibles en las 200 instancias resultado coherente""",respuesta con 2 intercambio fueron factibles en las 200 instancias resultado coherente,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex:96:p006,Monografía: resultados E0--E1,Métodos de comparación,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex,96,96,41,4,"MILP-Q resuelve globalmente la selección y Greedy-Q la ordena de forma secuencial. Smith evoluciona las preferencias; QR usa su matriz completa para cerrar grupos exactos. Todos estos tratamientos consultan ocupación global. En la Tabla , son pasos Smith e cierres.",a83a475a65a77b44d14654e98f82358a49dc8ffb141da34b972e0c1c2a82a208,matriz completa para cerrar grupos exactos Todos estos tratamientos consultan ocupación global,363d6f750073dc9c32a9e8bde8b5641ce756cb6e18955eae9756a71abacf2073,True,"""matriz completa para cerrar grupos exactos Todos estos tratamientos consultan ocupación global""",matriz completa para cerrar grupos exactos Todos estos tratamientos consultan ocupación global,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex:124:p008,Monografía: resultados E0--E1,Juego de cardinalidad y mecanismo de cierre,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex,124,126,29,1,formulación de cuotas y caracterización de los equilibrios de E1 demostrado bajo demanda realizable y penalización dominante. Para cargas obligatorias se generalizan el déficit y el exceso de E0,096ac5f124c815a5c91fed883688c2cb07efef336c52b6dfcd38f82c87f239d2,demostrado bajo demanda realizable y penalización dominante Para cargas obligatorias se generalizan,3c07f65c3bf6e8cf7db40992a311909ae70dd63a1e9640137fc374e7e14f840c,True,"""demostrado bajo demanda realizable y penalización dominante Para cargas obligatorias se generalizan""",demostrado bajo demanda realizable y penalización dominante Para cargas obligatorias se generalizan,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex:148:p010,Monografía: resultados E0--E1,Juego de cardinalidad y mecanismo de cierre,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex,148,153,42,2,"Bajo escasez, deja de distinguir entre servicio disperso y concentración en cargas completas. límite formal del déficit lineal bajo escasez demostrado mediante identidad algebraica y contraejemplo mínimo. [Degeneración del déficit lineal] Si , todos los robots están activos y para toda carga, entonces",77fc74157eea49deb63108a52c3faff8e8908dcb9909739ccbe6ae00b9b77dd1,completas límite formal del déficit lineal bajo escasez demostrado mediante identidad algebraica,091e3624921cbd7ee681b86ae873b2c0e1272ef96969a0a9ba95ebf9a7e34daa,True,"""completas límite formal del déficit lineal bajo escasez demostrado mediante identidad algebraica""",completas límite formal del déficit lineal bajo escasez demostrado mediante identidad algebraica,ORIGINAL
pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex:284:p018,Monografía: resultados E0--E1,Resultados,pre-thesis/sections/source-snapshot/mainmatter/06-results-and-analysis/sp1.tex,284,284,71,4,"En los 720 mundos de escasez, Smith continuo dejó en promedio el de la flota en grupos parciales y solo el de sus salidas cumplió el cierre lógico. Smith-QR produjo ocupaciones cero o exactas en todos los mundos. La diferencia Smith-QR menos Smith continuo en fue puntos porcentuales (IC 95%: , ). Esta ablación aísla el operador QR; la convergencia de la preferencia continua hacia una asignación entera no se evaluó.",315575df8938376d77f46a902cb11b5c7063e528ee67f99748adca98571bc97a,salidas cumplió el cierre lógico Smith QR produjo ocupaciones cero o exactas,394a653dec2af23e4cb732f3aa5b81bbb59583196314c59574c34dae2b9f597a,True,"""salidas cumplió el cierre lógico Smith QR produjo ocupaciones cero o exactas""",salidas cumplió el cierre lógico Smith QR produjo ocupaciones cero o exactas,ORIGINAL
