exact_query,exact_result_count,exact_exact_in_snippet,exact_top_url,exact_top_title,exact_urls_first_five,unquoted_query,unquoted_result_count,longest_consecutive_query_words,unquoted_top_url,unquoted_top_title,unquoted_urls_first_five,verdict,rationale,checked_at_utc
"""insertan desde macros generadas y las pruebas completas remiten a los anexos""",7,false,https://www.boe.es/buscar/doc.php?id=BOE-A-2008-3100,"BOE-A-2008-3100 Real Decreto 107/2008, de 1 de febrero, por el que se complementa el catálogo nacional de cualificaciones profesionales, mediante el establecimiento de siete cualificaciones profesionales de la Familia profesional Administración y Gestión.",https://www.boe.es/buscar/doc.php?id=BOE-A-2008-3100 | https://vlex.es/vid/profesionalidad-repertorio-67197774 | https://www.boe.es/eli/es/o/2015/07/23/pre1636 | https://www.scribd.com/document/772971915/ADG310-3-Q-Documento-publicado | https://www.boe.es/buscar/doc.php?id=BOE-A-2011-9930,insertan desde macros generadas y las pruebas completas remiten a los anexos,18,3,https://dof.gob.mx/normasOficiales/5213/salud11_C/salud11_C.html,salud11_C,https://dof.gob.mx/normasOficiales/5213/salud11_C/salud11_C.html | https://www.boe.es/buscar/doc.php?id=BOE-A-2010-14199 | https://dof.gob.mx/normasOficiales/5109/salud3a11_C/salud3a11_C.html | https://www.boe.es/eli/es/rd/2023/07/04/572 | https://www.boe.es/buscar/doc.php?id=CE-D-2023-303,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 7 exact-query and 18 open-query results; open snippets shared at most 3 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:15Z
"""suponen compatibilidad unitaria y omiten restricciones independientes de soporte y balance energético""",4,false,https://www.congreso.es/en/busqueda-de-publicaciones?_publicaciones_id_texto=CGA201109060462.CODI.&_publicaciones_legislatura=IX&_publicaciones_mode=mostrarTextoIntegro&p_p_id=publicaciones&p_p_lifecycle=0&p_p_mode=view&p_p_state=normal,"BOCG. Sección Cortes Generales, serie A, núm. 462, de 06/09/2011 - Congreso de los Diputados",https://www.congreso.es/en/busqueda-de-publicaciones?_publicaciones_id_texto=CGA201109060462.CODI.&_publicaciones_legislatura=IX&_publicaciones_mode=mostrarTextoIntegro&p_p_id=publicaciones&p_p_lifecycle=0&p_p_mode=view&p_p_state=normal | https://djvu.online/file/efFHlrM0LSrnG | https://www.programadelfin.com.mx/web-delfin2020/recursos/memoriaverano2020/paginas/resumenes-est-r.htm | https://fliphtml5.com/zqesm/vjso/DS-Volumen_II_-_2024-25.1.0/,suponen compatibilidad unitaria y omiten restricciones independientes de soporte y balance energético,20,2,https://www.boe.es/buscar/doc.php?id=BOE-A-2024-11535,"BOE-A-2024-11535 Resolución de 25 de abril de 2024, de la Comisión Nacional de los Mercados y la Competencia, por la que se modifican las condiciones relativas al balance y los procedimientos de operación para la participación del sistema eléctrico peninsular español en las plataformas europeas de balance Mari y Picasso.",https://www.boe.es/buscar/doc.php?id=BOE-A-2024-11535 | https://www.boe.es/buscar/doc.php?id=BOE-A-2021-9171 | https://www.mdpi.com/2071-1050/18/12/5829 | https://www.boe.es/eli/es/res/2025/06/12/%281%29 | https://www.minenergia.gov.co/documents/4844/47894-res_40790_310718.pdf,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 4 exact-query and 20 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:17Z
"""Alineación marginal del servicio operacional En una región donde con y fijos""",4,false,https://esdocs.com/doc/1372723/rse---instituto-ethos,RSE - Instituto Ethos,https://esdocs.com/doc/1372723/rse---instituto-ethos | https://id.scribd.com/document/429495944/Geografia-y-denfensa-de-los-Recursos-Naturales-UMSS-pdf | https://www.meteomurcia.com/glosariometeorologia.htm | https://repositorio.unini.edu.mx/view/subjects/uneat%3D5Ffp.creators_name.html,Alineación marginal del servicio operacional En una región donde con y fijos,17,4,https://sidof.segob.gob.mx/notas/docFuente/5567576,"DISPOSICIONES administrativas de carácter general que establecen los Lineamientos de Seguridad Industrial, Seguridad Operativa y Protección al Medio Ambiente, para el expendio simultáneo de Petrolíferos y/o Gas Natural",https://sidof.segob.gob.mx/notas/docFuente/5567576 | https://repositorio.cepal.org/server/api/core/bitstreams/f6029915-45e1-4d24-803b-4e49c6e11fd2/content | https://repository.icesi.edu.co/server/api/core/bitstreams/d2517040-6540-4c99-b9b7-f17235736085/content | https://incie.org/latam/la-estructura-de-costos-como-fuente-de-ventaja-competitiva/ | https://vecfleet.io/glossary/base-operativa/,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 4 exact-query and 17 open-query results; open snippets shared at most 4 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:36Z
"""mantuvo fijas las posiciones la batería y Este contraste aísla la puntuación""",4,false,https://www.cervantesvirtual.com/obra-visor/diccionario-del-espanol-usual-en-mexico--0/html/39c5245d-124e-4a52-8213-d7722afefa55_9.html,Diccionario del español usual en México | Biblioteca Virtual Miguel de Cervantes,https://www.cervantesvirtual.com/obra-visor/diccionario-del-espanol-usual-en-mexico--0/html/39c5245d-124e-4a52-8213-d7722afefa55_9.html | https://normograma.mintic.gov.co/mintic/compilacion/docs/resolucion_minminas_40284_2026.htm | https://cancilleria.gov.co/normograma/compilacion/docs/resolucion_minminas_40117_2024.htm | https://www.notimx.mx/2022/07/timon-financiero-por-luis-gonzalez.html,mantuvo fijas las posiciones la batería y Este contraste aísla la puntuación,18,2,https://es.scribd.com/document/1060141125/Rubrica-de-Evaluacion-Juan-David,Rubrica de Evaluacion Juan David | PDF | Formas musicales | Ritmo y medidor,https://es.scribd.com/document/1060141125/Rubrica-de-Evaluacion-Juan-David | https://fstanding.com/release_notes_es.html | https://www.koachvolleyball.com/es/guias/comprobacion-de-rotaciones-prueba-tu-alineacion-antes-del-primer.html | https://beachsuper8.com/es/manual/como-leer-el-ranking/ | https://trueranker.com/es/comparador-seo-gratis/,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 4 exact-query and 18 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:39Z
"""escenarios las métricas auxiliares y la inferencia La ablación plano marginal reutiliza""",2,false,https://conceptos.dane.gov.co/conceptos/conceptos_catalogo,Sistema de conceptos | Sistema de consulta de Conceptos Estandarizados,https://conceptos.dane.gov.co/conceptos/conceptos_catalogo | https://juandomingofarnos.wordpress.com/tag/ia/,escenarios las métricas auxiliares y la inferencia La ablación plano marginal reutiliza,17,2,https://idus.us.es/server/api/core/bitstreams/fc465298-a862-4dd6-87a4-4417d02caec1/content,TeXiS: Una plantilla de LaTeX para Tesis y otros documentos,https://idus.us.es/server/api/core/bitstreams/fc465298-a862-4dd6-87a4-4417d02caec1/content | https://learn.microsoft.com/es-es/fabric/iq/plan/planning-how-to-set-up-scenarios | https://www.sciencedirect.com/science/article/pii/S1575181318300494 | https://learn.microsoft.com/es-es/dynamics365/project-operations/sales/quote-what-if-analysis | https://repositorio.utp.edu.co/bitstreams/c80256ad-6566-4449-92a9-7a7c0f6de8b6/download,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 2 exact-query and 17 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:41Z
"""propias el objetivo y los conflictos vecinales cada robot selecciona una acción""",7,false,https://pt.scribd.com/document/456796006/1DID-CTICA-DEL-TEATRO-I-1-docx,1did Ctica Del Teatro I | PDF | Plan de estudios | Educación Secundaria,https://pt.scribd.com/document/456796006/1DID-CTICA-DEL-TEATRO-I-1-docx | https://pt.scribd.com/document/779884591/espacio-publico-tesis-unlocked | https://pt.scribd.com/document/431083767/Guia-DE-DOCENTE-GRADO-9-pdf | https://pt.scribd.com/document/411283570/433-57-PB-pdf | https://doczz.net/doc/1392940/congr.-sespas-2009,propias el objetivo y los conflictos vecinales cada robot selecciona una acción,22,2,https://www.researchgate.net/publication/278079643_Toma_de_Decisiones_en_Robotica,(PDF) Toma de Decisiones en Robótica,https://www.researchgate.net/publication/278079643_Toma_de_Decisiones_en_Robotica | https://www.alphaxiv.org/es/abs/2606.03312 | https://webs.um.es/juanbot/miwiki/lib/exe/fetch.php?media=clase_sma5.pdf | https://www.researchgate.net/publication/333497998_Coordinacion_emergente_en_sistemas_multi-robots | https://rautomation.es/2025/09/08/algoritmos-coordinacion-y-planificacion-flotas-de-robots/,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 7 exact-query and 22 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:12:43Z
"""fallo dominante apareció antes del transporte la proyección CBF sin coordinación agotó""",4,false,https://fr.scribd.com/document/465869791/La-guerra-de-la-Independencia-PDFDrive-com-pdf,La Guerra de La Independencia PDF | PDF | Cirugía | Guerra peninsular,https://fr.scribd.com/document/465869791/La-guerra-de-la-Independencia-PDFDrive-com-pdf | https://ptdocz.com/doc/347021/septiembre-2014 | https://eblancooliva.wordpress.com/2017/11/ | https://esdocs.com/doc/1375738/lecturas-de-2-a-semana-de-julio-2015,fallo dominante apareció antes del transporte la proyección CBF sin coordinación agotó,10,2,https://transparencia.poderjudicial.gob.do/consultasSCJ/documentos/pdf/BoletinJudicialIndividual/132420009.pdf,"SENTENCIA DEL 24 DE MARZO DE 2021, NÚM. 9",https://transparencia.poderjudicial.gob.do/consultasSCJ/documentos/pdf/BoletinJudicialIndividual/132420009.pdf | https://www.osce.gob.pe/descarga/arbitraje/laudos/EXTERNO/2018/405-2018.pdf | https://sidn.ramajudicial.gov.co/SIDN/PUBLICACIONES%20PERIODICAS/TEXTO%20COMPLETO%20Y%20TABLAS%20DE%20CONTENIDO%20PP/GACETA%20JUDICIAL/GJ%20LXIX%20n.%C2%B0%202096-2102%20%281951-1952%29.pdf | https://dspace.ucacue.edu.ec/server/api/core/bitstreams/54bf2ca9-41d6-439d-9a35-c5b7a9e25e3c/content | https://culturadigital.udp.cl/dev/wp-content/uploads/2023/08/LN_1971_02_25.pdf,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 4 exact-query and 10 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:13:03Z
"""dada El simulador usa paso digital unitario horizonte 48 y actualización simultánea""",1,false,https://www.suseso.gob.cl/620/w3-propertyvalue-664158.html,SUSESO. Compendio Ley 18.833 - Numeral,https://www.suseso.gob.cl/620/w3-propertyvalue-664158.html,dada El simulador usa paso digital unitario horizonte 48 y actualización simultánea,13,2,https://simsee.org/simsee/simsee/ayuda/editor-manualdeusuario.htm,1,https://simsee.org/simsee/simsee/ayuda/editor-manualdeusuario.htm | https://espanol.libretexts.org/Matematicas/Computacion_Cientifica_Simulaciones_y_Modelado/Libro%3A_Introducci%C3%B3n_al_Modelado_y_An%C3%A1lisis_de_Sistemas_Complejos_%28Sayama%29/04%3A_Modelos_de_Tiempo_Discreto_I_-_Modelado/404%3A_Simulaci%C3%B3n_de_modelos_de_tiempo_discreto_con_m%C3%BAltiples_variables | https://simsee.org/simsee/simsee/ayuda/editor-variablesglobales.htm | https://simsee.org/simsee/simsee/ayuda/editor-optsim.htm | https://www.imventa.com/ayuda/tekton3d/TK-CDT/DatosSeleccionarEquipo.htm,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 1 exact-query and 13 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:13:06Z
"""los pasillos se completó las demás ejecuciones quedaron bloqueadas pese a mantener""",8,false,https://fr.scribd.com/document/465869791/La-guerra-de-la-Independencia-PDFDrive-com-pdf,La Guerra de La Independencia PDF | PDF | Cirugía | Guerra peninsular,https://fr.scribd.com/document/465869791/La-guerra-de-la-Independencia-PDFDrive-com-pdf | https://www.alamos.com.mx/noticiasAnteriores | https://www.scribd.com/document/511452978/80-Anos-La-Prensa-Memoria-de-ocho-decadas | https://www.agsm-aen.org/siso.php?id=10 | https://elquiciodelamancebia.wordpress.com/category/firmas/arcadi-espada/page/11/,los pasillos se completó las demás ejecuciones quedaron bloqueadas pese a mantener,15,2,https://sidof.segob.gob.mx/notas/docFuente/5742347,"ACUERDO General de Administración número VII/2024, del Comité de Gobierno y Administración de la Suprema Corte de Justicia de la Nación, de treinta de septiembre de dos mil veinticuatro, por el que se regulan los procedimientos para la adquisición, arren",https://sidof.segob.gob.mx/notas/docFuente/5742347 | https://weeklysafety.s3.amazonaws.com/1P/V6-0610-SP-Blocked-Aisleways.pdf | https://stjjalisco.gob.mx/protocolo-de-directrices-para-reanudar-funciones | https://www.centrodememoriahistorica.gov.co/descargas/28-anos-palacio-justicia/comision-verdad-palacio-justicia.pdf | https://cronica.diputados.gob.mx/Estenografia/LIX/2do/2or2/abr/070405.html,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 8 exact-query and 15 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:13:08Z
"""lógica autoriza una celda no prescribe una trayectoria continua La interfaz infla""",0,false,,,,lógica autoriza una celda no prescribe una trayectoria continua La interfaz infla,17,2,https://help.autodesk.com/cloudhelp/2026/ESP/Inventor-iLogic/files/GUID-E897A20C-3859-435A-AA5F-8B6D5921FFAE.htm,Referencia de las funciones de vínculos de datos de Excel (iLogic),https://help.autodesk.com/cloudhelp/2026/ESP/Inventor-iLogic/files/GUID-E897A20C-3859-435A-AA5F-8B6D5921FFAE.htm | https://docs.tia.siemens.cloud/r/es-es/v21/declaracion-de-la-interfaz-del-bloque/declaracion-de-la-interfaz-de-bloque/edicion-de-la-tabla-de-la-interfaz-de-bloque/rellenar-celdas-consecutivas-automaticamente?contentId=TlqDF60z3by0hRVuJogbBA | https://support.apple.com/es-es/guide/logicpro-ipad/lpipd9859eae/ipados | https://help.libreoffice.org/latest/es/text/scalc/01/04060105.html | https://plataformaeducativauds.com.mx/assets/docs/libro/LAE/690634e45d2673d53d78fca2fcf3ea8f-LC-LAE502%20PROCESAMIENTO%20DE%20INFORMACION%20CON%20HOJA%20DE%20CALCULO.pdf,ORIGINAL,"No normalized exact-phrase match in returned snippets; the search backend exposed 0 exact-query and 17 open-query results; open snippets shared at most 2 consecutive query words. Counts are visible results, not global-index totals.",2026-09-09T05:13:10Z
