candidate_id,title,priority_tier,review_targets_routing_only,fulltext_local_path,file_format,v3_text_adequacy,page_count,extracted_word_count,section_markers,file_sha256_matches_queue,close_reading_eligibility,audit_note
CC4288675177D,On coalition formation: a game-theoretical approach,P0,SP1,data\fulltext\CC4288675177D\fulltext.html,html,landing_or_abstract_like_html,1,1256,abstract;introduction;methods;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C1758BD935FD5,Market-Based Multi-robot Coalition Formation,P0,SP1,data\fulltext\C1758BD935FD5\fulltext.html,html,landing_or_abstract_like_html,1,1252,methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C82AC458AF2EC,A kinematically compatible framework for cooperative payload transport by nonholonomic mobile manipulators,P0,SP2,data\fulltext\C82AC458AF2EC\fulltext.html,html,landing_or_abstract_like_html,1,1847,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C0D1915A815A8,Coalition formation: From software agents to robots,P0,SP1,data\fulltext\C0D1915A815A8\fulltext.html,html,landing_or_abstract_like_html,1,2522,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CFE80E994AC44,Coalition formation with spatial and temporal constraints,P0,SP1,data\fulltext\CFE80E994AC44\fulltext.pdf,pdf,substantive_pdf_text,9,9731,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C67294B9034BB,Algorithms for collision-free navigation of mobile robots in complex cluttered environments: a survey,P0,SP3,data\fulltext\C67294B9034BB\fulltext.pdf,pdf,substantive_pdf_text,36,26923,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CDE493C0614DB,Cooperative Mobile Robot Control Architecture for Lifting and Transportation of Any Shape Payload,P0,SP2,data\fulltext\CDE493C0614DB\fulltext.html,html,landing_or_abstract_like_html,1,2189,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C0BBF943B50C0,Multi-Robot Coalitions Formation with Deadlines: Complexity Analysis and Solutions,P0,SP1,data\fulltext\C0BBF943B50C0\fulltext.html,html,substantive_html_text,1,12509,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C0C4C382651EF,Hybrid mission planning with coalition formation,P0,SP1,data\fulltext\C0C4C382651EF\fulltext.html,html,landing_or_abstract_like_html,1,2399,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C6A651050B3DA,A survey on multi-robot coverage path planning for model reconstruction and mapping,P0,SP3,data\fulltext\C6A651050B3DA\fulltext.pdf,pdf,substantive_pdf_text,25,16419,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C06C41AFDC1F1,Anytime and Efficient Coalition Formation with Spatial and Temporal Constraints,P0,SP1,data\fulltext\C06C41AFDC1F1\fulltext.pdf,pdf,substantive_pdf_text,19,7493,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C736083E37BA7,Multi-Robot Coalition Formation and Task Allocation Using Immigrant Based Adaptive Genetic Algorithms,P0,SP1,data\fulltext\C736083E37BA7\fulltext.html,html,landing_or_abstract_like_html,1,2179,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CDA494F606429,Decentralized Control of Multi-Robot System in Cooperative Object Transportation Using Deep Reinforcement Learning,P0,SP2,data\fulltext\CDA494F606429\fulltext.pdf,pdf,substantive_pdf_text,12,7954,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C5543C6C3DDAB,TWINBOT: Autonomous Underwater Cooperative Transportation,P0,SP2,data\fulltext\C5543C6C3DDAB\fulltext.pdf,pdf,substantive_pdf_text,18,10533,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CCA212E5CE079,Shared Control of an Aerial Cooperative Transportation System with a Cable-suspended Payload,P0,SP2,data\fulltext\CCA212E5CE079\fulltext.pdf,pdf,substantive_pdf_text,30,19213,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C1E34C4925F5C,Optimization techniques for Multi-Robot Task Allocation problems: Review on the state-of-the-art,P0,SP1,data\fulltext\C1E34C4925F5C\fulltext.pdf,pdf,substantive_pdf_text,45,13006,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C218751C31FB1,A Review of Task Allocation Methods for UAVs,P0,SP1,data\fulltext\C218751C31FB1\fulltext.pdf,pdf,substantive_pdf_text,25,18386,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C3A88EABFDA15,Task Allocation of Multi-robot Coalition Formation,P0,SP1,data\fulltext\C3A88EABFDA15\fulltext.html,html,landing_or_abstract_like_html,1,1628,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C33BF4E882CB2,Review of Autonomous Mobile Robots for the Warehouse Environment,P0,SP3,data\fulltext\C33BF4E882CB2\fulltext.pdf,pdf,substantive_pdf_text,26,9063,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CCF0155D630D6,Matching-based Coalition Formation for Multi-robot Task Assignment Under Partial Uncertainty,P0,SP1,data\fulltext\CCF0155D630D6\fulltext.pdf,pdf,substantive_pdf_text,8,4676,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C824C187693EF,Mobile robot replacement in multi-robot fault-tolerant formation,P0,SP2;SP3;TRANSVERSAL,data\fulltext\C824C187693EF\fulltext.pdf,pdf,substantive_pdf_text,10,4639,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CA5A4BBA9A8CC,Cooperative transportation of an object with a nonholonomic constraint by a swarm robot,P0,SP2,data\fulltext\CA5A4BBA9A8CC\fulltext.pdf,pdf,substantive_pdf_text,17,9759,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C0B48E7239D93,A Survey of Hybrid Energy-Aware and Decentralized Game-Theoretic Approaches in Intelligent Multi-Robot Task Allocation,P0,SP1,data\fulltext\C0B48E7239D93\fulltext.pdf,pdf,substantive_pdf_text,42,19496,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C1B0A43A71755,Real-time decentralized model predictive control for cooperative multi-robot object transport: experimental validation,P0,SP2,data\fulltext\C1B0A43A71755\fulltext.pdf,pdf,substantive_pdf_text,16,6515,methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C8195CBC30FE2,Cooperative Object Transport and Assembly: Pose/Force Control by Visual-Tactile Feedback,P0,SP2,data\fulltext\C8195CBC30FE2\fulltext.pdf,pdf,substantive_pdf_text,9,7310,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C8B65A4E02530,Multi-agent task and motion planning trends analysis: a survey,P0,SP3,data\fulltext\C8B65A4E02530\fulltext.html,html,substantive_html_text,1,22515,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CB157C72BD65E,A Distributed Task Allocation Algorithm for a Multi-Robot System in Healthcare Facilities,P0,SP1;TRANSVERSAL,data\fulltext\CB157C72BD65E\fulltext.html,html,landing_or_abstract_like_html,1,2647,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C8620A2DF94BF,"Multi-Robot Coordination Analysis, Taxonomy, Challenges and Future Scope",P0,CONTEXT,data\fulltext\C8620A2DF94BF\fulltext.html,html,landing_or_abstract_like_html,1,9811,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C99B0FE12F5D6,A Critical Review of Communications in Multi-robot Systems,P0,TRANSVERSAL,data\fulltext\C99B0FE12F5D6\fulltext.pdf,pdf,substantive_pdf_text,14,10919,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CF0BC51D9FA65,Cooperative Transportation Without Prior Object Knowledge via Adaptive Self-Allocation and Coordination,P0,SP2,data\fulltext\CF0BC51D9FA65\fulltext.pdf,pdf,substantive_pdf_text,6,3978,abstract;introduction;methods;results;conclusion,true,eligible,Automated text-access classification; it does not verify scientific content.
CDB9673C44BEB,Integrated Task Assignment and Path Planning for Capacitated Multi-Agent Pickup and Delivery,P0,SP1;SP3,data\fulltext\CDB9673C44BEB\fulltext.pdf,pdf,substantive_pdf_text,9,7820,abstract;methods;results,true,eligible,Automated text-access classification; it does not verify scientific content.
CCA2ADF99C1E5,Intelligent Task Allocation and Path Planning for Warehouse Robots in Smart Logistics Systems,P0,SP1;SP3,data\fulltext\CCA2ADF99C1E5\fulltext.html,html,substantive_html_text,1,5917,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CCE323687A942,Integrating collision avoidance strategies into multi-robot task allocation for inspection,P0,SP1;SP3,data\fulltext\CCE323687A942\fulltext.pdf,pdf,substantive_pdf_text,24,8868,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C4C868FAE3C37,First Results in the Coordination of Heterogeneous Robots for Large-Scale Assembly,P0,SP1,data\fulltext\C4C868FAE3C37\fulltext.html,html,landing_or_abstract_like_html,1,1302,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CDB1B854E2C33,A distributed approach for road clearance with multi-robot in urban search and rescue environment,P0,SP1,data\fulltext\CDB1B854E2C33\fulltext.html,html,landing_or_abstract_like_html,1,1500,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CD9E8C3865AB6,Spatially-Distributed Missions With Heterogeneous Multi-Robot Teams,P0,SP1,data\fulltext\CD9E8C3865AB6\fulltext.pdf,pdf,substantive_pdf_text,23,20571,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C85B7DCD76961,Hmr-odta: online diverse task allocation for a team of heterogeneous mobile robots,P0,SP1,data\fulltext\C85B7DCD76961\fulltext.html,html,landing_or_abstract_like_html,1,2878,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CD92DBDF98A9F,Agentic Task Allocation for Heterogeneous Multi-Robot Systems: A Hybrid LLM and Local Search Approach,P0,SP1,data\fulltext\CD92DBDF98A9F\fulltext.pdf,pdf,substantive_pdf_text,27,7442,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CE9B1CE0A649D,A Survey and Analysis of Multi-Robot Coordination,P0,CONTEXT,data\fulltext\CE9B1CE0A649D\fulltext.pdf,pdf,substantive_pdf_text,20,13926,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C0F5EDEA76780,Communication constrained task allocation with optimized local task swaps,P0,SP1;TRANSVERSAL,data\fulltext\C0F5EDEA76780\fulltext.html,html,landing_or_abstract_like_html,1,1912,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C8EDDE47087D8,Evolutionary Dynamics of Multi-Agent Learning: A Survey,P0,CONTEXT,data\fulltext\C8EDDE47087D8\fulltext.pdf,pdf,substantive_pdf_text,40,17370,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C4685940BA779,A Survey and Analysis of Cooperative Multi-Agent Robot Systems: Challenges and Directions,P0,CONTEXT,data\fulltext\C4685940BA779\fulltext.pdf,pdf,substantive_pdf_text,23,9834,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C7E4DA4D189C7,Consensus in multi-agent systems: a review,P0,CONTEXT,data\fulltext\C7E4DA4D189C7\fulltext.html,html,landing_or_abstract_like_html,1,5420,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CF38547686B7B,Planning and control of autonomous mobile robots for intralogistics: Literature review and research agenda,P0,CONTEXT,data\fulltext\CF38547686B7B\fulltext.pdf,pdf,substantive_pdf_text,24,20949,introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CFB1F720BC3ED,Multi-Agent Deep Reinforcement Learning for Multi-Robot Applications: A Survey,P0,CONTEXT,data\fulltext\CFB1F720BC3ED\fulltext.html,html,substantive_html_text,1,25127,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CB8947113B467,Scalable Task Allocation with Communications Connectivity for Flying Ad-Hoc Networks,P0,SP1;TRANSVERSAL,data\fulltext\CB8947113B467\fulltext.pdf,pdf,substantive_pdf_text,34,21475,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C1C509F0E014E,A Review of Multi-Robot Systems and Soft Robotics: Challenges and Opportunities,P0,CONTEXT,data\fulltext\C1C509F0E014E\fulltext.html,html,substantive_html_text,1,14421,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CE3EC521638F5,Multi-agent reinforcement learning for resources allocation optimization: a survey,P0,CONTEXT,data\fulltext\CE3EC521638F5\fulltext.pdf,pdf,substantive_pdf_text,50,23859,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C4C88A990F69D,Collaboration in Multi-Robot Systems: Taxonomy and Survey over Frameworks for Collaboration,P0,CONTEXT,data\fulltext\C4C88A990F69D\fulltext.pdf,pdf,substantive_pdf_text,20,11542,abstract;introduction;methods;results;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CDE40EBBE4028,"1P2-S-030 Designing An Algorithm for Testing Object Caging Condition by Multiple Mobile Robots(Cooperation Control of Multi Robot,Mega-Integration in Robotics and Mechatronics to Assist Our Daily Lives)",P1,SP2,data\fulltext\CDE40EBBE4028\fulltext.pdf,pdf,pdf_text_limited,2,710,,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CCAC3AD55A124,A Stochastic Clustering Auction (SCA) for Centralized and Distributed Task Allocation in Multi-agent Teams,P1,SP1,data\fulltext\CCAC3AD55A124\fulltext.html,html,landing_or_abstract_like_html,1,1285,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CDEDC925F7B23,A Multi-Robots Task Allocation Algorithm Based on Relevance and Ability With Group Collaboration,P1,SP1,data\fulltext\CDEDC925F7B23\fulltext.pdf,pdf,substantive_pdf_text,10,4805,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C1126D8BDFA82,Multi-Level Partitioning and Distribution of the Assignment Problem for Large-Scale Multi-Robot Task Allocation,P1,SP1,data\fulltext\C1126D8BDFA82\fulltext.pdf,pdf,substantive_pdf_text,9,7031,abstract;introduction;methods;results;conclusion,true,eligible,Automated text-access classification; it does not verify scientific content.
C5815590C5876,Complex Task Allocation in Mobile Surveillance Systems,P1,SP1,data\fulltext\C5815590C5876\fulltext.html,html,landing_or_abstract_like_html,1,1899,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CF7091D0684FA,Auction and Swarm Multi-Robot Task Allocation Algorithms in Real Time Scenarios,P1,SP1,data\fulltext\CF7091D0684FA\fulltext.pdf,pdf,substantive_pdf_text,23,9073,introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C27DC86468A4C,Considering inter-task resource constraints in task allocation,P1,SP1,data\fulltext\C27DC86468A4C\fulltext.html,html,landing_or_abstract_like_html,1,1403,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CC1EB762AED1B,Self-organized task allocation to sequentially interdependent tasks in swarm robotics,P1,SP1,data\fulltext\CC1EB762AED1B\fulltext.html,html,landing_or_abstract_like_html,1,2258,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C447A01FD2DFC,"Multi-robot, dynamic task allocation: a case study",P1,SP1,data\fulltext\C447A01FD2DFC\fulltext.html,html,landing_or_abstract_like_html,1,2280,abstract;introduction;methods;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C60F209AB33AE,Optimal Market-based Multi-Robot Task Allocation via Strategic Pricing,P1,SP1,data\fulltext\C60F209AB33AE\fulltext.pdf,pdf,substantive_pdf_text,9,7085,abstract;introduction;methods;results,true,eligible,Automated text-access classification; it does not verify scientific content.
CAF055762992C,Game theory-based negotiation for multiple robots task allocation,P1,SP1,data\fulltext\CAF055762992C\fulltext.html,html,substantive_html_text,1,3739,introduction;methods;results;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CA9E1827F37CB,Resource Welfare Based Task Allocation for UAV Team with Resource Constraints,P1,SP1,data\fulltext\CA9E1827F37CB\fulltext.html,html,landing_or_abstract_like_html,1,1738,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CD726A62FBF03,Modeling multi-robot task allocation with limited information as global game,P1,SP1,data\fulltext\CD726A62FBF03\fulltext.html,html,landing_or_abstract_like_html,1,2308,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C6345B12E1FA4,Gini coefficient-based task allocation for multi-robot systems with limited energy resources,P1,SP1,data\fulltext\C6345B12E1FA4\fulltext.pdf,pdf,substantive_pdf_text,15,9990,abstract;introduction;methods;results;conclusion,true,eligible,Automated text-access classification; it does not verify scientific content.
C94C775C34266,Mechanism Selection for Multi-Robot Task Allocation,P1,SP1,data\fulltext\C94C775C34266\fulltext.pdf,pdf,substantive_pdf_text,16,5717,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C06E2613B31FC,Cooperative Learning-Agents for Task Allocation Problem,P1,SP1,data\fulltext\C06E2613B31FC\fulltext.html,html,landing_or_abstract_like_html,1,1778,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C8EE8FED1A218,FA-SETPOWER-MRTA: A Solution for Solving the Multi-Robot Task Allocation Problem,P1,SP1,data\fulltext\C8EE8FED1A218\fulltext.html,html,substantive_html_text,1,5087,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CEE02184AAFCA,Modelling Resource Contention in Multi-Robot Task Allocation Problems with Uncertain Timing,P1,SP1,data\fulltext\CEE02184AAFCA\fulltext.pdf,pdf,substantive_pdf_text,10,6924,abstract;methods;results;conclusion,true,eligible,Automated text-access classification; it does not verify scientific content.
C0791FC8CEF85,Multi-Robot Dynamic Task Allocation for Exploration and Destruction,P1,SP1,data\fulltext\C0791FC8CEF85\fulltext.html,html,landing_or_abstract_like_html,1,2284,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C0C34B3D7DD20,Towards a Distributed Solution to the Multi-Robot Task Allocation Problem with Energetic and Spatiotemporal Constraints,P1,SP1,data\fulltext\C0C34B3D7DD20\fulltext.pdf,pdf,substantive_pdf_text,23,8287,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C75100123439A,Multi-Robot Cooperative Task Allocation With Definite Path-Conflict-Free Handling,P1,SP1,data\fulltext\C75100123439A\fulltext.pdf,pdf,substantive_pdf_text,18,9604,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CBE18E767463B,FA–QABC–MRTA: a solution for solving the multi-robot task allocation problem,P1,SP1,data\fulltext\CBE18E767463B\fulltext.html,html,landing_or_abstract_like_html,1,2137,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C20FBE73D7292,A Distributed Approach to the Multi-Robot Task Allocation Problem Using the Consensus-Based Bundle Algorithm and Ant Colony System,P1,SP1,data\fulltext\C20FBE73D7292\fulltext.pdf,pdf,substantive_pdf_text,17,11834,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C61F3AAF823A5,Multi-Robot Task Allocation and Scheduling Considering Cooperative Tasks and Precedence Constraints,P1,SP1,data\fulltext\C61F3AAF823A5\fulltext.pdf,pdf,substantive_pdf_text,9,6659,abstract;methods;results;conclusion,true,eligible,Automated text-access classification; it does not verify scientific content.
C6F55B57AF2A5,Adaptable and stable decentralized task allocation for hierarchical domains,P1,SP1,data\fulltext\C6F55B57AF2A5\fulltext.html,html,substantive_html_text,1,3863,abstract;methods;results;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C981388000750,A Distributed Solution to the Multi-robot Task Allocation Problem Using Ant Colony Optimization and Bat Algorithm,P1,SP1,data\fulltext\C981388000750\fulltext.html,html,landing_or_abstract_like_html,1,2187,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C21A5C922AE39,Multi-robot task allocation problem with multiple nonlinear criteria using branch and bound and genetic algorithms,P1,SP1,data\fulltext\C21A5C922AE39\fulltext.pdf,pdf,substantive_pdf_text,22,13808,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C28EC3CC8F136,Towards addressing dynamic multi-agent task allocation in law enforcement,P1,SP1,data\fulltext\C28EC3CC8F136\fulltext.html,html,landing_or_abstract_like_html,1,2204,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CA4777EE8A8EC,A Sequential Task Addition Distributed Assignment Algorithm for Multi-Robot Systems,P1,SP1,data\fulltext\CA4777EE8A8EC\fulltext.html,html,landing_or_abstract_like_html,1,2174,abstract;introduction;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CF7C60AFD9DE7,Decentral task allocation for industrial AGV-systems with routing constraints,P1,SP1,data\fulltext\CF7C60AFD9DE7\fulltext.pdf,pdf,substantive_pdf_text,16,8036,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
CFE5E78F10510,Multi-robot exploration in task allocation problem,P1,SP1,data\fulltext\CFE5E78F10510\fulltext.html,html,landing_or_abstract_like_html,1,3124,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
C002240066FFE,Multi-agent task allocation for harvest management,P1,SP1,data\fulltext\C002240066FFE\fulltext.pdf,pdf,substantive_pdf_text,24,15263,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C1FED6B0DC6B4,Task Allocation Using a Team of Robots,P1,SP1,data\fulltext\C1FED6B0DC6B4\fulltext.pdf,pdf,substantive_pdf_text,13,9754,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C9AA83B059A9C,Multi-Agent Task Allocation Techniques for Harvest Team Formation,P1,SP1,data\fulltext\C9AA83B059A9C\fulltext.html,html,landing_or_abstract_like_html,1,2286,abstract;methods;results;conclusion;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
CA474E92DBDF5,Cooperative Task Allocation for Multi-Robot Systems Based on Multi-Objective Ant Colony System,P1,SP1,data\fulltext\CA474E92DBDF5\fulltext.pdf,pdf,substantive_pdf_text,14,10523,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C58FD63E3F184,A Centralized Task Allocation Algorithm for a Multi-Robot Inspection Mission With Sensing Specifications,P1,SP1,data\fulltext\C58FD63E3F184\fulltext.pdf,pdf,substantive_pdf_text,17,11426,abstract;introduction;methods;results;conclusion;references,true,eligible,Automated text-access classification; it does not verify scientific content.
C403140BFDF12,The crowd cooperation approach for formation maintenance and collision avoidance using multi-agent deep reinforcement learning,P1,SP3,data\fulltext\C403140BFDF12\fulltext.html,html,landing_or_abstract_like_html,1,2338,abstract;methods;results;references,true,requires_alternative_or_manual_inspection,Automated text-access classification; it does not verify scientific content.
