candidate_id,title,authors,year,venue,doi,document_type,provenance,provenance_sources,provenance_queries,screening_decision,fulltext_status,fulltext_identity_status,evidence_status,wos_ut,seed_role,v3_screening_status,v3_allowed_use
CFCBF75C881CC,Cooperative Transportation of Aload Using Nonholonomic Mobile Robots,Chia Choon Loh; Ansgar Traechtler,2012,Procedia Engineering,10.1016/j.proeng.2012.07.255,journal-article,legacy_review;crossref,legacy_review;crossref,legacy_seed;legacy_seed_verify,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CBA3E285FA233,Multi-robot coalition formation in real-time scenarios,José Guerrero; Gabriel Oliver,2012,Robotics and Autonomous Systems,10.1016/j.robot.2012.06.004,journal-article,crossref;wos,crossref;wos:F01_primary_wos_plaintext_full_record_cited_references.txt,Q1_coalition_transport;F01_primary,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000309432800007,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C5C420FD9D877,Multi-robot Task Allocation Based on Ant Colony Algorithm,"Wang, Jian-Ping; Gu, Yuesheng; Li, Xiao-Min",2012,JOURNAL OF COMPUTERS,10.4304/jcp.7.9.2160-2167,Article,wos;openalex_snowball,wos:F01_primary_wos_plaintext_full_record_cited_references.txt;openalex_snowball,F01_primary;SB_B_C85B2ACA511C4;SB_B_C20FBE73D7292;SB_B_C1E34C4925F5C,include_fulltext,unavailable_legally,not_applicable,not_evidence,WOS:000218131800010,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C9012EE4E8508,MuRoCo: A Framework for Capability- and Situation-Aware Coalition Formation in Cooperative Multi-Robot Systems,"Rohrmueller, Florian; Wollherr, Dirk; Buss, Martin",2012,JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS,10.1007/s10846-012-9654-0,Article,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000307716700011,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C8BD69634C50C,Market-based Approach to Multi-robot Task Allocation,"Hussein, Ahmed; Khamis, Alaa",2013,2013 INTERNATIONAL CONFERENCE ON INDIVIDUAL AND COLLECTIVE BEHAVIORS IN ROBOTICS (ICBR),10.1109/icbr.2013.6729278,Proceedings Paper,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000335323000012,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C447A01FD2DFC,"Multi-robot, dynamic task allocation: a case study","Keshmiri, Soheil; Payandeh, Shahram",2013,INTELLIGENT SERVICE ROBOTICS,10.1007/s11370-013-0130-x,Article,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,acquired_html,identity_verified_doi,not_evidence,WOS:000336849500002,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CE38FD761C3AF,Technical program,,2013,,10.1109/cdc.2013.6759846,conference-paper,openalex,openalex,Q2_sharedload_distributed,exclude,,,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C6F1BB9317074,A Simultaneous Descending Auction for Task Allocation,"Service, Travis C.; Sen, Sayan D.; Adams, Julie A.",2014,"2014 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN AND CYBERNETICS (SMC)",10.1109/smc.2014.6973937,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000370963700064,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C2C016B0608CA,AUTONOMOUS AND COOPERATIVE MULTI-ROBOT SYSTEM FOR MULTI-OBJECT TRANSPORTATION,"Maghsoud, Pegah; de Silva, Clarence W.; Khan, Muhammad Tahir",2014,2014 PROCEEDINGS OF THE 9TH INTERNATIONAL CONFERENCE ON COMPUTER SCIENCE & EDUCATION (ICCSE 2014),10.1109/iccse.2014.6926456,Proceedings Paper,wos,wos:F02_primary_wos_plaintext_full_record_cited_references.txt,F02_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000366610600037,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
C7A244E16373D,Decentralized Cooperative Localization for Heterogeneous Multi-robot System Using Split Covariance Intersection Filter,Thumeera R. Wanasinghe; George K.I. Mann; Raymond G. Gosine,2014,2014 Canadian Conference on Computer and Robot Vision,10.1109/crv.2014.30,proceedings-article,crossref,crossref,Q5_heterogeneous_local,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CB3742FD72346,Multi-Robot Coalition Formation Based on Credit Mechanism,"Zhong, Chaoliang; Yang, Fan; Liu, Fei; Zhang, Botao; Lu, Qiang; Liu, Shirong",2014,IECON 2014 - 40TH ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY,10.1109/iecon.2014.7049046,Proceedings Paper,wos,wos:F01_primary_wos_plaintext_full_record_cited_references.txt,F01_primary,include_fulltext,abstract_only,not_applicable,not_evidence,WOS:000389471603075,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
CE4485592FADC,Robust cooperative control reconfiguration/recovery in multi-agent systems,Zahra Gallehdari; Nader Meskin; Khashayar Khorasani,2014,2014 European Control Conference (ECC),10.1109/ecc.2014.6862482,proceedings-article,crossref,crossref,Q7_counterexample_full_conjunction,include_fulltext,unavailable_legally,not_applicable,not_evidence,,exploratory_prior_campaign,not_screened,discovery_only_until_v3_review
