candidate_id,title,doi,source_basis,deep_reading_status,fulltext_local_path,evidence_strength,author_verification_required
C5543C6C3DDAB,TWINBOT: Autonomous Underwater Cooperative Transportation,10.1109/access.2021.3063669,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C5543C6C3DDAB\fulltext.pdf,fulltext_verified,yes
C57D2CD295BB2,Anytime and Efficient Multi-agent Coordination for Disaster Response,10.1007/s42979-021-00523-w,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C57D2CD295BB2\fulltext.pdf,fulltext_verified,yes
C5815590C5876,Complex Task Allocation in Mobile Surveillance Systems,10.1007/s10846-010-9536-2,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C5815590C5876\fulltext.html,fulltext_verified,yes
C58FD63E3F184,A Centralized Task Allocation Algorithm for a Multi-Robot Inspection Mission With Sensing Specifications,10.1109/access.2023.3315130,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C58FD63E3F184\fulltext.pdf,fulltext_verified,yes
C60F209AB33AE,Optimal Market-based Multi-Robot Task Allocation via Strategic Pricing,10.15607/rss.2013.ix.033,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C60F209AB33AE\fulltext.pdf,fulltext_verified,yes
C61F3AAF823A5,Multi-Robot Task Allocation and Scheduling Considering Cooperative Tasks and Precedence Constraints,10.1109/smc42975.2020.9283215,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C61F3AAF823A5\fulltext.pdf,fulltext_verified,yes
C6345B12E1FA4,Gini coefficient-based task allocation for multi-robot systems with limited energy resources,10.1109/jas.2017.7510385,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C6345B12E1FA4\fulltext.pdf,fulltext_verified,yes
C6F55B57AF2A5,Adaptable and stable decentralized task allocation for hierarchical domains,10.1017/s0269888920000235,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C6F55B57AF2A5\fulltext.html,fulltext_verified,yes
C740E1AD4CDC9,A distributed PI-based dynamic task allocation method for multi-AUV systems,10.1007/s00500-025-10894-4,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C740E1AD4CDC9\fulltext.html,fulltext_verified,yes
C7509B64A17CE,A novel marine predator algorithm for robot task allocation problem,10.1017/s0263574726103531,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C7509B64A17CE\fulltext.html,fulltext_verified,yes
C75100123439A,Multi-Robot Cooperative Task Allocation With Definite Path-Conflict-Free Handling,10.1109/access.2019.2942966,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C75100123439A\fulltext.pdf,fulltext_verified,yes
C7748341199FB,Tracking Targets Using Multiple Robots: The Effect of Environment Occlusion,10.1023/a:1020598107671,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C7748341199FB\fulltext.html,fulltext_verified,yes
C77E288E389DF,Layered Control for Cooperative Locomotion of Two Quadrupedal Robots: Centralized and Distributed Approaches,10.1109/tro.2023.3319896,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C77E288E389DF\fulltext.pdf,fulltext_verified,yes
C7A2B089F623A,Arachne system: an accessible miniaturized mobile Multi-robot platform,10.1017/s0263574725101884,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C7A2B089F623A\fulltext.html,fulltext_verified,yes
C8195CBC30FE2,Cooperative Object Transport and Assembly: Pose/Force Control by Visual-Tactile Feedback,10.1109/lra.2026.3665445,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C8195CBC30FE2\fulltext.pdf,fulltext_verified,yes
C824C187693EF,Mobile robot replacement in multi-robot fault-tolerant formation,10.11591/ijra.v14i4.pp463-471,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C824C187693EF\fulltext.pdf,fulltext_verified,yes
C82AC458AF2EC,A kinematically compatible framework for cooperative payload transport by nonholonomic mobile manipulators,10.1007/s10514-005-9717-9,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C82AC458AF2EC\fulltext.html,fulltext_verified,yes
C8620A2DF94BF,"Multi-Robot Coordination Analysis, Taxonomy, Challenges and Future Scope",10.1007/s10846-021-01378-2,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C8620A2DF94BF\fulltext.html,fulltext_verified,yes
C8EE8FED1A218,FA-SETPOWER-MRTA: A Solution for Solving the Multi-Robot Task Allocation Problem,10.1007/978-3-319-89743-1_28,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C8EE8FED1A218\fulltext.html,fulltext_verified,yes
C8FB426CFB987,Cooperative Mission Planning for Multi-UAV Teams,10.1007/978-90-481-9707-1_16,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C8FB426CFB987\fulltext.html,fulltext_verified,yes
C93FF4C9DA235,Issues in Multi-Robot Coalition Formation,10.1007/1-4020-3389-3_2,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C93FF4C9DA235\fulltext.html,fulltext_verified,yes
C94C775C34266,Mechanism Selection for Multi-Robot Task Allocation,10.1007/978-3-319-64107-2_33,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C94C775C34266\fulltext.pdf,fulltext_verified,yes
C96F294D621AC,CF-HMRTA: Coalition Formation for Heterogeneous Multi-Robot Task Allocation,10.1007/s10846-025-02287-4,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C96F294D621AC\fulltext.pdf,fulltext_verified,yes
C981388000750,A Distributed Solution to the Multi-robot Task Allocation Problem Using Ant Colony Optimization and Bat Algorithm,10.1007/978-981-15-5243-4_44,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C981388000750\fulltext.html,fulltext_verified,yes
C9AA83B059A9C,Multi-Agent Task Allocation Techniques for Harvest Team Formation,10.1007/978-3-031-18192-4_18,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\C9AA83B059A9C\fulltext.html,fulltext_verified,yes
CA10410C1EFD2,Efficient Task Allocation via Neighbor-Based Intersection Removal in Multi-agent Systems,10.1007/978-981-92-4392-1_2,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CA10410C1EFD2\fulltext.html,fulltext_verified,yes
CA3A57A7192C4,Hierarchical Multi-robot Coordination,10.1007/978-3-642-20217-9_27,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CA3A57A7192C4\fulltext.pdf,fulltext_verified,yes
CA474E92DBDF5,Cooperative Task Allocation for Multi-Robot Systems Based on Multi-Objective Ant Colony System,10.1109/access.2022.3165198,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CA474E92DBDF5\fulltext.pdf,fulltext_verified,yes
CA5A4BBA9A8CC,Cooperative transportation of an object with a nonholonomic constraint by a swarm robot,10.1186/s40648-025-00308-3,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CA5A4BBA9A8CC\fulltext.pdf,fulltext_verified,yes
CA9E1827F37CB,Resource Welfare Based Task Allocation for UAV Team with Resource Constraints,10.1007/s10846-014-0088-8,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CA9E1827F37CB\fulltext.html,fulltext_verified,yes
CAF055762992C,Game theory-based negotiation for multiple robots task allocation,10.1017/s0263574713000192,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CAF055762992C\fulltext.html,fulltext_verified,yes
CB0CF672C393D,How Much Worth Is Coordination of Mobile Robots for Exploration in Search and Rescue?,10.1007/978-3-642-39250-4_11,V1_stage3_verified_fulltext,eligible_existing_fulltext,data\fulltext\CB0CF672C393D\fulltext.pdf,fulltext_verified,yes
