anchor_candidate_id,anchor_doi,direction,oci,citing,cited,creation,timespan,source
C4E3D7A2BB630,10.1177/0278364904045477,citations,062402553445-06901219138,omid:br/062402553445 doi:10.1109/acc.2014.6859134 openalex:W2175256292,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2014-06,P9Y10M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061303289885-06901219138,omid:br/061303289885 doi:10.1080/01691864.2017.1371075 openalex:W2751276040,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2017-09-06,P13Y1M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06240360370-06901219138,omid:br/06240360370 doi:10.1016/j.robot.2007.08.003 openalex:W2139623875,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2008-04,P3Y8M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,0690931242-06901219138,omid:br/0690931242 doi:10.1109/m-ra.2007.914924 openalex:W2039245595,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2008-03,P3Y7M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061502300445-06901219138,omid:br/061502300445 doi:10.1109/icsec.2018.8712665 openalex:W2944948041,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2018-11,P14Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06103229019-06901219138,omid:br/06103229019 doi:10.1007/978-3-642-27216-5_15 openalex:W2068165033,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012,P7Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06802009104-06901219138,omid:br/06802009104 doi:10.1109/robot.2008.4543414 openalex:W2005788957,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2008-05,P3Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06290580067-06901219138,omid:br/06290580067 doi:10.1109/tro.2023.3319896 openalex:W4387546354,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,,,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061502600280-06901219138,omid:br/061502600280 doi:10.12720/jiii.2.1.20-25 openalex:W2313650567,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2014,P9Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062302580351-06901219138,omid:br/062302580351 doi:10.1007/978-4-431-55879-8_10 openalex:W2408457438,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2016,P11Y,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06803370620-06901219138,omid:br/06803370620 doi:10.1109/rose.2012.6402611 openalex:W2075669036,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-11,P8Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06103153986-06901219138,omid:br/06103153986 doi:10.1007/s10514-018-9747-0 openalex:W2802525640,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2018-04-11,P13Y8M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06304693257-06901219138,omid:br/06304693257 doi:10.1109/tits.2023.3324759 openalex:W4388272429,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2024-05,P19Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06502938503-06901219138,omid:br/06502938503 doi:10.1109/aim.2015.7222623 openalex:W2243594295,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2015-07,P10Y11M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06290618339-06901219138,omid:br/06290618339 doi:10.1115/1.4066804 openalex:W4403243196,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2024-11-01,P20Y3M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,062102971225-06901219138,omid:br/062102971225 doi:10.1109/icra.2012.6225281 openalex:W2155962191,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2012-05,P7Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06902533642-06901219138,omid:br/06902533642 doi:10.1109/iros.2015.7354152 openalex:W2219668306,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2015-09,P11Y1M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06303433506-06901219138,omid:br/06303433506 doi:10.1109/icra.2011.5980190 openalex:W2116303049,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2011-05,P6Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,06701992813-06901219138,omid:br/06701992813 doi:10.1109/robot.2008.4543412 openalex:W2083446999,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2008-05,P3Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061602505484-06901219138,omid:br/061602505484 doi:10.1109/icra.2016.7487743 openalex:W2288715014,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2016-05,P11Y9M,opencitations
C4E3D7A2BB630,10.1177/0278364904045477,citations,061401187155-06901219138,omid:br/061401187155 doi:10.1177/0278364907076819 openalex:W2005010226,omid:br/06901219138 doi:10.1177/0278364904045477 openalex:W2046178935,2007-04,P2Y8M,opencitations
