unit_id,path,sha256,identity,identity_status,relevant_chapters_pages,scope,claim_ids,decision,rationale_limitation,copyright_notes,verification_source,verification_date,verification_note
SRC-7923e0f353c892cb,"material/books/Applications of Mobile Robots -- Efren Gorrostieta Hurtado (editor) -- Mobile Robotics, 2019 -- IntechOpen -- isbn13 9781789857559 -- 11e3ec1fbf0e25723e0d1dc5fbd07fe0 -- Anna’s Archive.pdf",82cd74a27209f867483da960d195f0ee43d08b8aa1bd03f20bc4aebb847cd06f,"Efren Gorrostieta Hurtado, editor; Applications of Mobile Robots; IntechOpen; 2019; ISBN 978-1-78985-756-6; DOI 10.5772/intechopen.74181",verified-publisher,"pp. 2-23: revisión de cooperación MARS; pp. 24-43: control de movimiento; pp. 68-177: navegación, localización y path tracking",SP1;SP2;SP3,,use-later,"El capítulo 1 ofrece una taxonomía preliminar de heterogeneidad, control y comunicación, pero es una revisión secundaria y no autoriza afirmaciones de novedad. Los capítulos deben verificarse y citarse individualmente, no como un único libro.",Consulta privada; no reutilizar ilustraciones; citar solo el capítulo primario verificado y registrado en el ledger.,https://www.intechopen.com/books/7227,2026-09-09,Se sustituye la identidad inferida y el DOI de un capítulo por la ficha del volumen.
SRC-f77a1852b0dd9547,"material/books/Cooperative Control of Multi-agent Systems _ A Hybrid System -- Guanglei Zhao, Hailong Cui, Changchun Hua, Shuang Liu -- Springer Nature, Singapore, -- isbn13 9789819709670 -- 874cdeb563279fd2861492af19f168b7 - (1).pdf",e2e1485e94791076f713a54deeaa309ea89323f60eca8f64d4fae6950ba9448d,"Guanglei Zhao, Hailong Cui, Changchun Hua y Shuang Liu; Cooperative Control of Multi-Agent Systems: A Hybrid System Approach; Springer Singapore; 1.ª ed.; 2024; ISBN 978-981-97-0967-0; DOI 10.1007/978-981-97-0968-7",verified-publisher,"pp. 35-115: control cooperativo muestreado con retardo, pérdida y red conmutada; pp. 117-185: disparo por eventos; pp. 187-250: reset y observadores",transversal,C8A-SP8;C8B-SP8,use-later,"Permite contrastar la frontera continuo-digital y modelos híbridos de comunicación. No contiene el juego de rutas, la semántica transaccional ni la planta Cargo; sus teoremas no deben trasladarse a la ejecución acoplada.",Consulta privada; parafrasear y declarar el modelo original; no copiar pruebas/figuras; verificar ledger antes de citar.,https://link.springer.com/book/10.1007/978-981-97-0968-7,2026-09-09,Springer/DOI y la página legal local concuerdan.
SRC-9b99df00a9de8dbe,"material/books/Cooperative Control of Multi-agent Systems_ -- He Cai , Youfeng Su , Jie Huang -- Industrial Control, 2022 -- Springer -- 3030983765 -- b694b36369645913bbd2b29d767daab1 -- Anna’s Archive.pdf",f1fa6925debba4eb122b4420543f1422c73fff1fd1817d5aa47e8873a4af3714,"He Cai, Youfeng Su y Jie Huang; Cooperative Control of Multi-Agent Systems: Distributed-Observer and Distributed-Internal-Model Approaches; Springer Cham; 1.ª ed.; 2022; ISBN 978-3-030-98376-5; DOI 10.1007/978-3-030-98377-2",verified-publisher,"pp. 24-132: grafos, consenso y observadores distribuidos; pp. 133-205: sistemas Euler-Lagrange y cuerpo rígido; pp. 252-363: regulación cooperativa robusta",SP2;transversal,C-SP2-N3-QUALITY-COST,use-later,"Es una fuente de consulta para observadores y regulación cooperativa, incluida dinámica Euler-Lagrange. Su arquitectura sigue objetivos de leader-following/output regulation y no modela transporte de carga compartida, asignación ni restricciones de contacto.",Consulta privada; parafrasear; no copiar pruebas o diagramas; verificar DOI/edición en el ledger antes de citar.,https://link.springer.com/book/10.1007/978-3-030-98377-2,2026-09-09,Identidad cerrada en la ficha Springer; no está de alta en el ledger.
SRC-ba119b1e62a727e3,"material/books/Cooperative Game Theory-Based Optimal Angular Momentum Management of Hybrid Attitude Control Actuator (Wu, Yunhua Zheng, Mohong He etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",7fe3c27830da14c1904af900cd5c603a8a5be9035b78f1f87134ed6e232f4e8b,"Yunhua Wu, Mohong Zheng, Mengjie He, Dawei Zhang, Wei He, Bing Hua, Zhiming Chen y Feng Wang; Cooperative Game Theory-Based Optimal Angular Momentum Management of Hybrid Attitude Control Actuator; IEEE Access, 7, 6853-6865; 2019; DOI 10.1109/ACCESS.2018.2890086",verified-journal-doi,"pp. 1-12: actuador híbrido espacial, QP y lógica de juego cooperativo",transversal,,out-of-scope,"El dominio es gestión de momento angular de un actuador de actitud espacial. Compartir las palabras juego cooperativo y optimización no lo convierte en evidencia sobre coaliciones AMR, juegos potenciales o transporte de cargas.","No usar en la memoria ni monografía; conservar para consulta privada; no reproducir tablas, ecuaciones ni figuras.",https://doi.org/10.1109/ACCESS.2018.2890086,2026-09-09,Artículo verificado por DOI y ficha de IEEE Access; permanece out-of-scope.
SRC-d7808bdf107394b0,material/books/DCRN-BulloCortesMartinez-10mar09.pdf,4559ada02de8b19d6023dce8076f8ba1f1b51b2486df96a34e7de51c65c321ec,"Francesco Bullo, Jorge Cortés y Sonia Martínez; Distributed Control of Robotic Networks: A Mathematical Approach to Motion Coordination Algorithms; Princeton University Press; 2009; DOI 10.1515/9781400831470",verified-ledger:bullo2009distributed,"pp. 10-102: algoritmos distribuidos, estabilidad y grafos; pp. 103-184: geometría y optimización; pp. 146-223: modelos, complejidad, rendezvous; pp. 252-282: redes asíncronas y tracking",SP1;SP2;SP3;transversal,C10-SP0;C8A-SP8;C7D-SP7,use-now,"Fuente canónica para localidad, grafos de proximidad, complejidad y coordinación asíncrona. No modela contactos de carga ni demuestra la seguridad continua o la optimalidad de las campañas del TFM; los enlaces identifican fundamentos, no soporte de resultados numéricos.",La copia se declara versión completa de consulta; parafrasear y citar la entrada verificada; no reproducir figuras o texto extenso.,https://doi.org/10.1515/9781400831470,2026-09-09,DOI editorial y entrada del ledger concuerdan.
SRC-6fdf8c2acc16ef8a,"material/books/Distributed Adaptive Consensus Control of Uncertain -- Wei Wang & Jiang Long & Jiangshuai Huang & Changyun Wen -- Automation and Control Engineering, -- isbn13 9781003394372 -- 8eff0800d6f46862d9127a6624dffd08 -- A.pdf",ae52379a185c4c406395ed464766d66bdf9c3c487f0ec6b90f1ed8012c66a721,"Wei Wang, Jiang Long, Jiangshuai Huang y Changyun Wen; Distributed Adaptive Consensus Control of Uncertain Multi-Agent Systems; CRC Press; 1.ª ed.; 2025; ISBN 978-1-032-49546-0; DOI 10.1201/9781003394372",verified-publisher,"pp. 26-115: grafos, backstepping y consenso adaptativo/finito; pp. 116-175: comunicación disparada por eventos; pp. 176-207: formación de robots no holónomos y sincronización",SP2;transversal,C-SP2-N3-QUALITY-COST;C8B-SP8,use-later,"Aporta posibles baselines para incertidumbre, comunicación por eventos y formación no holónoma. No incluye una carga compartida ni el reparto de wrench y no convierte convergencia de consenso en estabilidad del sistema Cargo.",Consulta privada; parafrasear y rederivar supuestos; no copiar pruebas/figuras; verificar año y edición en el ledger.,https://doi.org/10.1201/9781003394372,2026-09-09,La página legal del adelanto editorial fija 2025; los escaparates muestran fechas de disponibilidad distintas.
SRC-bf8f10d20534d125,"material/books/Distributed Consensus in Multi-vehicle Cooperative Control_ -- Wei Ren PhD, Randal W_ Beard PhD (auth_) -- Communications and Control Engineering, -- isbn13 9781848000148 -- 799523a2d98a006c54f69a11c89c5ee7 -- Anna.pdf",fa8a334f81a7652d64152e115ae024f1cb00a426747ecdcad52d3b25cac1f5cb,Wei Ren y Randal W. Beard; Distributed Consensus in Multi-vehicle Cooperative Control: Theory and Applications; Springer London; 1.ª ed.; 2008; ISBN 978-1-84800-014-8; DOI 10.1007/978-1-84800-015-5,verified-ledger:renBeard2008Consensus,pp. 3-158: consenso de primer/segundo orden y actitud; pp. 159-180: metodología de diseño cooperativo; pp. 181-253: flocking y formación de robots móviles/vehículos,SP2;transversal,C-SP2-N1-KIN-FORMAL;C-SP2-N3-QUALITY-COST,use-now,"Es un referente clásico para consenso y formación de vehículos bajo comunicación limitada. No estudia mecánica de carga, sensores de fuerza, wrench ni la guardia física; por ello solo respalda el marco de coordinación y los comparadores.",Consulta privada; parafrasear; no copiar figuras o demostraciones. Ficha Springer/DOI https://doi.org/10.1007/978-1-84800-015-5 verificada el 2026-09-08.,https://doi.org/10.1007/978-1-84800-015-5,2026-09-09,Springer/DOI y entrada del ledger concuerdan.
SRC-9752523ef477dbb6,"material/books/Games and Coalitions_ Bridging Non-cooperative and -- Okada, Akira (author) -- 2026 mar 31 -- Cambridge University Press -- isbn13 9781009729017 -- 3c058aeac551d93e8bd3b87b597a1820 -- Anna’s Archive.pdf",43edb22e51ccce70c208cc9b325366aa161b249befc7ba403cddf3138c51f9db,Akira Okada; Games and Coalitions: Bridging Non-cooperative and Cooperative Approaches; Cambridge University Press; 2026; ISBN 978-1-009-72901-7; DOI 10.1017/9781009729017,verified-publisher,"pp. 18-83: juegos no cooperativos/cooperativos y teoría de coaliciones; pp. 84-207: negociación coalicional; pp. 208-302: renegociación, participación e información incompleta",SP1,C-SP1-N4-TAXONOMY,use-later,"Aclara la diferencia entre juegos cooperativos y formación no cooperativa de coaliciones, útil para evitar taxonomías imprecisas. Sus modelos económicos de negociación no son el juego potencial de asignación del TFM ni validan cuotas, recursos o movilidad.",Consulta privada; parafrasear; no copiar modelos o figuras; registrar y verificar la referencia de 2026 antes de citar.,https://www.cambridge.org/core/books/games-and-coalitions/3F59298409B0E267B4F9C19A1B1D9ADE,2026-09-09,Identidad cerrada en Cambridge Core; cualquier uso posterior requiere alta en el ledger.
SRC-cc14c73b30364a27,"material/books/Games to Play and Games Not to Play _ Strategic Decisions -- Uri Weiss, Joseph Agassi -- Studies in Systems, Decision and Control, Studies in -- isbn13 9783031276002 -- 43d7dfcbffda3a523e9c6dc41eadf315 -- Anna’s Ar.pdf",8ad8ec8657356e63e5c9dcd9acc1d7e00620bcd098233dbdb7f84952bd61ed50,Uri Weiss y Joseph Agassi; Games to Play and Games Not to Play: Strategic Decisions via Extensions of Game Theory; Springer Cham; 1.ª ed.; 2023; ISBN 978-3-031-27600-2; DOI 10.1007/978-3-031-27601-9,verified-publisher,"pp. 13-239: decisiones estratégicas, conflicto político, guerra y paz",transversal,,out-of-scope,"El contenido es filosófico y político; no aporta modelos operacionales, control, comunicaciones, asignación o evidencia robótica aplicable. Las analogías de cooperación serían decorativas y aumentarían la prosa sin sustento técnico.",No usar en la memoria ni monografía; conservar solo como consulta privada; no reproducir contenido.,https://link.springer.com/book/10.1007/978-3-031-27601-9,2026-09-09,Identidad cerrada; la decisión out-of-scope se conserva.
SRC-e826761b9b60501e,"material/books/Generalized Nash Equilibrium Seeking in Population Games ( etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",bc1c810318c1d4be8c44c160de413d632464e0f0af85992873e16a805910394f,"Juan Martinez-Piazuelo, Carlos Ocampo-Martinez y Nicanor Quijano; Generalized Nash Equilibrium Seeking in Population Games: Applications in the Control of Large-Scale Multi-agent Systems; Springer Cham; 1.ª ed.; 2026; ISBN 978-3-032-06080-8; DOI 10.1007/978-3-032-06081-5",verified-ledger:martinezPiazuelo2026GNEBook,"pp. 20-97: aplicaciones, juegos poblacionales, payoffs y procesos de revisión; pp. 101-157: disipatividad y convergencia; pp. 159-217: control, multiplicadores distribuidos y relación con juegos de N jugadores",SP1;transversal,C3A-SP3;C-SP1-N4-FIII-VGNE;C-SP1-N4-TAXONOMY,use-now,"Es la fuente local más específica para GNE, juegos poblacionales y multiplicadores distribuidos. Debe usarse para contrastar definiciones y supuestos, no como prueba sustitutiva de la formulación propia ni de los endpoints atómicos. Es una monografía de 2026 distinta del artículo martinezPiazuelo2022Population.","Consulta privada; parafrasear; no reproducir demostraciones, diagramas o ejemplos. Ficha Springer/DOI https://doi.org/10.1007/978-3-032-06081-5 verificada el 2026-09-08.",https://doi.org/10.1007/978-3-032-06081-5,2026-09-09,Springer/DOI y entrada del ledger concuerdan.
SRC-36d7e7ffdbd50096,"material/books/Huaqing Li, Dawen Xia, Qingguo Lu, Zheng Wang, Xiangzhao Wu, Huiwei Wang, Lianghao Ji - Second-Order Consensus of Continuous-Time Multi-Agent Systems-Academic Press (2021).pdf",3a03500f3d433524648d3a0a6c23b827bc07bfc7268e6fdd005209cce7ce8014,"Huaqing Li, Dawen Xia, Qingguo Lü, Zheng Wang, Xiangzhao Wu, Huiwei Wang y Lianghao Ji; Second-Order Consensus of Continuous-Time Multi-Agent Systems; Academic Press; 2021; ISBN 978-0-323-90131-4; DOI 10.1016/C2020-0-03380-3",verified-publisher,pp. 14-76: consenso de segundo orden robusto y redes conmutadas; pp. 77-135: estabilidad local/global y fallos de enlace; pp. 136-186: muestreo por eventos,SP2;transversal,C-SP2-N3-QUALITY-COST,use-later,Puede justificar la selección de baselines de consenso de segundo orden y exponer efectos de red. No representa la cinemática diferencial con acoplamiento rígido ni las fuerzas de contacto; la transferencia a Cargo sería inválida sin derivación propia.,Consulta privada; usar paráfrasis conceptual; no copiar pruebas/figuras; verificar referencia en el ledger.,https://www.sciencedirect.com/book/9780323901314/second-order-consensus-of-continuous-time-multi-agent-systems,2026-09-09,Identidad contrastada con el catálogo ScienceDirect y la copia local.
SRC-4ced4ee03f6d46a6,material/books/Introduction to Autonomous Mobile Robots book.pdf,203f3a81666d80e13c3854f467fcd74aebbc0e96dd2d7789b1b8f0bfafec166c,Roland Siegwart e Illah R. Nourbakhsh; Introduction to Autonomous Mobile Robots; The MIT Press; 1.ª ed.; 2004; ISBN 978-0-262-19502-7,verified-ledger:siegwartNourbakhsh2004Autonomous,"pp. 28-103: locomoción con ruedas, modelos y restricciones cinemáticas; pp. 104-271: percepción y localización; pp. 272-319: planificación y navegación",SP2;SP3,C-SP2-N1-KIN-FORMAL;C7D-SP7,use-now,"Es una fuente base para el modelo diferencial, sensores, localización y navegación. No cubre coaliciones, carga compartida o garantías de reserva; el enlace a SP7 se limita a fundamentos de planificación y no a exclusión entre cuerpos compuestos. La unidad local es la 1.ª edición y no incluye a Davide Scaramuzza, coautor de la 2.ª edición de 2011.",Consulta privada; parafrasear; no reproducir ilustraciones. Ficha MIT Press https://mitpress.mit.edu/9780262195027/introduction-to-autonomous-mobile-robots/ verificada el 2026-09-08.,https://mitpress.mit.edu/9780262195027/introduction-to-autonomous-mobile-robots/,2026-09-09,"La unidad es la primera edición de 2004, no la segunda de 2011."
SRC-d872978ac0bf7e48,"material/books/Kleppmann, Martin - Designing data-intensive applications_ the big ideas behind reliable, scalable, and maintainable systems-O'Reilly Media (2018).pdf",6e61a5252a7b73f94e91eb0090d482fcb1f18ac632526a4d1a441d5d6066f5cf,"Martin Kleppmann; Designing Data-Intensive Applications: The Big Ideas Behind Reliable, Scalable, and Maintainable Systems; O'Reilly Media; 1.ª ed.; 2017; ISBN 978-1-449-37332-0",verified-publisher,"pp. 167-294: datos distribuidos; pp. 295-342: fallos parciales, redes no fiables y asincronía; pp. 343-406: consistencia, consenso y transacciones",transversal,C-SP1-N4-DMIS-TX;C8A-SP8;C8B-SP8,use-later,"Ayuda a describir semántica de versiones, fallos parciales y transacciones desde ingeniería de software. No es una fuente de control ni prueba el modelo Bernoulli, la terminación del juego o el coste de mensajes; sus conceptos deben traducirse explícitamente al protocolo robótico.",Consulta privada; parafrasear; no copiar diagramas o ejemplos; verificar edición exacta en el ledger antes de citar.,https://www.oreilly.com/library/view/designing-data-intensive-applications/9781491903063/copyright-page01.html,2026-09-09,La página legal editorial fija marzo de 2017; el nombre local indica 2018.
SRC-097398c064adff1a,material/books/Lee_Dimarogonas_Kim_2026_Switching_Control_Cooperative_Manipulation.pdf,8011360840146a9273ab659a52ed62042d25f5d958979950e1a0454203b3070a,"Dongjae Lee, Dimos V. Dimarogonas y H. Jin Kim; Switching Control of Underactuated Multi-channel Systems with Input Constraints for Cooperative Manipulation; arXiv:2511.22810; preprint 2025",verified-ledger-as-preprint:lee2025switching,"pp. 2-9: formulación, conmutación MILP/QP y estabilidad; pp. 7-13: aplicación no prehensil y simulación",SP2,C-SP2-EL-CONTACT-MODEL;C-SP2-CROSS-MONO-FORMAL,use-now,"Es directamente útil para contrastar selección discreta de canales, restricciones y manipulación no prehensil. Es un preprint centralizado y simulado: no transfiere estabilidad a Cargo, Pioneer, información vecinal ni contactos bilaterales; encaja principalmente en la extensión caging/monografía.","Parafrasear y citar la entrada de preprint ya verificada; no copiar figuras, formulaciones extensas ni resultados.",https://arxiv.org/abs/2511.22810,2026-09-09,"Se conserva explícitamente el estado de preprint, no publicación revisada por pares."
