unit_id,path,corpus,sha256,canonical_path,is_exact_duplicate,destination,incorporation_mode,sp_target,claim_ids,claim_link_status,claim_relation,claim_link_reason,evidence_locator,evidence_status,evidence_status_note,rationale
SRC-029958c43a90def4,material/books/Addy Osmani - Learning JavaScript Design Patterns_ A JavaScript and React Developer's Guide-O'Reilly Media (2023).pdf,books,67753982e0563fc2944ee32895877b601afaece0c293ad540b2bf5cfebd60257,material/books/Addy Osmani - Learning JavaScript Design Patterns_ A JavaScript and React Developer's Guide-O'Reilly Media (2023).pdf,no,archive-only,curated-exclusion,transversal,,not-applicable,none,Fuente excluida por la auditoría bibliográfica; no respalda claims del TFM.,,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `out-of-scope`: El libro trata patrones JavaScript/React, no algoritmos distribuidos, control, robótica ni evidencia experimental del TFM. La coincidencia terminológica con eventos o publish/subscribe no constituye pertinencia científica."
SRC-7923e0f353c892cb,"material/books/Applications of Mobile Robots -- Efren Gorrostieta Hurtado (editor) -- Mobile Robotics, 2019 -- IntechOpen -- isbn13 9781789857559 -- 11e3ec1fbf0e25723e0d1dc5fbd07fe0 -- Anna’s Archive.pdf",books,82cd74a27209f867483da960d195f0ee43d08b8aa1bd03f20bc4aebb847cd06f,"material/books/Applications of Mobile Robots -- Efren Gorrostieta Hurtado (editor) -- Mobile Robotics, 2019 -- IntechOpen -- isbn13 9781789857559 -- 11e3ec1fbf0e25723e0d1dc5fbd07fe0 -- Anna’s Archive.pdf",no,background,consultation-without-copy,SP1;SP2;SP3,,not-applicable,none,Volumen secundario usado como índice de capítulos; no respalda un claim activo y cualquier capítulo futuro deberá verificarse por separado.,,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: El capítulo 1 ofrece una taxonomía preliminar de heterogeneidad, control y comunicación, pero es una revisión secundaria y no autoriza afirmaciones de novedad. Los capítulos deben verificarse y citarse individualmente, no como un único libro."
SRC-f77a1852b0dd9547,"material/books/Cooperative Control of Multi-agent Systems _ A Hybrid System -- Guanglei Zhao, Hailong Cui, Changchun Hua, Shuang Liu -- Springer Nature, Singapore, -- isbn13 9789819709670 -- 874cdeb563279fd2861492af19f168b7 - (1).pdf",books,e2e1485e94791076f713a54deeaa309ea89323f60eca8f64d4fae6950ba9448d,"material/books/Cooperative Control of Multi-agent Systems _ A Hybrid System -- Guanglei Zhao, Hailong Cui, Changchun Hua, Shuang Liu -- Springer Nature, Singapore, -- isbn13 9789819709670 -- 874cdeb563279fd2861492af19f168b7 - (1).pdf",no,background,consultation-without-copy,transversal,C8A-SP8;C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C8A-SP8;C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Permite contrastar la frontera continuo-digital y modelos híbridos de comunicación. No contiene el juego de rutas, la semántica transaccional ni la planta Cargo; sus teoremas no deben trasladarse a la ejecución acoplada."
SRC-9b99df00a9de8dbe,"material/books/Cooperative Control of Multi-agent Systems_ -- He Cai , Youfeng Su , Jie Huang -- Industrial Control, 2022 -- Springer -- 3030983765 -- b694b36369645913bbd2b29d767daab1 -- Anna’s Archive.pdf",books,f1fa6925debba4eb122b4420543f1422c73fff1fd1817d5aa47e8873a4af3714,"material/books/Cooperative Control of Multi-agent Systems_ -- He Cai , Youfeng Su , Jie Huang -- Industrial Control, 2022 -- Springer -- 3030983765 -- b694b36369645913bbd2b29d767daab1 -- Anna’s Archive.pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Es una fuente de consulta para observadores y regulación cooperativa, incluida dinámica Euler-Lagrange. Su arquitectura sigue objetivos de leader-following/output regulation y no modela transporte de carga compartida, asignación ni restricciones de contacto."
SRC-ba119b1e62a727e3,"material/books/Cooperative Game Theory-Based Optimal Angular Momentum Management of Hybrid Attitude Control Actuator (Wu, Yunhua Zheng, Mohong He etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",books,7fe3c27830da14c1904af900cd5c603a8a5be9035b78f1f87134ed6e232f4e8b,"material/books/Cooperative Game Theory-Based Optimal Angular Momentum Management of Hybrid Attitude Control Actuator (Wu, Yunhua Zheng, Mohong He etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",no,archive-only,curated-exclusion,transversal,,not-applicable,none,Fuente excluida por la auditoría bibliográfica; no respalda claims del TFM.,,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `out-of-scope`: El dominio es gestión de momento angular de un actuador de actitud espacial. Compartir las palabras juego cooperativo y optimización no lo convierte en evidencia sobre coaliciones AMR, juegos potenciales o transporte de cargas."
SRC-dc22a9e3f2e846e5,"material/books/Cooperative_Control_of_Multi_agent_Systems_He_Cai_,_Youfeng_Su_.pdf",books,f1fa6925debba4eb122b4420543f1422c73fff1fd1817d5aa47e8873a4af3714,"material/books/Cooperative Control of Multi-agent Systems_ -- He Cai , Youfeng Su , Jie Huang -- Industrial Control, 2022 -- Springer -- 3030983765 -- b694b36369645913bbd2b29d767daab1 -- Anna’s Archive.pdf",yes,archive-only,exact-duplicate-reference,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,canonical-reference,Los enlaces se heredan del archivo canónico; el duplicado exacto no añade evidencia.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,Hash idéntico; se conserva solo la ruta y el enlace al canónico.
SRC-d7808bdf107394b0,material/books/DCRN-BulloCortesMartinez-10mar09.pdf,books,4559ada02de8b19d6023dce8076f8ba1f1b51b2486df96a34e7de51c65c321ec,material/books/DCRN-BulloCortesMartinez-10mar09.pdf,no,background,consultation-without-copy,SP1;SP2;SP3;transversal,C10-SP0;C8A-SP8;C7D-SP7,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C10-SP0;C8A-SP8;C7D-SP7,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Fuente canónica para localidad, grafos de proximidad, complejidad y coordinación asíncrona. No modela contactos de carga ni demuestra la seguridad continua o la optimalidad de las campañas del TFM; los enlaces identifican fundamentos, no soporte de resultados numéricos."
SRC-6fdf8c2acc16ef8a,"material/books/Distributed Adaptive Consensus Control of Uncertain -- Wei Wang & Jiang Long & Jiangshuai Huang & Changyun Wen -- Automation and Control Engineering, -- isbn13 9781003394372 -- 8eff0800d6f46862d9127a6624dffd08 -- A.pdf",books,ae52379a185c4c406395ed464766d66bdf9c3c487f0ec6b90f1ed8012c66a721,"material/books/Distributed Adaptive Consensus Control of Uncertain -- Wei Wang & Jiang Long & Jiangshuai Huang & Changyun Wen -- Automation and Control Engineering, -- isbn13 9781003394372 -- 8eff0800d6f46862d9127a6624dffd08 -- A.pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N3-QUALITY-COST;C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST;C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Aporta posibles baselines para incertidumbre, comunicación por eventos y formación no holónoma. No incluye una carga compartida ni el reparto de wrench y no convierte convergencia de consenso en estabilidad del sistema Cargo."
SRC-bf8f10d20534d125,"material/books/Distributed Consensus in Multi-vehicle Cooperative Control_ -- Wei Ren PhD, Randal W_ Beard PhD (auth_) -- Communications and Control Engineering, -- isbn13 9781848000148 -- 799523a2d98a006c54f69a11c89c5ee7 -- Anna.pdf",books,fa8a334f81a7652d64152e115ae024f1cb00a426747ecdcad52d3b25cac1f5cb,"material/books/Distributed Consensus in Multi-vehicle Cooperative Control_ -- Wei Ren PhD, Randal W_ Beard PhD (auth_) -- Communications and Control Engineering, -- isbn13 9781848000148 -- 799523a2d98a006c54f69a11c89c5ee7 -- Anna.pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N1-KIN-FORMAL;C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N1-KIN-FORMAL;C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Es un referente clásico para consenso y formación de vehículos bajo comunicación limitada. No estudia mecánica de carga, sensores de fuerza, wrench ni la guardia física; por ello solo respalda el marco de coordinación y los comparadores."
SRC-9752523ef477dbb6,"material/books/Games and Coalitions_ Bridging Non-cooperative and -- Okada, Akira (author) -- 2026 mar 31 -- Cambridge University Press -- isbn13 9781009729017 -- 3c058aeac551d93e8bd3b87b597a1820 -- Anna’s Archive.pdf",books,43edb22e51ccce70c208cc9b325366aa161b249befc7ba403cddf3138c51f9db,"material/books/Games and Coalitions_ Bridging Non-cooperative and -- Okada, Akira (author) -- 2026 mar 31 -- Cambridge University Press -- isbn13 9781009729017 -- 3c058aeac551d93e8bd3b87b597a1820 -- Anna’s Archive.pdf",no,background,consultation-without-copy,SP1,C-SP1-N4-TAXONOMY,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP1-N4-TAXONOMY,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Aclara la diferencia entre juegos cooperativos y formación no cooperativa de coaliciones, útil para evitar taxonomías imprecisas. Sus modelos económicos de negociación no son el juego potencial de asignación del TFM ni validan cuotas, recursos o movilidad."
SRC-cc14c73b30364a27,"material/books/Games to Play and Games Not to Play _ Strategic Decisions -- Uri Weiss, Joseph Agassi -- Studies in Systems, Decision and Control, Studies in -- isbn13 9783031276002 -- 43d7dfcbffda3a523e9c6dc41eadf315 -- Anna’s Ar.pdf",books,8ad8ec8657356e63e5c9dcd9acc1d7e00620bcd098233dbdb7f84952bd61ed50,"material/books/Games to Play and Games Not to Play _ Strategic Decisions -- Uri Weiss, Joseph Agassi -- Studies in Systems, Decision and Control, Studies in -- isbn13 9783031276002 -- 43d7dfcbffda3a523e9c6dc41eadf315 -- Anna’s Ar.pdf",no,archive-only,curated-exclusion,transversal,,not-applicable,none,Fuente excluida por la auditoría bibliográfica; no respalda claims del TFM.,,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `out-of-scope`: El contenido es filosófico y político; no aporta modelos operacionales, control, comunicaciones, asignación o evidencia robótica aplicable. Las analogías de cooperación serían decorativas y aumentarían la prosa sin sustento técnico."
SRC-e826761b9b60501e,"material/books/Generalized Nash Equilibrium Seeking in Population Games ( etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",books,bc1c810318c1d4be8c44c160de413d632464e0f0af85992873e16a805910394f,"material/books/Generalized Nash Equilibrium Seeking in Population Games ( etc.) (z-library.sk, 1lib.sk, z-lib.sk).pdf",no,background,consultation-without-copy,SP1;transversal,C3A-SP3;C-SP1-N4-FIII-VGNE;C-SP1-N4-TAXONOMY,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C3A-SP3;C-SP1-N4-FIII-VGNE;C-SP1-N4-TAXONOMY,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Es la fuente local más específica para GNE, juegos poblacionales y multiplicadores distribuidos. Debe usarse para contrastar definiciones y supuestos, no como prueba sustitutiva de la formulación propia ni de los endpoints atómicos. Es una monografía de 2026 distinta del artículo martinezPiazuelo2022Population."
SRC-36d7e7ffdbd50096,"material/books/Huaqing Li, Dawen Xia, Qingguo Lu, Zheng Wang, Xiangzhao Wu, Huiwei Wang, Lianghao Ji - Second-Order Consensus of Continuous-Time Multi-Agent Systems-Academic Press (2021).pdf",books,3a03500f3d433524648d3a0a6c23b827bc07bfc7268e6fdd005209cce7ce8014,"material/books/Huaqing Li, Dawen Xia, Qingguo Lu, Zheng Wang, Xiangzhao Wu, Huiwei Wang, Lianghao Ji - Second-Order Consensus of Continuous-Time Multi-Agent Systems-Academic Press (2021).pdf",no,background,consultation-without-copy,SP2;transversal,C-SP2-N3-QUALITY-COST,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N3-QUALITY-COST,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,Auditoría bibliográfica `use-later`: Puede justificar la selección de baselines de consenso de segundo orden y exponer efectos de red. No representa la cinemática diferencial con acoplamiento rígido ni las fuerzas de contacto; la transferencia a Cargo sería inválida sin derivación propia.
SRC-4ced4ee03f6d46a6,material/books/Introduction to Autonomous Mobile Robots book.pdf,books,203f3a81666d80e13c3854f467fcd74aebbc0e96dd2d7789b1b8f0bfafec166c,material/books/Introduction to Autonomous Mobile Robots book.pdf,no,background,consultation-without-copy,SP2;SP3,C-SP2-N1-KIN-FORMAL;C7D-SP7,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-N1-KIN-FORMAL;C7D-SP7,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Es una fuente base para el modelo diferencial, sensores, localización y navegación. No cubre coaliciones, carga compartida o garantías de reserva; el enlace a SP7 se limita a fundamentos de planificación y no a exclusión entre cuerpos compuestos. La unidad local es la 1.ª edición y no incluye a Davide Scaramuzza, coautor de la 2.ª edición de 2011."
SRC-d872978ac0bf7e48,"material/books/Kleppmann, Martin - Designing data-intensive applications_ the big ideas behind reliable, scalable, and maintainable systems-O'Reilly Media (2018).pdf",books,6e61a5252a7b73f94e91eb0090d482fcb1f18ac632526a4d1a441d5d6066f5cf,"material/books/Kleppmann, Martin - Designing data-intensive applications_ the big ideas behind reliable, scalable, and maintainable systems-O'Reilly Media (2018).pdf",no,background,consultation-without-copy,transversal,C-SP1-N4-DMIS-TX;C8A-SP8;C8B-SP8,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP1-N4-DMIS-TX;C8A-SP8;C8B-SP8,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Ayuda a describir semántica de versiones, fallos parciales y transacciones desde ingeniería de software. No es una fuente de control ni prueba el modelo Bernoulli, la terminación del juego o el coste de mensajes; sus conceptos deben traducirse explícitamente al protocolo robótico."
SRC-097398c064adff1a,material/books/Lee_Dimarogonas_Kim_2026_Switching_Control_Cooperative_Manipulation.pdf,books,8011360840146a9273ab659a52ed62042d25f5d958979950e1a0454203b3070a,material/books/Lee_Dimarogonas_Kim_2026_Switching_Control_Cooperative_Manipulation.pdf,no,background,consultation-without-copy,SP2,C-SP2-EL-CONTACT-MODEL;C-SP2-CROSS-MONO-FORMAL,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP2-EL-CONTACT-MODEL;C-SP2-CROSS-MONO-FORMAL,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-now`: Es directamente útil para contrastar selección discreta de canales, restricciones y manipulación no prehensil. Es un preprint centralizado y simulado: no transfiere estabilidad a Cargo, Pioneer, información vecinal ni contactos bilaterales; encaja principalmente en la extensión caging/monografía."
SRC-9afea5b640d8009e,material/books/Markov-Decision-Processes-and-Stochastic-Positional-Games.pdf,books,60c53bce81b085f89b8b6a9da01f07a73f96f7ab2fbb588bc7fd5bd5ef807ca4,material/books/Markov-Decision-Processes-and-Stochastic-Positional-Games.pdf,no,background,consultation-without-copy,SP1;SP3;transversal,C-SP1-N4-FIV-PILOT,linked,context,La fuente se enlaza como contexto verificado; no demuestra el resultado propio del TFM.,docs/04_CLAIMS_EVIDENCE.md::C-SP1-N4-FIV-PILOT,candidate,Fuente candidata o contextual; no constituye evidencia independiente hasta completar la auditoría aplicable.,"Auditoría bibliográfica `use-later`: Puede orientar una extensión dinámica y separar MDP de juego estocástico, pero el piloto F-IV del TFM tiene estado, costes y oráculo propios. No respalda el claim empírico ni debe reetiquetar F-IV como juego de Markov sin formulación completa."
