review_id,source_result_id,source_sha256,corpus,spine_role,review_scope,verdict,action_priority,statement_path,statement_line,proof_path,proof_line,code_paths,test_paths,test_result,assumption_or_condition_presence,domain_and_units,duplicate_status,counterexample_or_gap,promotion_condition
SPINE-011,THESIS-FR-0018-thm:sp7-exact-potential,37af59fc438876889129fff887838ad78fd44aa94573984b623c4181d3833b83,thesis,SP3 assertion that every improvement trajectory ends at Nash,SEMANTIC_QUANTIFIER_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp7.tex,109,thesis/sections/appendices/08-sp7-proofs.tex,18,src/viu_mrob_tfm/sp7/theory.py,tests/test_sp7_traffic.py,Executor PASS because it explicitly sweeps until no improvement remains,All SPINE-010 assumptions plus a maximal path or an exhaustive/fair scheduler that cannot stop at a non-Nash profile,"Statement about algorithmic continuation, not physical time",SAME_FORMAL_RESULT_SPLIT_BY_CLAIM_SCOPE,A finite strict-improvement prefix may stop at a non-Nash profile; finite improvement alone proves only absence of an infinite path.,Insert �toda trayectoria maximal� or define the implemented exhaustive scheduler.
SPINE-012,THESIS-FR-0021-prop:sp8-partition-limit,9eed4b36420fadbc60148f4a7f9db393435e822e1d98d3987bbae6c9d819c399,thesis,Cross-cutting impossibility under disconnected components,SEMANTIC_QUANTIFIER_AND_COUNTEREXAMPLE_AUDIT,REJECTED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp8.tex,108,thesis/sections/appendices/09-sp8-proofs.tex,18,,tests/test_sp8_network.py,"59-test focal suite PASS; test only exhibits one hidden remote conflict, not the theorem quantifiers",Current statement lacks the required pair of locally indistinguishable instances with incompatible globally optimal local actions,Information-theoretic deterministic decision problem; units not applicable,UNIQUE_FORMAL_LABEL,A singleton family with a known optimum has remote interaction yet admits a hard-coded globally optimal deterministic rule.,Restrict to any class containing two locally indistinguishable instances whose projections of global optima are disjoint; define detection predicate analogously.
SPINE-013,THESIS-FR-0014-thm:sp6-exact-potential,3433cfeecbb86023a6d4bd2f8bdf4545704de644b302de0a914fb8e33fe856af,thesis,"Recovery exact-potential identity, Nash existence and no repetition",SEMANTIC_PROOF_AUDIT,SUPPORTED,PROMOTE,thesis/sections/mainmatter/06-results-and-analysis/sp6.tex,120,thesis/sections/appendices/07-sp6-proofs.tex,6,src/viu_mrob_tfm/sp6/theory.py,tests/test_sp6_recovery.py,59-test focal suite PASS; identity and finite-profile ascent PASS,"Finite binary reserve; fixed additive nonnegative capabilities; fixed deficit, weights, costs and penalty during repair decision",Dimensionless normalized recovery certificate; no physical reacoupling/contact dynamics,UNIQUE_FORMAL_LABEL,No counterexample to exactness/existence/no-repeat bound. Nash terminal state additionally needs maximal continuation.,Promote identity and accepted-move bound with the logical-certificate scope.
SPINE-014,THESIS-FR-0014-thm:sp6-exact-potential,3433cfeecbb86023a6d4bd2f8bdf4545704de644b302de0a914fb8e33fe856af,thesis,Recovery assertion that every improvement succession ends at Nash,SEMANTIC_QUANTIFIER_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp6.tex,122,thesis/sections/appendices/07-sp6-proofs.tex,18,src/viu_mrob_tfm/sp6/theory.py,tests/test_sp6_recovery.py,Executor PASS because it continues full sweeps until no strict move exists,SPINE-013 assumptions plus maximal trajectory/exhaustive activation,"Accepted discrete changes, not elapsed seconds",SAME_FORMAL_RESULT_SPLIT_BY_CLAIM_SCOPE,A prematurely truncated improvement sequence need not terminate at Nash.,Use �trayectoria maximal� or specify the exhaustive sweep policy.
SPINE-015,THESIS-FR-0015-thm:sp6-feasible-nash,3433cfeecbb86023a6d4bd2f8bdf4545704de644b302de0a914fb8e33fe856af,thesis,Recovery Nash equals inclusion-minimal feasible repair,SEMANTIC_PROOF_AND_COUNTEREXAMPLE_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp6.tex,138,thesis/sections/appendices/07-sp6-proofs.tex,50,src/viu_mrob_tfm/sp6/theory.py,tests/test_sp6_recovery.py,59-test focal suite PASS; 180 extra positive-cost exhaustive instances PASS; zero-cost counterexample PASS,Full reserve feasible; additive nonnegative capabilities; strictly positive weights and costs; delta_min as defined; lambda>kappa_max/delta_min,Normalized dimensionless certificate and costs,UNIQUE_FORMAL_LABEL,"Strict cost positivity is used in proof but absent from theorem statement. With caps [1,0.2], demand 1, costs [1,0], profile [1,1] is Nash but not inclusion-minimal.","Add kappa_i^6>0 and positive deficit weights directly to the theorem; retain one-load, finite-reserve, additive-certificate scope."
SPINE-016,THESIS-FR-0016-prop:sp6-unbounded-poa,3433cfeecbb86023a6d4bd2f8bdf4545704de644b302de0a914fb8e33fe856af,thesis,Recovery nonuniform worst-Nash efficiency,SEMANTIC_PROOF_AUDIT,SUPPORTED,PROMOTE,thesis/sections/mainmatter/06-results-and-analysis/sp6.tex,157,thesis/sections/appendices/07-sp6-proofs.tex,105,src/viu_mrob_tfm/sp6/theory.py,tests/test_sp6_recovery.py,59-test focal suite PASS; analytic M/2 divergence checked,Single additive resource; three robots; M>2; lambda=5M/2; same normalized cost notion as oracle,Dimensionless cost ratio; no claim about typical or empirical inefficiency,UNIQUE_FORMAL_LABEL,Constructed Nash costs M and 2 give ratio M/2 -> infinity.,"May promote as a worst-case existence result, not a statement about observed campaigns."
SPINE-017,THESIS-FR-0017-cor:sp6-time-bound,3433cfeecbb86023a6d4bd2f8bdf4545704de644b302de0a914fb8e33fe856af,thesis,Recovery physical-time upper bound,SEMANTIC_TIMING_AND_UNITS_AUDIT,LIMITED,P1,thesis/sections/mainmatter/06-results-and-analysis/sp6.tex,172,thesis/sections/appendices/07-sp6-proofs.tex,95,src/viu_mrob_tfm/sp6/theory.py,tests/test_sp6_recovery.py,59-test focal suite PASS; arithmetic helper tested but scheduler premise is not enforced by the helper,Bounded detection; bounded detection-to-first and all subsequent accepted-move delays; maximal/exhaustive decision process; free straight paths; parallel travel; positive guaranteed speeds; bounded settling,Seconds = seconds + count*seconds + metres/(metres/second) + seconds,UNIQUE_FORMAL_LABEL,Fair activation alone permits unbounded wall-clock gaps; �between accepted moves� omits the first wait and terminal certification.,"Strengthen bar_tau_a to cover every decision opportunity from detection through terminal certification, or label the expression a conditional accounting identity."
PAPER-TRIAGE-0001,PAPER-FR-0001-pr:cota,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-MEDIUM,paper/megajuego.tex,277,paper/megajuego.tex,290,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_NOT_DETECTED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; no lexical condition marker in statement span,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0002,PAPER-FR-0002-th:noequiv,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,381,paper/megajuego.tex,396,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0003,PAPER-FR-0003-pr:degeneracion,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,413,paper/megajuego.tex,421,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0004,PAPER-FR-0004-co:lexico,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-HIGH,paper/megajuego.tex,427,,,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_NOT_DETECTED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,No nearby proof environment detected by the lexical inventory; no lexical condition marker in statement span,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0005,PAPER-FR-0005-le:aditividad,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,451,paper/megajuego.tex,458,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0006,PAPER-FR-0006-th:mapa,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,476,paper/megajuego.tex,490,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0007,PAPER-FR-0007-pr:notiron,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,542,paper/megajuego.tex,549,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0008,PAPER-FR-0008-th:span,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,562,paper/megajuego.tex,576,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0009,PAPER-FR-0009-th:cert,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,621,paper/megajuego.tex,633,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0010,PAPER-FR-0010-th:robusto,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,640,paper/megajuego.tex,653,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0011,PAPER-FR-0011-pr:caging,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,694,paper/megajuego.tex,702,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0012,PAPER-FR-0012-th:potencial,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,728,paper/megajuego.tex,740,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0013,PAPER-FR-0013-co:terminacion,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,756,paper/megajuego.tex,763,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0014,PAPER-FR-0014-th:vi,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,802,paper/megajuego.tex,812,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0015,PAPER-FR-0015-le:orientacion,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,835,paper/megajuego.tex,842,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0016,PAPER-FR-0016-le:curvatura,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,858,paper/megajuego.tex,867,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0017,PAPER-FR-0017-pr:hocbf,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,880,paper/megajuego.tex,888,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0018,PAPER-FR-0018-le:muestras,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-LOW,paper/megajuego.tex,899,paper/megajuego.tex,906,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_YES_NOT_AUDITED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; lexical condition marker present but completeness not audited,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
PAPER-TRIAGE-0019,PAPER-FR-0019-pr:jerarquia,38b83363c37dc705d566fb265756442dcfdd9ba69a6ae5e6c2ecac0c6aaf4642,paper,Other paper formal result,STRUCTURAL_TRIAGE_ONLY,CONJECTURE,HOLD-MEDIUM,paper/megajuego.tex,943,paper/megajuego.tex,950,,,NOT_RUN_FOR_THIS_RESULT,LEXICAL_MARKER_NOT_DETECTED,NOT_AUDITED,UNIQUE_FORMAL_LABEL_IN_PAPER_INVENTORY,Nearby proof environment detected but not read semantically; no lexical condition marker in statement span,"Full semantic audit of assumptions, domain, units, proof, dependencies, counterexamples and claim/evidence link."
