"original_path","action","destination_path","category","reason","tracked_status","file_count","bytes","sha256_or_blank"
"scripts\build_tfm_hasta_metodologia_docx.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\build_tfm_hasta_metodologia_docx.py","scripts-old","old document generator superseded by docs/report","","1","45958","8F9861BD757D49D524115FFA64C1D86FF23CC661F4FD872FBBEBB4A311245E2B"
"scripts\build_tfm_hasta_metodologia_viu_template.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\build_tfm_hasta_metodologia_viu_template.py","scripts-old","old document generator superseded by docs/report","","1","13980","7EBE0F27A3046997B8C72048255A5E40A9EDA5AC9F4793782F456B17086FC7B9"
"scripts\build_tfm_v4_dynamic_extension.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\build_tfm_v4_dynamic_extension.py","scripts-old","old document generator superseded by docs/report","?? scripts/build_tfm_v4_dynamic_extension.py","1","31891","2DCA93DDAF8B34B90F9580D13EFD0F3CA248B102462981A578767B3F4988D112"
"scripts\consolidate_pdf_figures.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\consolidate_pdf_figures.py","scripts-old","PDF consolidation utility for old document workflow","","1","36634","65EF1165B3F6D106DC06F30F43FFF0C4A346489F28C58A2BC0D9DF507725CF35"
"scripts\extend_tfm_dynamic_docx.py","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\extend_tfm_dynamic_docx.py","scripts-old","old document generator superseded by docs/report","?? scripts/extend_tfm_dynamic_docx.py","1","16059","EC8487888C23A72473165A9817ABD41C7CBBE0F836D7C34FE53ACB877E67D1F5"
"scripts\legacy","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\scripts\legacy","scripts-old","legacy scripts not part of final CLI surface","","0","0",""
"docs\report\sections\00-nomenclatura.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\00-nomenclatura.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","12817","E7D7D57B70F7C269BC0F21B18B50910C4A918FDE4AAC8ACDD0E8A9B5B8D19BA5"
"docs\report\sections\00b-guia-lectura.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\00b-guia-lectura.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","7407","F18B90715E33D1D71F365D742287478731BCCCA45F4608EAB3A9FEEB88F99A60"
"docs\report\sections\01-introduccion.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\01-introduccion.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","22290","C06E73F1442F8514399C206C50E1C55E57AC0C2038D5B98ACDDACB7AE01DAA48"
"docs\report\sections\02-objetivos.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\02-objetivos.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","3451","C7FBD4004214449FFD9F7C92084A2123396F59F93548BEBA568BA4550EE32C45"
"docs\report\sections\03-hipotesis.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\03-hipotesis.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","8240","EDC69E951E424E1259359FC8C90FAFC4EC14815539C34671B985DE7C3E6DCBE5"
"docs\report\sections\04-metodologia.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\04-metodologia.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","131075","EC99F935EBBD63E1D6D18358C6203673F7423EF2652E934924FB76B1CDEC260D"
"docs\report\sections\05-marco.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\05-marco.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","85449","ECA0E42791253EB18BF4DDBCD032BC25DF6348642E1418FCDC9B19E5494C3449"
"docs\report\sections\06-control-vectorial-ejecutable.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\06-control-vectorial-ejecutable.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","23512","FB9D5ADF2714BD0269A0D042407AEA4AB675E5DF49991AB173BC741944C62B75"
"docs\report\sections\06-resultados.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\06-resultados.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","23015","4D5D3B435BF5A91BC133DC986929DF85AA96B8C06CCEEDEC282F3A525A2F3238"
"docs\report\sections\06-transporte-amorfo.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\06-transporte-amorfo.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","24775","8DEAF4966CD498A1B38F173B336892D007BA6A6B88591FA9ED96BC658BCF2C9B"
"docs\report\sections\07-conclusiones.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\07-conclusiones.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","8790","CC8EF107587103279C94366CDA7AE78E9B32DE688F65E15C4168B7FDC69A5024"
"docs\report\sections\08-anexo-teorico-extendido.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\08-anexo-teorico-extendido.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","24112","934974C482AE645F9DE6C041B33FC785CE92D0A5CD5713866057724168C661D6"
"docs\report\sections\generated-validation-suite-v1.tex","move_to_temp","C:\tmp\VIU-MRBO-TFM-2026-v6-organization-20260620\repo-quarantine\docs\report\sections_full_doc06\generated-validation-suite-v1.tex","report-source-full","full doc-06 section moved out; compact v6 report will replace it","?? docs/report/","1","19682","51A65B722B260D7BAF43E2B464074B9D3E1B31C6DBAA7661A8AA94F9DFAD7C57"
